Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
9.7,0.84,False,2925,random,True,5.682692494864477e-07,1862.4020279313936
4.4,0.97,True,3289,cyclic,False,1.1616384935966574e-08,1228.5365363809155
9.5,0.28,False,2476,cyclic,True,1.1503266074358213e-08,2109.403994196047
2.4000000000000004,0.46,False,2041,random,False,3.986330596435792e-07,1850.058169884814
0.4,0.8200000000000001,True,3565,cyclic,False,5.852402006321829e-07,1226.203082864648
1.5,0.76,False,4590,random,False,7.878787517141077e-07,1810.9036834901403
4.7,0.07,False,3933,random,True,4.5871183503416004e-07,2000.1034479737116
9.2,0.27,True,2113,random,False,7.93147249286412e-07,1366.6780193208767
1.7000000000000002,0.2,True,2102,random,True,6.146364645611431e-07,1270.1442991793658
9.4,0.43,False,2682,random,True,4.733524316427946e-07,2045.312330059408
4.6000000000000005,0.75,False,4930,cyclic,False,8.40823276633637e-07,1843.1485952488613
9.5,0.54,True,1081,random,False,4.518155982739928e-07,1333.9949540218556
1.3,0.14,False,2673,random,False,9.086019528643032e-07,1841.503763086945
0.8,0.65,False,834,random,False,5.613158926061519e-07,1808.7487919117648
2.5,0.08,True,2641,random,True,5.317005738038271e-07,1292.6712657203582
8.9,0.79,False,4590,cyclic,True,4.764487045200251e-07,1878.915660777964
1.8,0.1,True,4589,random,True,4.384516851627146e-07,1276.8250958835226
4.6000000000000005,0.38,True,3758,random,True,8.302934969920456e-07,1304.9814413676745
1.8,0.6900000000000001,False,2779,cyclic,False,9.042394089390736e-08,1817.2131814467232
3.6,0.75,True,3888,cyclic,True,5.530152215593918e-07,1256.6273680819622
0.5,0.18,True,3905,cyclic,False,2.7294087086691184e-07,1238.9838262441572
3.5,0.6,False,3180,random,False,3.795056958244469e-07,1854.9001556005628
8.1,0.09,True,3906,cyclic,False,3.3709978640484325e-07,1374.124543127314
5.4,0.08,False,4244,random,False,3.19645647974929e-07,2027.3336581105652
1.3,0.27,False,1327,random,False,8.694068536060112e-07,1833.492226188872
9.0,1.0,True,742,random,False,7.736140922609867e-07,1223.4343722468448
6.0,0.92,True,4678,random,True,6.307822720357103e-07,1241.7328227936434
5.7,0.86,False,3668,cyclic,True,9.844622371748604e-07,1827.2616623004203
5.0,0.73,True,3082,random,False,7.071690384461511e-07,1270.0060898098573
0.8,0.6900000000000001,True,1074,cyclic,True,8.6400399945181e-07,1232.9600292175355
7.2,0.03,True,4126,cyclic,True,9.129082250430928e-07,1369.7045343849366
4.2,0.91,False,890,cyclic,False,3.386496674375513e-07,1811.4067246664456
