criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,random,100,73,0.1,1000,0.5,1719.788839536799
poisson,random,10,5,0.9999999999999999,1000,0.1,403.51188570492343
poisson,best,10,10,0.7999999999999999,1000,0.4,392.324992144471
poisson,random,5,10,0.2,100,0.5,389.02516554287394
poisson,random,10,1,0.4,1,0.30000000000000004,1845.5527276771957
squared_error,random,100,100,0.5,100,0.2,1944.6122178226758
squared_error,best,10,2,0.2,10,0.2,251.61186317805732
friedman_mse,best,37,37,0.4,10000,0.1,375.41923983198467
poisson,best,5,100,0.9999999999999999,10,0.7,633.4409871308835
absolute_error,best,100,1,0.30000000000000004,10,0.8999999999999999,346.72437732342
squared_error,best,100,37,0.8999999999999999,1,0.5,1339.4588032548336
poisson,best,2,5,0.2,100,0.8999999999999999,323.4732769522354
friedman_mse,random,37,2,0.7,10000,0.5,341.1446333779747
poisson,random,2,37,0.9999999999999999,1,0.9999999999999999,1845.5527276771957
friedman_mse,best,10,5,0.7999999999999999,1000,0.9999999999999999,253.10262843718664
poisson,best,5,1,0.9999999999999999,10,0.8999999999999999,392.324992144471
squared_error,best,73,1,0.0,100,0.0,340.1385074117923
absolute_error,random,5,5,0.7999999999999999,100,0.1,278.50070631970266
absolute_error,random,10,37,0.1,100,0.1,615.8263568773235
absolute_error,best,100,10,0.4,1,0.7,1255.006691449814
poisson,random,73,73,0.5,1,0.1,2195.0920673410815
absolute_error,best,73,100,0.4,1000,0.7,670.2815427509292
friedman_mse,random,5,2,0.2,10000,0.0,270.9116886764619
squared_error,random,37,73,0.0,1000,0.5,1719.788839536799
friedman_mse,random,10,2,0.1,1,0.1,1845.5527276771957
poisson,best,5,100,0.7,1,0.30000000000000004,1339.4588032548336
poisson,best,2,10,0.2,1000,0.2,351.5703772187009
absolute_error,best,5,73,0.9999999999999999,10,0.2,540.1157527881041
squared_error,best,5,37,0.6,1000,0.8999999999999999,375.41923983198467
absolute_error,best,100,73,0.9999999999999999,1,0.5,1255.006691449814
squared_error,best,2,2,0.9999999999999999,1000,0.4,242.99789869888465
poisson,best,10,5,0.7999999999999999,10000,0.0,392.324992144471
poisson,best,5,2,0.1,1,0.5,1339.4588032548336
friedman_mse,random,73,2,0.9999999999999999,100,0.5,372.62490695148637
poisson,random,10,100,0.0,1,0.2,2195.0920673410815
absolute_error,random,10,2,0.0,1,0.8999999999999999,1703.9406040892188
friedman_mse,best,2,5,0.7,1,0.6,1339.4588032548336
friedman_mse,random,73,100,0.6,10,0.7999999999999999,1944.6122178226758
absolute_error,random,5,100,0.8999999999999999,1,0.2,1906.7561524163568
friedman_mse,random,2,37,0.7,100,0.8999999999999999,640.7141583346229
squared_error,best,37,5,0.9999999999999999,10000,0.6,293.9492540879667
friedman_mse,random,73,100,0.1,10,0.6,1944.6122178226758
friedman_mse,best,5,10,0.6,100,0.6,305.4338730554929
poisson,random,73,10,0.2,1000,0.5,366.5338396035557
poisson,random,100,1,0.4,100,0.7999999999999999,443.9486205924395
absolute_error,best,2,73,0.1,100,0.5,540.1157527881041
absolute_error,best,73,73,0.0,10,0.9999999999999999,540.1157527881041
friedman_mse,best,100,5,0.2,10,0.30000000000000004,361.5545225017406
friedman_mse,random,5,5,0.9999999999999999,100,0.6,295.1543530617949
poisson,random,10,73,0.9999999999999999,10,0.2,1717.8047784528624
friedman_mse,random,37,1,0.5,10000,0.6,341.1446333779747
absolute_error,best,10,37,0.9999999999999999,100,0.8999999999999999,339.044814126394
squared_error,best,37,73,0.4,1,0.9999999999999999,1339.4588032548336
friedman_mse,best,5,37,0.4,10,0.4,375.41923983198467
absolute_error,random,2,37,0.0,1000,0.9999999999999999,616.0463197026023
absolute_error,random,2,100,0.1,1000,0.7999999999999999,1597.440789962825
poisson,best,37,73,0.2,100,0.1,601.4658178115698
absolute_error,random,5,1,0.0,1000,0.7,251.5459107806691
friedman_mse,best,2,100,0.8999999999999999,1000,0.7999999999999999,621.035763408322
squared_error,best,5,1,0.2,1,0.7,1339.4588032548336
poisson,random,37,37,0.7999999999999999,1000,0.2,643.8161186249581
absolute_error,best,10,10,0.7,1,0.9999999999999999,1255.006691449814
poisson,best,2,73,0.0,1000,0.4,601.4658178115698
squared_error,random,37,2,0.0,10000,0.4,340.71770283337133
poisson,best,37,37,0.5,100,0.2,398.3586844133438
friedman_mse,random,5,10,0.5,10,0.8999999999999999,366.13450846829505
friedman_mse,best,37,100,0.7,1,0.1,1339.4588032548336
poisson,random,37,1,0.0,10,0.2,336.60611101384274
poisson,random,10,37,0.6,1,0.9999999999999999,1845.5527276771957
poisson,random,100,37,0.7999999999999999,10000,0.4,603.833467814967
friedman_mse,random,100,10,0.7,1,0.30000000000000004,1845.5527276771957
absolute_error,best,2,2,0.7999999999999999,1000,0.6,249.28355947955396
absolute_error,best,5,73,0.30000000000000004,10000,0.7999999999999999,540.1157527881041
absolute_error,random,73,100,0.5,1000,0.0,1597.440789962825
poisson,best,10,5,0.7999999999999999,100,0.2,392.324992144471
squared_error,random,5,100,0.5,1,0.2,2195.0920673410815
absolute_error,random,73,1,0.30000000000000004,1000,0.7999999999999999,357.211719330855
poisson,best,37,37,0.7999999999999999,1000,0.7,399.5187328129814
squared_error,best,73,10,0.5,1000,0.1,340.1385074117923
absolute_error,best,10,2,0.6,10000,0.6,245.62521375464692
poisson,best,10,73,0.8999999999999999,10,0.2,612.3065469435656
friedman_mse,random,73,2,0.2,10,0.8999999999999999,372.62490695148637
poisson,random,100,10,0.5,10000,0.8999999999999999,443.9486205924395
squared_error,random,10,100,0.6,1,0.2,2195.0920673410815
poisson,random,2,37,0.4,10,0.2,651.1519343067382
squared_error,random,100,100,0.0,100,0.5,1944.6122178226758
friedman_mse,best,73,100,0.5,1,0.4,1339.4588032548336
squared_error,best,2,10,0.2,10,0.9999999999999999,305.22582454115644
friedman_mse,random,37,2,0.5,1,0.2,1845.5527276771957
poisson,random,100,2,0.0,10000,0.9999999999999999,430.02885242792837
friedman_mse,best,100,1,0.9999999999999999,10,0.7999999999999999,361.5545225017406
absolute_error,random,100,37,0.9999999999999999,10,0.2,577.0268773234202
squared_error,random,5,2,0.8999999999999999,100,0.7999999999999999,270.22519915029204
squared_error,best,10,10,0.1,10000,0.9999999999999999,305.0162862574415
friedman_mse,random,100,73,0.7,1,0.8999999999999999,2195.0920673410815
squared_error,random,100,2,0.7999999999999999,1000,0.5,430.02885242792837
absolute_error,random,10,2,0.9999999999999999,1000,0.7,283.7828066914498
squared_error,random,100,2,0.0,10000,0.9999999999999999,430.02885242792837
squared_error,best,5,100,0.1,100,0.7,621.035763408322
squared_error,best,5,10,0.9999999999999999,10000,0.2,305.0162862574415
poisson,best,10,10,0.7999999999999999,100,0.9999999999999999,392.324992144471
absolute_error,best,5,100,0.2,10,0.1,670.2815427509292
squared_error,best,5,2,0.1,10,0.4,239.40349317156648
