criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,best,5,2,0.7,10000,0.7999999999999999,239.8112546468402
squared_error,best,37,10,0.3,100,1.0,313.9801728538492
friedman_mse,random,10,37,1.0,10000,0.4,640.7141583346229
poisson,random,37,2,0.6,10,0.1,381.8643292541652
squared_error,random,100,1,0.3,10,0.1,430.0288524279284
friedman_mse,best,73,1,0.7999999999999999,10,0.1,340.6851365334149
poisson,random,73,37,0.4,100,0.7,651.1519343067382
poisson,random,5,5,0.2,1000,0.1,360.9502402727594
friedman_mse,best,5,100,0.5,1000,0.2,621.035763408322
poisson,best,5,5,0.3,1,0.4,1339.4588032548336
absolute_error,best,10,1,0.1,10000,0.3,244.86635687732348
poisson,best,2,2,0.0,10000,0.2,246.2381071871127
poisson,best,2,73,0.8999999999999999,10000,0.6,612.3065469435656
absolute_error,best,5,5,0.0,10,0.7999999999999999,253.51656133829
friedman_mse,best,5,73,0.7999999999999999,10,1.0,605.7706768948514
absolute_error,random,2,2,0.8999999999999999,10000,0.1,302.830436802974
friedman_mse,random,2,37,1.0,1000,0.3,640.7141583346229
squared_error,random,100,100,0.2,1000,0.7,1944.612217822676
squared_error,random,100,5,0.5,1000,0.8999999999999999,430.0288524279284
friedman_mse,best,73,5,0.7999999999999999,100,0.3,340.6851365334149
poisson,best,5,37,0.7999999999999999,100,0.3,399.5187328129814
squared_error,best,37,5,1.0,10,0.0,293.9492540879667
friedman_mse,random,37,73,0.1,10000,0.7999999999999999,1719.788839536799
poisson,random,73,2,0.5,10000,0.7,378.5947062930758
friedman_mse,random,5,37,0.6,10,0.2,640.7141583346229
absolute_error,best,5,37,0.5,100,0.0,339.044814126394
absolute_error,random,2,1,0.2,1,0.1,1703.9406040892188
friedman_mse,best,2,1,0.8999999999999999,100,1.0,270.8950916976457
friedman_mse,best,5,1,1.0,10,0.6,250.3689447116621
poisson,random,2,73,0.7,10000,0.1,1717.8047784528624
poisson,random,73,2,0.8999999999999999,10000,0.2,378.5947062930758
squared_error,best,5,1,0.0,100,0.6,252.81797862453527
friedman_mse,random,37,10,1.0,1000,0.0,332.86673275812143
friedman_mse,random,37,5,0.3,100,0.2,341.1446333779747
absolute_error,random,37,5,0.2,100,0.5,325.2494052044609
absolute_error,best,100,73,1.0,1000,0.7999999999999999,540.1157527881041
friedman_mse,best,5,73,0.4,10000,0.7,605.7706768948514
friedman_mse,best,73,73,0.3,100,0.0,605.7706768948514
friedman_mse,random,100,73,0.0,1,0.3,2195.092067341081
absolute_error,best,73,10,0.6,10000,1.0,352.4125371747212
poisson,random,2,5,0.2,100,0.5,360.9502402727594
absolute_error,random,73,2,0.0,1000,0.1,356.06885687732336
poisson,random,100,10,1.0,1000,0.8999999999999999,443.9486205924395
absolute_error,best,37,73,1.0,1000,0.2,540.1157527881041
squared_error,best,10,37,0.0,1000,0.5,375.4192398319847
absolute_error,random,73,73,0.3,100,0.0,1328.6551672862452
poisson,best,10,1,0.3,1000,0.3,354.4577262730512
poisson,random,100,1,0.2,100,0.8999999999999999,441.8873880975316
squared_error,random,5,10,0.4,10,1.0,366.1438720423296
poisson,random,2,5,0.1,1,0.2,1845.552727677196
absolute_error,random,37,100,0.7,100,0.4,1596.8663104089217
squared_error,random,2,100,0.8999999999999999,1,0.3,2195.092067341081
poisson,random,37,5,0.3,10000,1.0,374.5248050195163
squared_error,random,2,1,0.4,10,0.6,304.21415066169664
absolute_error,random,10,100,1.0,10,0.6,1596.8663104089217
absolute_error,best,10,73,0.6,10000,0.8999999999999999,540.1157527881041
friedman_mse,best,73,100,0.8999999999999999,10000,0.5,621.035763408322
friedman_mse,best,100,5,0.7,1,0.7999999999999999,1339.4588032548336
squared_error,random,2,73,0.0,10,0.7999999999999999,1719.788839536799
friedman_mse,best,37,1,0.2,10000,0.7999999999999999,293.8429028398633
friedman_mse,best,10,10,1.0,10000,0.0,305.4338730554929
friedman_mse,best,5,10,0.8999999999999999,10,0.4,305.64341133920783
squared_error,random,100,73,0.7999999999999999,100,0.2,1719.788839536799
poisson,random,100,73,1.0,10000,0.3,1717.8047784528624
squared_error,random,5,5,0.7999999999999999,10000,0.1,295.1839788362682
poisson,random,5,5,0.7999999999999999,10,0.2,393.0273752818682
poisson,best,100,100,0.2,10000,0.1,632.7032287238026
friedman_mse,random,5,5,0.5,1000,0.7,295.1839788362682
squared_error,random,73,10,0.5,10000,0.7,372.6249069514864
absolute_error,random,37,1,1.0,1,0.4,1703.9406040892188
friedman_mse,random,5,37,0.0,10000,1.0,640.7141583346229
absolute_error,best,2,2,1.0,1,0.4,1255.006691449814
squared_error,best,5,1,0.5,10000,0.2,252.78912794299868
friedman_mse,random,2,2,0.7,1000,0.0,267.58704443871704
squared_error,random,100,100,0.6,1000,0.2,1944.612217822676
friedman_mse,best,73,37,0.0,1,0.1,1339.4588032548336
friedman_mse,random,100,5,0.2,100,0.5,430.0288524279284
friedman_mse,random,73,2,0.8999999999999999,1,0.4,1845.552727677196
squared_error,best,100,5,0.1,1,0.7999999999999999,1339.4588032548336
poisson,best,10,73,0.7999999999999999,1000,0.0,612.3065469435656
squared_error,best,10,73,0.1,10000,0.4,605.7706768948514
absolute_error,random,10,100,0.5,1000,0.3,1597.440789962825
friedman_mse,random,100,73,0.4,10000,0.1,1719.788839536799
poisson,random,10,100,0.5,1000,0.7,1944.036115466084
poisson,best,37,5,0.1,10,0.2,311.7388099968249
poisson,random,73,1,0.5,1,1.0,1845.552727677196
poisson,random,5,10,0.1,1,0.1,1845.552727677196
friedman_mse,random,2,37,0.8999999999999999,1,0.8999999999999999,1845.552727677196
poisson,random,2,1,0.4,100,1.0,367.3177907529951
friedman_mse,random,5,1,0.4,1,0.3,1845.552727677196
poisson,best,73,100,0.7,1000,0.6,633.4409871308835
friedman_mse,random,10,73,0.1,10000,0.6,1719.788839536799
squared_error,best,10,37,0.4,10,0.8999999999999999,375.4192398319847
squared_error,best,100,5,1.0,1000,1.0,361.5545225017406
friedman_mse,best,37,10,0.8999999999999999,10000,0.8999999999999999,313.873821605746
squared_error,best,37,100,0.0,1,0.2,1339.4588032548336
squared_error,random,73,2,0.5,1000,0.4,372.6249069514864
friedman_mse,best,2,100,0.0,10,1.0,621.035763408322
absolute_error,random,100,5,0.0,10000,1.0,414.30167286245353
poisson,best,73,10,0.2,10,0.2,345.96697114498653
friedman_mse,best,73,73,1.0,100,0.1,605.7706768948514
absolute_error,best,73,5,0.1,10000,1.0,352.4125371747212
absolute_error,best,37,5,0.3,1,0.2,1255.006691449814
poisson,random,100,10,0.7,1000,0.3,443.9486205924395
friedman_mse,random,100,1,0.0,10,0.4,430.0288524279284
poisson,best,5,5,1.0,1000,0.0,392.324992144471
poisson,best,73,5,0.4,1000,0.3,378.9909666042891
poisson,random,5,37,0.7,10000,0.7,643.8161186249581
absolute_error,random,2,73,0.8999999999999999,1,0.7,1906.7561524163568
poisson,best,10,1,0.0,10,0.6,255.54433363511404
squared_error,best,100,1,0.7999999999999999,1,0.8999999999999999,1339.4588032548336
absolute_error,random,73,10,0.7,100,0.4,359.7030855018586
poisson,best,37,37,1.0,100,0.0,399.5187328129814
friedman_mse,random,2,2,0.8999999999999999,10000,0.7,267.5617360950575
squared_error,best,100,1,0.2,1000,0.1,361.5545225017406
poisson,best,37,10,0.2,1,0.3,1339.4588032548336
absolute_error,random,5,1,0.4,100,0.0,257.08268587360595
poisson,random,10,37,0.8999999999999999,10000,0.3,643.8161186249581
absolute_error,random,5,1,1.0,1,0.6,1703.9406040892188
absolute_error,best,100,2,0.1,100,0.8999999999999999,346.72437732342
poisson,random,73,1,0.1,10000,0.7,379.5442751618054
squared_error,random,10,73,0.8999999999999999,10000,0.6,1719.788839536799
squared_error,best,5,5,0.3,1,0.0,1339.4588032548336
absolute_error,best,5,10,0.3,100,0.6,292.70976765799264
poisson,random,5,5,0.0,1000,0.5,295.1839788362682
squared_error,best,100,1,0.8999999999999999,1000,0.5,361.5545225017406
