N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
10,distance,brute,80,3.5,l2,389.11246958900676
6,distance,kd_tree,90,2.0,l2,357.8242450152097
7,uniform,ball_tree,30,4.0,l1,376.5116277217204
4,distance,kd_tree,30,4.0,euclidean,351.8099714092832
8,distance,brute,100,4.0,manhattan,348.3674483850885
2,distance,kd_tree,50,1.0,euclidean,386.200780955554
9,uniform,kd_tree,10,2.0,cityblock,393.51486575795127
1,distance,ball_tree,100,1.0,l2,433.12392193308546
7,uniform,brute,100,3.0,l2,387.60021242697843
6,uniform,kd_tree,10,1.0,cityblock,348.7483023543992
1,distance,brute,80,2.0,manhattan,458.78278810408926
7,uniform,ball_tree,20,3.5,l1,376.5116277217204
3,distance,kd_tree,30,2.5,l2,377.1055289814139
4,uniform,brute,20,1.5,l2,346.0643401486989
5,distance,ball_tree,30,2.5,cityblock,348.32720269074184
6,uniform,brute,20,3.0,cityblock,344.0910377942999
8,uniform,kd_tree,40,4.0,cityblock,385.54315520446113
8,distance,kd_tree,20,2.5,euclidean,382.2066847828664
4,distance,kd_tree,100,2.0,euclidean,343.08284080345135
10,distance,brute,40,3.5,cityblock,353.51921084236164
6,distance,kd_tree,10,3.0,l1,335.5340570311804
9,uniform,kd_tree,30,4.0,l1,394.56981412639414
1,uniform,kd_tree,60,1.0,manhattan,435.54754646840155
7,uniform,ball_tree,10,1.5,euclidean,376.96484864577786
5,distance,kd_tree,80,4.5,manhattan,339.33596999468944
2,distance,brute,10,3.5,manhattan,354.8446623296159
3,uniform,brute,90,1.5,cityblock,343.66601610904576
10,uniform,ball_tree,80,1.0,cityblock,390.8044033457247
4,distance,ball_tree,90,2.0,cityblock,334.9707117631439
1,uniform,brute,20,1.5,l2,458.78278810408926
6,uniform,ball_tree,30,1.5,cityblock,355.9651425030979
10,uniform,kd_tree,100,4.5,manhattan,387.8630390334571
5,distance,brute,90,3.0,euclidean,351.3554252298326
2,uniform,ball_tree,90,3.0,cityblock,378.3591635687733
5,uniform,ball_tree,60,4.0,l2,365.18223420074366
1,distance,ball_tree,50,1.5,l1,460.61118959107813
9,uniform,ball_tree,50,4.5,euclidean,403.66384758364313
2,uniform,brute,50,1.5,l1,355.018810408922
3,distance,ball_tree,50,1.0,l2,364.7342771715946
10,distance,ball_tree,20,4.0,l2,396.2644767981568
10,uniform,kd_tree,40,4.0,l2,407.38362453531596
6,distance,ball_tree,70,2.5,l1,339.2170938133441
8,uniform,ball_tree,70,4.5,cityblock,386.37246282527883
4,uniform,ball_tree,30,1.5,manhattan,355.04678903345723
6,distance,kd_tree,50,3.5,l1,345.92380626647366
3,distance,ball_tree,90,1.5,manhattan,360.8721078066915
10,distance,kd_tree,70,4.5,manhattan,365.84326472117556
7,distance,kd_tree,100,4.5,manhattan,342.27786421285464
2,uniform,kd_tree,60,3.0,cityblock,386.3462081784388
3,uniform,kd_tree,20,1.5,l1,379.6935687732341
7,uniform,ball_tree,70,4.5,euclidean,389.4704381306428
1,distance,ball_tree,40,4.0,l2,440.72111524163574
3,distance,ball_tree,20,4.5,manhattan,374.5518767038413
5,uniform,ball_tree,90,1.5,l1,351.7594907063198
3,distance,brute,70,1.0,euclidean,341.5872200874123
4,uniform,ball_tree,90,2.5,l2,345.6471143122676
5,distance,ball_tree,60,4.0,manhattan,345.59633873251937
2,distance,kd_tree,90,3.0,euclidean,372.0818026228901
6,uniform,ball_tree,70,4.5,l2,366.40199194547716
7,distance,kd_tree,90,1.5,l2,374.19219536617294
5,distance,ball_tree,50,2.0,l1,345.59633873251937
7,distance,brute,20,2.5,cityblock,342.64703473903654
2,distance,kd_tree,70,2.5,l1,374.08836741016114
3,uniform,brute,70,2.0,manhattan,343.66601610904576
8,uniform,kd_tree,80,4.5,l2,402.1164660780669
10,distance,ball_tree,60,2.5,manhattan,360.1902784029115
9,uniform,kd_tree,10,2.0,manhattan,393.51486575795127
10,distance,brute,40,3.0,l1,353.51921084236164
4,uniform,brute,90,3.5,l1,355.2714033457249
5,uniform,kd_tree,50,2.5,manhattan,354.95324907063184
1,distance,brute,70,2.0,euclidean,458.78278810408926
1,uniform,kd_tree,60,4.5,manhattan,435.54754646840155
6,uniform,kd_tree,90,2.0,l1,343.09549256505574
9,distance,brute,30,2.5,cityblock,352.5877222517571
1,distance,ball_tree,70,2.5,l2,433.12392193308546
5,distance,kd_tree,100,3.0,l2,345.7241700794873
9,distance,ball_tree,50,2.0,l1,361.5088685495186
9,uniform,kd_tree,90,1.0,manhattan,385.63694754233796
5,distance,kd_tree,20,3.0,l2,353.6123857990325
3,uniform,kd_tree,100,3.0,manhattan,365.18804832713766
9,distance,kd_tree,100,3.5,l1,361.90270615389016
1,distance,ball_tree,90,3.5,l2,433.12392193308546
7,distance,kd_tree,80,4.5,l2,374.19219536617294
4,distance,brute,80,4.0,l2,342.0018965208796
4,distance,ball_tree,60,3.5,euclidean,352.5767219707517
3,uniform,ball_tree,40,2.5,l2,365.9736493184634
3,distance,kd_tree,100,1.0,l2,364.9716452227317
10,uniform,kd_tree,90,1.0,cityblock,387.8630390334571
3,distance,brute,10,1.5,euclidean,341.5872200874123
5,uniform,kd_tree,90,3.0,euclidean,351.38406319702625
3,distance,ball_tree,50,4.5,cityblock,360.50251579925646
6,uniform,brute,30,3.0,euclidean,377.2082496902109
1,distance,brute,100,2.5,manhattan,458.78278810408926
4,uniform,ball_tree,40,1.0,manhattan,348.4179972118959
