Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
71,1800,9.999999999999999e-05,True,False,False,random,0.288117975793237
76,2800,1e-08,True,False,False,random,0.2881801023572398
51,2300,1e-07,True,True,False,cyclic,0.5932639005521649
26,300,0.01,True,True,False,random,0.592763882199697
71,4800,0.001,True,False,True,random,0.28812038746554974
31,2800,9.999999999999999e-05,True,False,False,cyclic,0.2878209047852851
46,2300,1e-06,True,False,False,cyclic,0.2885195411166249
31,4800,1e-07,False,False,False,random,0.4595671846054038
86,2300,1e-07,False,True,False,random,0.6116501213914578
76,4800,0.1,False,False,True,random,0.4809182779111777
61,2300,9.999999999999999e-05,True,True,True,cyclic,0.5934645740304477
61,2300,9.999999999999999e-05,False,True,False,cyclic,0.6118310483146502
16,2300,1e-07,False,False,False,random,0.4611601571387991
21,3300,1e-07,False,False,True,random,0.4605548245348151
91,300,9.999999999999999e-05,False,True,True,random,0.6115877498128228
56,2300,9.999999999999999e-06,True,False,False,cyclic,0.28820592509795495
1,2300,1e-06,True,False,False,random,0.29455753659743067
76,800,1e-06,False,False,False,cyclic,0.45764597434099075
71,2300,1e-06,True,False,False,random,0.28811723017118596
86,300,1e-07,False,False,True,random,0.4577250933049515
51,1800,0.01,False,False,False,cyclic,0.45837669905072964
46,2300,1e-06,False,False,False,random,0.4585511982234989
31,1800,9.999999999999999e-06,False,False,False,cyclic,0.4595672518888937
1,3300,9.999999999999999e-06,True,True,False,random,0.5922663254958245
51,3800,1e-08,True,False,False,random,0.2883411577686492
61,2300,9.999999999999999e-05,True,False,False,random,0.2882575857250937
51,1800,0.01,False,True,False,cyclic,0.611915294607494
86,2800,9.999999999999999e-05,False,True,True,cyclic,0.6116444336826308
6,2300,0.01,True,True,False,random,0.5923656141384664
26,3800,1e-06,True,True,False,random,0.5927627687083391
6,1800,1e-07,False,True,False,cyclic,0.6164844073599745
31,300,1e-07,False,True,True,cyclic,0.6135376324853297
91,4800,9.999999999999999e-06,True,False,False,random,0.28886754276395155
6,2300,1e-06,True,False,False,random,0.29193020099247363
36,1800,9.999999999999999e-05,False,False,True,random,0.4589508714391247
61,3800,9.999999999999999e-06,True,True,True,random,0.5934645740304478
56,1300,1e-07,False,False,True,cyclic,0.4580688026412554
6,4800,1e-06,False,False,True,random,0.46249055655487004
81,4800,9.999999999999999e-05,True,False,True,cyclic,0.2883231731249886
36,800,0.1,False,True,True,random,0.679890135068324
41,1300,1e-06,True,False,False,random,0.2888098789137584
36,1800,1e-08,True,True,True,cyclic,0.592962890334741
6,4300,9.999999999999999e-06,True,False,True,cyclic,0.29193055039123816
56,1800,0.1,True,True,True,random,0.5933642372913059
36,3800,0.1,True,False,True,random,0.28923554288260195
51,1800,1e-08,False,False,False,cyclic,0.45829547352727185
26,3800,0.01,False,True,False,random,0.6198318010566713
6,3300,0.1,True,True,True,random,0.5923656141384664
76,1300,1e-08,True,False,True,random,0.2881801021356545
56,4300,9.999999999999999e-05,False,False,False,cyclic,0.45806880746950995
41,800,1e-07,False,False,False,random,0.4588372238212367
96,2800,0.01,False,True,False,cyclic,0.6112907072099902
26,3800,0.01,False,False,False,random,0.46483028718816666
51,4300,9.999999999999999e-05,True,True,False,cyclic,0.5932639005521649
96,1800,1e-06,False,True,False,cyclic,0.6117772685870793
6,3300,1e-07,False,True,True,random,0.6164840234243444
86,1300,0.01,True,True,True,random,0.5939713551625798
51,1800,1e-07,False,False,True,random,0.45829560330471636
11,2300,1e-07,True,True,False,cyclic,0.592464902780823
11,2300,9.999999999999999e-06,False,False,False,cyclic,0.4617910641754511
16,2300,9.999999999999999e-06,False,True,False,random,0.6151311800995476
76,2300,1e-07,False,True,False,cyclic,0.6115791097910169
41,800,0.01,True,False,False,random,0.30318736356941806
86,3300,9.999999999999999e-05,True,True,True,cyclic,0.5939713551624335
31,300,9.999999999999999e-05,False,True,False,random,0.6134604701998925
86,1300,1e-08,True,True,True,cyclic,0.5939713551624335
96,1300,1e-06,True,False,False,random,0.2892963796508058
51,300,9.999999999999999e-06,True,True,True,random,0.5932639007802345
96,3300,1e-07,False,True,False,cyclic,0.6117773298139084
16,1300,1e-07,False,False,False,cyclic,0.46115948633775844
46,300,1e-08,True,False,True,cyclic,0.28851954073754527
21,3800,9.999999999999999e-05,True,False,False,cyclic,0.28711869856870653
71,3800,0.01,True,False,False,random,0.2881211012210907
76,1300,1e-07,True,False,False,cyclic,0.28818010020070717
61,800,9.999999999999999e-05,True,False,False,random,0.2881313055404423
51,1800,9.999999999999999e-06,True,False,True,random,0.2883412364024623
76,1800,1e-07,True,False,True,cyclic,0.28818010020070717
71,3800,9.999999999999999e-05,True,False,True,random,0.28812210918648945
71,2800,0.1,False,False,False,random,0.4683674365121596
91,300,9.999999999999999e-06,False,False,False,cyclic,0.45778890092342966
66,4300,1e-08,False,False,True,cyclic,0.45772894784269347
96,300,0.001,False,True,True,cyclic,0.6117118085523086
6,300,0.1,False,False,False,random,0.4885391978622236
31,1800,1e-08,False,True,False,cyclic,0.6135376349362585
11,4800,0.01,False,True,False,random,0.6214367732481642
41,2300,9.999999999999999e-05,True,True,True,random,0.5930632277928587
