Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
71,7100,0.001,False,True,True,random,1963.3977289067527
91,8100,1e-07,True,True,True,random,1555.1377104808084
66,5100,0.01,True,True,True,cyclic,1553.3400292355768
21,4600,0.1,True,False,True,cyclic,1224.0004156250643
36,1100,0.1,False,False,False,cyclic,1834.5343859544168
31,2600,0.1,True,False,False,random,1225.1265643750048
36,6600,1e-08,False,False,True,random,1803.3619048169044
26,600,1e-08,False,True,False,cyclic,1962.9435724736584
11,2100,0.0001,False,True,False,cyclic,1962.9659961806065
56,6100,1e-07,True,True,True,random,1552.6718491219483
81,2600,1e-08,False,False,False,random,1803.9688941334
76,6600,1e-08,True,True,False,cyclic,1554.0380588074115
26,9100,1e-07,False,True,True,cyclic,1962.943569160011
71,6100,0.1,False,True,True,cyclic,1990.2295576599145
26,5100,1e-07,False,True,True,cyclic,1962.943569160011
26,4100,1e-06,True,True,True,random,1550.6780097416215
26,3600,1e-08,True,True,False,random,1550.6780097416215
56,100,1e-07,False,True,False,cyclic,1963.18837401705
31,100,1e-06,True,False,False,cyclic,1225.1870321722456
21,2100,1e-07,True,True,True,cyclic,1550.364243326975
66,9600,0.1,False,False,False,random,1957.9818001814465
31,5600,1e-07,False,True,True,cyclic,1962.9559003631557
76,7600,1e-08,False,False,True,random,1803.8638134092807
61,3600,0.1,False,False,False,cyclic,1833.61366136134
56,2100,0.01,False,False,False,random,1804.7656287744733
81,5600,1e-07,True,True,True,cyclic,1554.4001220571236
56,2100,1e-08,False,False,True,random,1803.5473342259288
91,9600,1e-07,False,True,True,random,1963.864308116124
81,1600,1e-05,True,True,True,random,1554.4001220571236
61,600,1e-08,False,True,False,cyclic,1963.2583845287863
56,9600,0.01,True,False,False,cyclic,1227.6521674797418
66,9600,1e-05,False,True,True,random,1963.3362969576565
36,9100,0.01,True,True,True,random,1551.3354888957033
66,2100,0.01,False,False,False,random,1810.467386864354
86,9100,1e-06,False,False,True,cyclic,1804.0776910361512
36,3600,0.01,True,False,True,cyclic,1225.994164053208
66,1100,0.1,False,False,False,cyclic,1833.458469868054
96,9100,1e-08,True,True,True,cyclic,1555.5064994327556
91,3600,0.01,True,False,False,cyclic,1231.1304678652582
51,600,0.1,False,False,False,random,2468.594685685889
11,9600,0.0001,True,True,False,random,1549.7367104980242
6,8600,0.1,True,False,False,cyclic,1223.389448447986
36,1600,1e-05,True,True,True,cyclic,1551.3354888954225
66,1600,0.1,True,False,False,random,1226.1865152591065
96,2600,1e-08,True,False,False,cyclic,1231.6905424131214
61,6600,0.1,False,True,True,random,2568.5007148891686
16,9600,1e-08,True,True,True,cyclic,1550.050476912329
91,8100,1e-07,False,True,True,cyclic,1963.8644065898816
11,100,1e-06,False,False,False,cyclic,1803.3721358052364
11,5100,1e-07,True,True,True,cyclic,1549.7367104976818
1,3100,1e-05,True,True,True,cyclic,1549.109177668388
1,5600,0.0001,False,False,True,cyclic,1803.4527930086213
51,7100,1e-07,True,False,True,cyclic,1227.214437808419
26,7600,1e-08,False,False,False,cyclic,1803.3317510857792
6,4600,1e-05,True,False,True,cyclic,1223.3845615507337
16,600,0.001,False,False,True,cyclic,1803.3505645266137
46,6100,0.001,True,False,True,random,1226.222370098983
11,5100,1e-08,False,True,True,cyclic,1962.9693624342872
31,1600,1e-08,True,False,True,cyclic,1225.18703220207
41,4600,1e-06,False,True,False,cyclic,1963.0239529107712
26,9100,1e-08,True,False,True,random,1224.5068256290826
66,5600,1e-05,True,False,True,cyclic,1228.5632349465768
1,5600,1e-08,False,False,False,cyclic,1803.4523626550888
76,8100,0.0001,True,True,False,cyclic,1554.0380588074115
6,4100,0.1,True,True,True,random,1549.4229473747491
1,3600,0.1,True,True,False,random,1549.109177668662
31,7100,1e-07,False,False,True,random,1803.3392288176544
31,3600,0.0001,False,True,False,cyclic,1962.95234628618
41,7100,1e-05,False,False,False,random,1803.399059883579
21,8100,1e-06,True,False,False,random,1223.9965747139934
26,6100,0.001,True,True,False,cyclic,1550.6780097419653
96,1100,1e-08,False,False,False,random,1804.3022773329117
61,100,1e-05,False,False,False,random,1803.6234729924704
11,7100,1e-08,True,True,True,cyclic,1549.7367104976818
96,1100,1e-06,True,True,False,cyclic,1555.5064994327556
36,3600,1e-06,True,True,False,random,1551.3354923193035
