N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
439,log2,224.0,5,15,True,418.0641258019003
75,log2,60.0,47,6,True,1053.1099920455958
50,log2,280.0,2,13,False,376.54570599457134
641,sqrt,154.0,18,4,True,638.4095480284942
193,,291.0,40,12,False,383.2445956008752
485,log2,81.0,20,14,False,561.5631455014832
395,log2,242.0,37,7,True,908.5458891771636
51,sqrt,51.0,32,18,False,756.3892990421144
495,sqrt,228.0,37,10,False,750.5891559645636
222,log2,280.0,46,18,False,883.9691279545935
376,sqrt,260.0,1,13,True,361.8346020091317
569,log2,225.0,32,8,True,839.3323467760326
785,log2,198.0,16,19,False,528.918362069257
704,sqrt,74.0,37,17,False,750.8174744315869
32,sqrt,13.0,3,10,True,374.6648346456358
787,log2,78.0,28,15,True,808.966822551497
417,log2,117.0,2,7,False,325.73434597508145
372,,272.0,22,8,False,329.3556407859222
162,sqrt,217.0,6,17,True,438.5832228161042
684,,249.0,18,14,True,317.22881400504826
410,sqrt,79.0,44,20,False,841.0818053134201
95,,199.0,16,17,True,312.79887613385927
636,log2,129.0,43,12,False,814.7692035308794
296,sqrt,155.0,46,7,True,1013.0786379708468
113,,6.0,2,5,True,303.53396855652943
411,,275.0,16,17,False,322.2182496823899
372,log2,45.0,48,19,False,907.0669231748378
691,sqrt,163.0,18,17,False,555.6523082015127
306,sqrt,281.0,15,9,True,589.3180138221321
595,log2,211.0,27,2,False,670.4161004406005
311,log2,17.0,22,5,False,610.2564179481302
465,log2,262.0,7,13,True,447.8126319455967
469,sqrt,160.0,35,7,True,880.4933901230681
376,log2,36.0,37,5,True,908.8878215849328
142,log2,4.0,31,13,False,867.137377739836
470,,116.0,36,18,True,524.2061568059185
478,,138.0,37,17,True,533.8815893168204
241,log2,26.0,12,4,False,490.904780122745
141,sqrt,262.0,13,3,False,508.5098033266968
780,sqrt,187.0,6,15,False,390.881519088396
141,log2,261.0,28,5,True,793.9096969519908
696,sqrt,24.0,7,20,True,456.4917836920959
517,log2,231.0,17,14,False,554.4021420919454
344,sqrt,284.0,16,6,True,600.7915838284313
564,sqrt,211.0,10,17,False,456.11843456876034
729,sqrt,251.0,32,12,False,730.9069437455031
535,sqrt,114.0,48,6,False,891.4642206885162
181,log2,55.0,25,4,True,747.0799478817811
68,,220.0,34,2,True,504.9173063225686
18,log2,179.0,5,16,False,472.2566581997903
800,sqrt,30.0,28,2,False,681.8227120196593
175,,262.0,6,18,False,272.2023468662664
447,,123.0,32,14,False,352.31651605016714
454,log2,134.0,36,9,True,892.8956317968068
113,log2,20.0,1,15,False,367.4762675297599
622,log2,217.0,28,3,True,801.4811866988513
120,sqrt,250.0,33,11,True,882.1361359181427
343,,235.0,7,20,True,278.66467593731534
698,,235.0,37,12,False,375.41923983197927
641,log2,275.0,21,15,True,700.2341604803885
254,,97.0,39,11,False,382.5823935173081
272,log2,205.0,12,17,False,485.0139264303684
158,,44.0,40,17,False,383.2445956008741
455,sqrt,73.0,12,2,True,538.1038428131343
144,log2,241.0,30,15,True,839.7852187271931
130,sqrt,108.0,31,13,True,846.7044103373878
282,,263.0,2,18,True,257.24868975411124
508,sqrt,222.0,45,15,True,988.8932867155684
220,log2,48.0,43,15,True,983.5580869136116
148,sqrt,72.0,16,4,False,536.9586837771385
683,sqrt,43.0,34,5,False,748.93065732657
250,sqrt,109.0,14,9,False,490.9224029990574
78,log2,186.0,22,20,True,709.0991596730801
48,sqrt,206.0,21,7,True,726.7257406091139
534,,297.0,47,15,True,569.8298863325239
398,sqrt,176.0,47,13,True,1025.5068101556592
350,,267.0,48,8,True,571.3628340472424
456,sqrt,110.0,7,3,True,446.561536428748
703,sqrt,5.0,12,10,True,622.5568161327476
169,log2,200.0,15,12,False,510.5647161061407
737,,80.0,34,4,True,502.1496418368251
736,,56.0,46,3,False,496.2610857338661
16,log2,93.0,41,3,True,951.799234506368
553,sqrt,294.0,12,19,False,479.3116139459355
679,,179.0,39,13,True,548.4472868786062
424,sqrt,89.0,14,4,True,602.1393395584432
337,,25.0,46,17,False,496.2610857338717
750,log2,118.0,2,13,False,355.44658220352056
563,sqrt,138.0,28,5,True,797.2597014044931
599,sqrt,56.0,6,16,True,428.5403725202176
615,log2,165.0,20,2,False,562.9855851078277
673,,281.0,28,7,False,341.35040567168994
552,sqrt,247.0,36,19,True,899.5650445788638
490,log2,29.0,37,6,True,898.9119914244595
401,,83.0,38,8,True,541.0436795862656
621,log2,107.0,45,17,False,839.1271381913508
478,log2,160.0,3,6,False,336.270850689557
693,,135.0,6,9,True,266.3489609481847
512,,246.0,25,5,True,359.3705755214912
73,log2,39.0,33,17,False,752.6396038961358
220,sqrt,14.0,40,10,True,934.2932604492668
677,sqrt,135.0,8,17,True,470.3744130865117
324,log2,203.0,35,4,False,747.9595294342524
636,sqrt,85.0,20,3,True,679.5808267948452
436,log2,201.0,22,3,True,703.4062027696995
106,log2,291.0,17,15,False,549.3367769178838
373,log2,136.0,42,16,False,821.2428317435173
462,log2,127.0,49,6,True,1040.0075039001226
166,sqrt,294.0,3,15,False,377.1408176187929
348,sqrt,137.0,7,13,True,447.477497819371
13,,135.0,16,4,False,322.21824968239014
665,,194.0,36,8,False,373.3235823728573
614,sqrt,70.0,25,7,False,651.6070528883133
515,sqrt,124.0,44,2,False,833.560013791892
559,,253.0,49,20,False,498.4674705276044
60,sqrt,140.0,9,11,False,424.0130644900759
120,sqrt,115.0,49,16,False,962.754493256882
795,sqrt,249.0,27,2,True,786.3683971944574
32,sqrt,15.0,4,9,True,397.8930882561705
527,,186.0,38,8,True,542.1004561116906
92,log2,19.0,22,5,False,616.4087409909611
586,log2,63.0,41,7,False,803.4652974583114
542,log2,8.0,25,10,True,746.381045199933
507,sqrt,260.0,17,15,True,619.8432251741197
71,sqrt,127.0,49,4,True,1077.310907169183
568,log2,246.0,43,19,False,810.9229274890694
274,log2,206.0,4,5,True,379.7622436029554
662,,177.0,25,11,False,343.36008967359425
791,log2,224.0,43,14,True,973.4522848526688
132,log2,234.0,16,19,False,533.6700913863652
690,,110.0,1,10,True,222.0836465532541
320,,79.0,47,17,False,500.591178072392
176,log2,43.0,33,3,False,752.3539061353667
312,,54.0,12,7,False,306.0648753360858
499,sqrt,98.0,28,5,True,798.9490526854268
211,sqrt,24.0,24,7,True,728.8911656681647
106,,55.0,19,5,False,331.84653434508084
135,,191.0,30,20,True,447.50863116774747
279,sqrt,226.0,24,19,True,727.2253016098367
271,,234.0,40,7,True,554.0499204470797
235,sqrt,234.0,45,2,False,859.8769977075146
525,log2,96.0,26,18,True,751.9042256053383
291,,54.0,24,3,False,329.6052004648651
200,,294.0,24,7,True,348.5599001178344
696,log2,121.0,29,13,True,821.4154194696744
548,sqrt,53.0,42,16,True,962.4197157472328
486,,89.0,38,8,True,542.2938531884075
167,sqrt,103.0,1,3,False,317.8281103221071
214,,6.0,29,2,True,440.29368297615576
309,,40.0,18,9,False,325.9607873171813
676,,173.0,46,9,True,568.7202906082263
116,sqrt,154.0,32,7,True,874.2890754590262
782,,81.0,44,5,True,566.3041660070509
534,sqrt,256.0,14,3,True,593.9219554175215
618,,127.0,32,2,True,476.3742088885404
307,sqrt,185.0,27,2,False,670.2453219287497
596,sqrt,173.0,34,8,True,870.7525281109341
527,,190.0,10,19,True,291.7254597873445
687,sqrt,280.0,5,9,True,400.6070910044818
755,sqrt,277.0,5,20,False,399.12604590755177
486,log2,7.0,43,4,False,814.6733091062121
341,sqrt,258.0,4,5,True,380.3177828139936
291,log2,265.0,32,16,True,839.4785305819134
330,sqrt,83.0,6,11,True,418.71131723493176
405,log2,219.0,27,9,False,682.527305176962
571,,207.0,6,15,False,276.1082331304106
54,log2,212.0,34,9,True,881.9964076438979
272,sqrt,15.0,10,17,False,455.3900848268868
195,log2,87.0,8,2,True,479.9405473074012
760,log2,141.0,46,11,False,862.4190612162633
294,sqrt,122.0,50,18,False,919.5214268670402
658,,206.0,30,20,True,448.4165431168719
599,log2,288.0,48,16,True,1026.8056962733838
539,log2,248.0,28,5,True,799.1594042714468
103,,167.0,50,18,False,502.3502137802704
781,,204.0,3,13,True,242.53204341924032
166,sqrt,259.0,6,12,False,381.1212473203676
267,log2,56.0,9,3,True,482.8345560670206
257,log2,9.0,48,6,False,898.107988795841
473,,26.0,6,15,True,267.28168413623786
800,log2,2.0,7,4,False,1267.8542149433356
474,,118.0,42,3,False,488.19334161786713
336,,129.0,47,20,True,570.049175255786
203,log2,167.0,42,10,True,971.5256528082128
135,,59.0,20,6,False,328.43441348085565
20,log2,41.0,9,4,False,414.088376601073
364,,42.0,5,16,True,261.4901124063102
