N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
15,sqrt,244,44,17,True,969.9451002881098
158,log2,283,24,14,False,653.8053519620012
656,log2,221,46,12,False,862.2351603352297
573,,171,38,15,True,542.1494010200913
211,log2,30,2,16,True,379.9344417249281
382,log2,115,48,20,True,1034.5411897875886
533,log2,257,17,15,False,553.7988641526031
243,,141,19,10,True,318.9165515365539
612,log2,144,11,10,False,464.7019813529053
102,,95,24,17,False,329.6052004648659
648,,218,11,14,False,306.1982897980825
630,log2,260,39,11,False,766.237778486855
22,sqrt,6,2,20,True,512.8598829146198
88,,21,46,20,False,496.2610857338695
245,sqrt,297,19,17,False,561.2055637851579
301,log2,102,3,14,True,380.7060722574793
360,,239,21,20,False,329.46103975262525
782,,69,3,20,False,270.69369472850826
603,,79,49,12,True,572.1908052998195
112,,171,26,13,False,344.03082464947227
132,sqrt,38,3,3,False,340.6135737494766
752,sqrt,256,9,9,True,484.6040786034192
581,,46,14,9,True,308.132298366579
471,sqrt,216,25,2,False,657.1386202375371
662,,17,48,3,True,570.5299383197154
243,,292,19,3,True,318.9165515365539
588,log2,154,43,6,False,812.3070175538606
586,sqrt,113,38,19,False,761.7538553263208
534,log2,36,11,4,True,517.9547503196308
533,sqrt,34,46,16,True,1005.4529711686932
255,,120,41,8,False,488.19334161786963
108,log2,206,16,12,False,537.530532750831
420,sqrt,122,28,13,True,796.9288469244641
691,sqrt,104,40,8,True,938.5707917165945
772,log2,187,7,5,False,412.8506474740597
491,log2,64,50,16,False,906.3373055819582
544,sqrt,228,47,11,True,1016.1374352425948
325,,187,14,5,True,307.63544432432565
738,log2,18,32,16,False,729.3615973133636
215,,215,42,7,False,488.1933416178698
5,,17,32,17,False,352.31651605017106
389,log2,58,11,11,True,519.9771934379619
758,,272,3,4,False,251.73036555142792
332,log2,68,37,13,True,915.051732157598
659,log2,111,1,18,False,370.64031978511616
48,log2,5,3,13,False,551.6491157533599
424,sqrt,238,15,18,True,590.4687439780399
530,log2,156,41,8,False,803.1843101333646
557,,99,23,5,False,330.6665626911946
162,sqrt,123,16,19,False,532.6457796946565
82,sqrt,131,20,12,False,555.628006587238
40,sqrt,84,1,13,True,384.7990135398635
107,,88,49,15,True,572.0903896059641
256,sqrt,214,40,6,True,922.6908437508855
184,,34,37,4,False,375.4192398319873
472,,258,10,2,True,291.74760222181146
770,log2,195,12,15,False,479.82171647472035
423,sqrt,106,31,8,False,732.327298032104
63,sqrt,274,41,4,True,945.5310811577273
599,,169,23,6,True,334.523559625341
523,,57,28,13,False,341.3504056716899
151,,245,24,4,False,329.60520046486545
288,sqrt,172,2,4,False,320.52796647360975
528,sqrt,93,9,15,False,436.4072175877212
209,sqrt,271,35,11,True,900.3037636673829
703,sqrt,80,23,12,False,627.3478278952371
643,sqrt,40,35,3,True,885.2092441330178
454,,65,25,10,False,343.3600896735936
693,sqrt,211,37,7,True,905.3311283258749
392,sqrt,107,2,17,False,376.34399087045864
194,log2,48,19,8,True,693.4571153222066
449,,98,50,11,False,502.3502137802701
461,sqrt,48,50,20,False,906.0142555205041
157,sqrt,174,25,9,True,749.2194727394048
296,sqrt,276,32,19,True,838.7502362653627
179,log2,63,9,13,True,497.32248349947747
731,sqrt,203,17,4,False,550.8482419045763
395,sqrt,133,39,20,True,941.7807495112694
443,sqrt,114,46,6,True,1013.174779802281
15,,189,2,11,True,238.72775462471458
531,sqrt,189,49,15,True,1036.3493647938687
780,,80,48,14,False,498.4674705276045
44,,269,17,18,True,314.3020149681547
696,,293,37,12,True,534.5271247714896
718,log2,211,25,11,True,753.8022403157731
89,sqrt,264,38,15,True,943.918920741457
143,log2,217,4,10,True,382.26601953051454
563,log2,158,19,18,True,661.3751790300199
613,sqrt,213,26,17,True,759.154849864511
231,sqrt,191,10,17,False,461.4636531497862
297,log2,275,13,6,True,589.4793057419778
402,sqrt,114,48,13,False,902.8159872850716
167,log2,109,1,19,True,410.0077597317191
450,,145,6,7,True,266.20539415093765
681,log2,98,29,12,False,701.2478338622074
530,sqrt,56,25,13,False,649.979705499309
615,,191,19,3,True,318.5708985950079
263,log2,95,47,10,False,886.7845789523935
562,sqrt,108,33,15,False,740.5855716440544
298,sqrt,95,21,2,False,586.4879777596167
135,,255,34,16,True,506.8322303740368
735,log2,57,13,10,False,495.61628496840723
116,,96,23,15,False,330.66656269119085
539,log2,77,39,9,True,935.1958369834738
556,log2,127,37,5,True,903.3709784933308
177,log2,83,49,10,True,1072.090263685959
583,sqrt,129,35,3,False,750.4443842461001
767,,293,34,17,False,356.2636806208476
247,,211,14,2,True,307.23157743091434
635,,116,24,12,False,329.605200464861
420,,156,39,7,True,547.3638093634554
469,log2,131,4,13,True,390.03499146703723
649,log2,86,30,12,True,824.0970976153378
162,sqrt,14,4,15,True,410.27578405545165
40,sqrt,200,27,16,True,744.0325424562768
386,log2,5,22,19,False,683.5575533939764
165,,256,16,2,True,311.64397941881384
382,log2,34,40,6,False,784.2939647875212
395,sqrt,133,40,10,False,783.399124957846
592,,45,27,19,True,395.269895639859
428,log2,92,30,13,True,821.799834212093
785,log2,257,43,10,False,820.7123632136659
617,sqrt,264,12,18,True,534.5348105084006
417,,95,43,4,False,488.19334161786855
463,sqrt,44,9,5,False,435.1480677707041
784,sqrt,11,47,13,True,1025.8794561568932
23,log2,73,7,16,False,416.2762318317289
667,,89,8,13,False,309.5241905169935
448,sqrt,238,39,12,False,772.000389768247
22,,123,19,4,False,331.84653434508067
198,,1,22,7,True,1339.7538689401867
69,log2,148,30,5,True,818.4890156501376
293,,275,41,19,True,557.8176738814027
421,log2,212,36,19,False,746.438302483202
592,log2,114,7,19,False,414.81182640324
569,,136,14,11,True,308.0806271662629
743,log2,293,13,18,True,564.004269147604
580,log2,22,21,3,True,700.7319881521252
370,sqrt,143,29,7,True,818.2371849270579
59,log2,162,41,19,True,957.1796049413649
209,,244,2,5,True,216.7108241943538
354,,137,36,5,True,523.1614222085271
248,sqrt,288,5,20,False,396.53315508411157
561,log2,150,48,19,False,893.591850913323
360,sqrt,146,16,14,False,525.4574802437114
609,log2,201,16,7,True,599.0374641560837
386,sqrt,78,26,7,False,675.5093908584516
388,,28,19,17,True,318.7538399790447
520,,110,40,5,True,554.219250983764
523,log2,88,35,11,False,746.4668501723672
406,sqrt,63,12,11,True,544.8827730656484
725,log2,292,18,6,True,643.0765078744963
594,log2,149,4,20,False,396.1752394785809
222,sqrt,207,18,7,False,558.341088842524
279,log2,156,43,15,True,968.2379610701537
693,log2,66,12,11,True,535.3512021542696
144,sqrt,57,50,8,False,949.5463946792535
418,sqrt,113,22,18,False,618.0977703368375
528,log2,12,37,7,False,747.2164099775625
