Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
0.7000000000000001,0.94,True,4930,cyclic,True,6.3974559791106e-07,4865.145608228135
1.1,0.4,True,2592,random,False,9.81009641931971e-07,4616.077465377402
5.5,0.48,False,681,random,True,8.150122315000528e-07,4552.148062272372
0.8,0.61,True,4473,cyclic,False,1.1354708027086653e-07,4717.426379309385
8.700000000000001,0.7000000000000001,False,2682,cyclic,True,4.784880381137968e-08,4555.643652160102
4.3,0.56,False,970,cyclic,False,8.847386745690918e-07,4572.366071765281
1.5,0.72,True,2166,cyclic,True,2.1074593576311057e-07,4678.9355736613215
5.4,0.18,False,2563,cyclic,False,5.140318540657199e-08,4541.461819942567
2.7,0.27,False,865,cyclic,False,8.390357667606773e-07,4570.176083132083
0.5,0.47,False,1156,random,True,5.416950015316021e-07,4713.571857706134
7.4,0.26,True,4568,cyclic,False,8.187165399230533e-07,4430.794472905608
6.0,0.25,True,1218,random,True,6.428283041334258e-07,4436.295200014414
9.1,0.9,False,3286,cyclic,False,6.178278883478058e-07,4623.336035592689
5.2,0.78,False,927,random,False,1.9646308480415547e-07,4605.260528594879
1.1,0.92,False,4288,random,True,9.978795916951767e-08,4753.675491284968
1.1,0.01,True,1128,random,False,6.879234497236838e-07,4547.780154492201
0.5,0.8,True,3497,random,False,7.868236813604505e-07,4825.960427073746
3.1,0.46,False,4245,random,False,7.18059212898474e-07,4579.943463668227
2.0,0.8,True,2403,random,False,9.682524069493402e-07,4685.331673596442
0.7000000000000001,0.8,False,3143,cyclic,False,9.955717926387677e-07,4740.866325194025
0.5,0.38,False,4986,random,False,1.382683721257781e-07,4704.832506622315
1.0,0.99,True,3067,cyclic,True,3.7994431717843e-07,4888.849103783885
5.5,0.09,False,4383,random,False,8.993360377741777e-07,4541.60558330344
3.0,0.85,True,3401,random,False,6.298316702156241e-08,4669.274089629262
1.7000000000000002,0.29,True,1945,random,True,4.054702728223025e-07,4534.630911212862
6.7,0.38,False,1533,random,True,4.361301214931665e-07,4541.976950256023
0.9,0.25,False,2516,random,True,8.618769882451183e-07,4648.552773133642
7.300000000000001,0.29,False,3185,cyclic,False,1.824037839426019e-07,4541.724203121448
1.6,0.72,True,4181,random,True,7.518795168962915e-07,4670.184050803057
1.5,0.97,True,4487,random,False,8.674369608183424e-07,4862.732492705763
3.6,0.8,True,674,random,False,9.531286320912828e-07,4603.35165935713
4.1000000000000005,0.52,False,4834,cyclic,False,8.014593345447953e-07,4570.123193389609
3.5,0.5,False,2947,random,False,7.951963592158816e-07,4577.095099084717
5.0,0.31,True,2807,random,False,6.850744947222348e-07,4445.961598109967
7.300000000000001,0.94,False,724,random,True,8.060164731017599e-07,4681.445610574088
0.1,0.66,False,2590,random,True,5.336197356604903e-07,4768.628046281664
1.3,0.12,False,3283,cyclic,False,4.853470251279582e-07,4605.4553133737045
6.2,0.42,False,754,cyclic,True,4.129988743117306e-07,4544.8525658986055
6.7,0.8,False,952,random,True,5.623308858542235e-07,4594.322279683649
2.5,0.5700000000000001,True,4921,random,True,8.742963606229015e-07,4549.24238131903
0.4,0.84,False,4481,cyclic,True,2.802633156172936e-07,4760.170731033567
0.5,0.35,False,1946,cyclic,True,9.708350352801818e-07,4702.01851579724
6.5,0.61,False,764,cyclic,True,3.260615471201465e-07,4557.10952502671
2.1,0.05,True,1276,random,True,6.199172736674938e-07,4480.439367735837
7.2,0.07,False,946,cyclic,True,6.31968121192714e-07,4545.7693252156405
2.9000000000000004,0.89,True,1046,cyclic,True,1.60124599511291e-07,4714.156387742545
3.2,0.89,False,4332,random,False,6.784747245452957e-07,4696.715913808742
6.7,0.62,True,1609,random,True,3.3504682237242184e-07,4462.358242208116
1.8,0.23,True,3729,cyclic,True,5.459188323692495e-07,4517.876119584262
8.8,0.17,True,4706,random,True,7.880064755151181e-07,4423.870453361359
8.4,0.77,True,3691,random,True,9.423407043747804e-07,4482.658203241319
9.8,0.85,True,2697,cyclic,False,6.355282844073216e-07,4510.256274263875
9.2,0.39,True,1205,random,False,3.1918016993128775e-07,4430.08530591562
9.8,0.4,False,3617,random,True,8.345343426130034e-07,4542.973020279132
1.3,0.71,False,3516,cyclic,True,5.172677579088346e-07,4692.515052131331
6.5,0.96,True,2606,random,True,6.548950681256149e-07,4737.892020939325
7.9,0.62,True,513,cyclic,True,8.919840516475087e-07,4452.579081114988
0.3,0.24,False,1027,cyclic,False,2.145778588285778e-07,4721.240714392055
7.2,0.56,True,3059,random,False,6.064631986551205e-07,4449.768140628597
5.0,0.77,False,4871,random,False,4.250557962844356e-07,4604.888177163082
7.9,0.52,True,4007,cyclic,False,4.368816647438161e-07,4442.027070547825
7.800000000000001,0.37,True,1693,random,False,4.74836214196756e-08,4433.723940735963
1.7000000000000002,0.9,True,4924,cyclic,True,3.805594380171545e-07,4784.090134366787
0.1,0.8300000000000001,False,3840,random,True,4.2555245699292586e-07,4773.592637176189
1.9,0.55,False,3228,cyclic,True,6.767124936833069e-07,4629.126266010519
8.6,0.28,False,2818,cyclic,False,7.922021027770128e-07,4543.920834261419
6.6000000000000005,0.39,False,1014,random,True,3.985098605205416e-07,4542.457153678426
5.300000000000001,0.15,False,1613,cyclic,True,1.5709215008100806e-07,4541.409096803693
8.5,0.37,False,3116,cyclic,True,1.7164529982643917e-07,4541.935161067203
3.2,1.0,False,3330,random,False,8.811134434552823e-07,4778.105761471078
1.9,0.28,False,3717,random,False,2.217005660227593e-07,4593.111144113935
5.2,0.29,True,2217,random,True,8.161198404388197e-07,4443.213234420764
2.2,0.66,False,4931,random,False,1.2402565521862349e-07,4640.152027378118
1.8,0.66,False,3226,random,False,1.7269965916706937e-07,4656.371255197382
7.9,0.2,True,4777,random,True,6.914424612918871e-07,4427.262074663119
6.9,0.11,False,2842,random,False,6.099497987464055e-07,4543.843885396133
7.1000000000000005,0.97,False,2183,cyclic,True,4.379694226562322e-07,4723.424584890595
6.0,0.64,True,3663,cyclic,True,7.523815736890115e-07,4473.716898646461
6.5,0.89,False,1679,random,True,5.45369710868846e-07,4643.402824796704
5.4,0.29,True,4470,cyclic,False,2.772938584428797e-07,4441.745943641371
4.7,0.91,False,2392,cyclic,False,2.5824396000685586e-07,4684.237877664044
6.1000000000000005,0.6900000000000001,False,2447,cyclic,True,7.103002588773447e-07,4572.21643129618
1.9,0.44,False,2893,random,True,9.458420387340482e-07,4610.988709153105
4.800000000000001,0.07,False,2695,cyclic,False,6.861409211801288e-07,4541.4582082690085
9.6,0.6,True,4854,cyclic,False,7.377164681653459e-07,4441.446904938723
7.0,0.31,True,4494,random,False,8.699618553392526e-07,4434.236815702687
9.0,0.79,True,2256,cyclic,False,7.483271045890899e-07,4484.619409368547
2.5,0.86,False,3546,random,False,4.855115838178521e-07,4697.169376131765
1.3,0.18,False,4489,cyclic,True,7.844147282834593e-07,4610.87666232435
5.5,0.47,True,4242,random,False,8.830562632580443e-07,4454.371721032368
4.5,0.04,False,1524,cyclic,True,9.0101981446498e-08,4541.678916132039
9.6,0.58,False,2165,cyclic,False,3.454020576280103e-07,4542.236070408082
8.5,0.05,True,4269,cyclic,True,3.793386035440236e-07,4421.654110641249
8.8,0.12,True,4162,cyclic,False,8.881178657785419e-07,4422.575074242044
6.1000000000000005,0.99,True,4594,cyclic,False,3.7573294363457053e-07,4849.982206123086
4.7,0.05,False,4776,cyclic,True,7.258647766132393e-07,4541.463508128223
1.1,0.17,False,896,random,True,5.856319406475676e-07,4623.665520404239
7.4,0.6,False,1186,random,True,7.34072031167033e-07,4550.715887070015
5.4,0.5,True,3651,random,False,3.200808974086525e-07,4458.827239361453
9.7,0.7000000000000001,False,2663,cyclic,True,8.553898730315989e-07,4551.157800880923
5.6000000000000005,0.8,True,690,random,False,6.682550290908873e-07,4543.54997852893
2.6,0.6900000000000001,False,2284,cyclic,True,6.50684479636307e-07,4633.9942466287175
2.4000000000000004,0.38,False,513,random,True,2.90161128116535e-07,4587.507607816907
8.9,0.98,False,1052,cyclic,False,4.96957387635636e-07,4730.842290503918
7.5,0.03,True,994,cyclic,True,3.0075442155813204e-08,4424.009685077538
8.8,0.76,True,4693,random,True,1.84542268337953e-07,4475.187114018396
4.9,0.77,False,4625,cyclic,False,1.3685011762482424e-07,4606.38510970824
