criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
squared_error,best,2,5,0.8999999999999999,100,0.6,531.5654134971232
poisson,random,100,37,0.9999999999999999,10,0.2,1299.0866287752906
absolute_error,best,10,5,0.9999999999999999,100,0.7,545.909977560764
absolute_error,random,37,5,0.30000000000000004,100,0.30000000000000004,827.4369830729166
friedman_mse,best,2,100,0.7999999999999999,10000,0.6,2046.427826345221
poisson,best,37,5,0.2,10000,0.5,662.564137161248
poisson,random,10,10,0.30000000000000004,1000,0.1,686.9971067959968
absolute_error,random,5,5,0.7999999999999999,10000,0.7,606.6812647569443
friedman_mse,random,37,37,0.9999999999999999,10000,0.6,1112.5408816956367
absolute_error,best,100,2,0.8999999999999999,1000,0.8999999999999999,1028.7384277777771
absolute_error,best,100,2,0.6,10,0.5,1028.7384277777771
absolute_error,best,73,2,0.30000000000000004,100,0.2,832.4646993923611
friedman_mse,random,73,100,0.4,10000,0.0,2254.6038648579065
squared_error,best,100,10,0.7,1000,0.30000000000000004,1140.2085111223591
absolute_error,best,2,1,0.7999999999999999,10000,0.2,626.4202909288194
squared_error,best,73,73,0.2,10,0.5,1565.5656703132336
squared_error,random,2,10,0.30000000000000004,10,0.8999999999999999,690.5479016046627
squared_error,random,37,100,0.0,1,0.2,4621.412477750557
absolute_error,random,73,10,0.4,100,0.7999999999999999,953.9183000000003
absolute_error,best,73,37,0.8999999999999999,10,0.0,1095.8348414930554
squared_error,random,10,100,0.8999999999999999,1,0.30000000000000004,4621.412477750557
squared_error,random,73,2,0.7,100,0.9999999999999999,950.2375381478594
poisson,best,2,2,0.0,10000,0.6,576.3964040509263
poisson,best,100,100,0.9999999999999999,10,0.6,2109.0881578040135
poisson,best,10,37,0.1,1,0.8999999999999999,4621.412477750557
squared_error,best,10,2,0.2,10000,0.5,542.0669383951534
squared_error,random,10,2,0.5,100,0.7,601.5782541595713
friedman_mse,random,73,2,0.4,100,0.9999999999999999,981.6832965701878
poisson,random,100,2,0.4,1,0.1,4621.412477750557
absolute_error,random,5,5,0.6,1000,0.4,608.8576072048614
squared_error,random,10,37,0.9999999999999999,100,0.30000000000000004,1071.6441246634113
squared_error,best,100,10,0.0,1,0.2,4621.412477750557
absolute_error,random,10,100,0.7999999999999999,1000,0.30000000000000004,2000.6330051215273
friedman_mse,random,5,10,0.7999999999999999,10000,0.7999999999999999,836.1503665846797
poisson,random,2,37,0.1,1,0.8999999999999999,4621.412477750557
absolute_error,random,2,1,0.6,100,0.6,696.7320449652774
squared_error,best,100,37,0.0,1000,0.8999999999999999,1189.4241320723327
poisson,random,5,10,0.1,10,0.5,735.0854541575844
absolute_error,best,2,73,0.8999999999999999,1000,0.4,1578.7000034722219
poisson,random,73,2,0.6,1,0.7,4621.412477750557
squared_error,random,10,73,0.0,100,0.0,1743.2996294682973
squared_error,best,100,2,0.6,1,0.0,4621.412477750557
poisson,random,37,2,0.2,100,0.0,787.718131554924
poisson,best,2,2,0.5,10,0.9999999999999999,621.3790947010209
poisson,best,2,5,0.7999999999999999,1000,0.5,642.3900035364175
absolute_error,random,37,10,0.2,10,0.7999999999999999,844.6685710069444
squared_error,random,10,1,0.9999999999999999,10000,0.6,619.6430470423426
absolute_error,best,10,73,0.7,100,0.0,1578.7000034722219
squared_error,best,10,10,0.9999999999999999,10000,0.7,633.7561101325183
absolute_error,best,73,37,0.9999999999999999,1,0.6,4382.020887326386
absolute_error,random,100,1,0.8999999999999999,1000,0.2,1342.7987568576377
poisson,random,5,73,0.8999999999999999,10000,0.30000000000000004,1744.0166200754245
absolute_error,random,10,73,0.6,100,0.7999999999999999,1589.2009057291664
poisson,random,10,5,0.1,1000,0.4,574.0181474306218
poisson,random,2,73,0.30000000000000004,1000,0.4,1734.271818667195
friedman_mse,random,5,1,0.7999999999999999,1,0.4,4621.412477750557
poisson,best,10,1,0.30000000000000004,1000,0.7999999999999999,596.8444861871575
squared_error,random,100,10,0.7999999999999999,1000,0.5,1327.09484145571
absolute_error,random,2,1,0.2,10000,0.1,694.0262751736104
squared_error,best,5,5,0.30000000000000004,100,0.4,531.575225158562
friedman_mse,best,5,37,0.5,1,0.30000000000000004,4621.412477750557
poisson,random,10,10,0.1,10,0.30000000000000004,735.0854541575844
friedman_mse,best,10,10,0.7,1000,0.0,707.2501339229304
squared_error,random,5,5,0.2,10000,0.7999999999999999,559.264177041215
friedman_mse,random,10,5,0.2,1,0.7999999999999999,4621.412477750557
absolute_error,best,2,10,0.5,10000,0.4,599.27660703125
absolute_error,best,5,73,0.5,10000,0.4,1578.7000034722219
poisson,random,73,73,0.7999999999999999,10000,0.6,1744.0166200754245
absolute_error,best,5,2,0.7999999999999999,10000,0.8999999999999999,581.7259332899307
friedman_mse,random,10,1,0.0,10000,0.4,616.2542044022128
absolute_error,random,10,100,0.30000000000000004,10000,0.6,2000.6330051215273
squared_error,random,5,10,0.0,100,0.7999999999999999,691.863138499873
squared_error,random,10,37,0.2,10000,0.2,1071.6441246634113
squared_error,best,100,100,0.8999999999999999,10,0.4,1863.4080011095284
absolute_error,random,2,1,0.4,10000,0.6,697.8974422309025
poisson,random,37,37,0.6,10,0.8999999999999999,1080.9350845281606
friedman_mse,random,37,37,0.8999999999999999,100,0.8999999999999999,1112.5408816956367
absolute_error,random,73,10,0.0,1,0.7999999999999999,4476.269161631945
absolute_error,random,73,37,0.4,10000,0.5,1070.3385381944445
friedman_mse,best,2,73,0.9999999999999999,1000,0.7,1771.2515273695606
squared_error,random,5,37,0.2,10,0.7999999999999999,1071.6441246634113
squared_error,random,2,5,0.7999999999999999,100,0.2,559.2846662230243
poisson,best,73,1,0.2,1000,0.2,866.94150901841
poisson,best,73,5,0.2,1000,0.7,866.94150901841
friedman_mse,random,2,2,0.1,10,0.7,620.550580679902
squared_error,random,5,2,0.9999999999999999,1000,0.9999999999999999,569.3604752202106
absolute_error,best,2,1,0.9999999999999999,100,0.30000000000000004,636.0832674913192
friedman_mse,random,37,37,0.7999999999999999,10,0.7,1112.5408816956367
friedman_mse,best,37,2,0.2,10000,0.30000000000000004,757.2648312018396
poisson,best,73,73,0.4,10000,0.7,1507.8067025010637
absolute_error,best,100,1,0.7999999999999999,10,0.2,1028.7384277777771
absolute_error,random,2,10,0.4,10000,0.30000000000000004,666.7793822916666
squared_error,best,10,2,0.5,1,0.30000000000000004,4621.412477750557
absolute_error,random,37,37,0.30000000000000004,1000,0.30000000000000004,1071.2650124131942
absolute_error,best,2,2,0.6,10,0.0,581.6685100260419
friedman_mse,random,5,73,0.5,1000,0.8999999999999999,1777.7180705879396
friedman_mse,random,5,2,0.5,100,0.4,536.7656179290648
poisson,best,37,5,0.4,10,0.2,681.6661632432126
poisson,random,5,10,0.0,10,0.2,723.834317244913
friedman_mse,random,2,1,0.5,100,0.4,698.1659804803217
friedman_mse,best,5,37,0.5,1000,0.30000000000000004,1274.5244298138905
poisson,random,73,2,0.0,100,0.8999999999999999,944.0347466183284
squared_error,random,2,2,0.2,10000,0.0,563.6521705142086
friedman_mse,best,2,73,0.6,1000,0.9999999999999999,1771.2515273695606
absolute_error,random,73,37,0.0,100,0.5,1072.8415716145832
friedman_mse,random,5,1,0.0,1,0.0,4621.412477750557
squared_error,best,5,10,0.7,10000,0.1,633.7926269668387
squared_error,best,5,73,0.2,100,0.5,1565.5656703132336
friedman_mse,best,10,2,0.30000000000000004,10000,0.7999999999999999,577.5990588793796
friedman_mse,random,73,5,0.4,10000,0.5,981.6832965701878
friedman_mse,best,5,73,0.7,10,0.30000000000000004,1771.2515273695606
friedman_mse,random,2,73,0.4,10000,0.6,1777.7180705879396
absolute_error,random,10,100,0.1,10,0.0,2000.6330051215273
poisson,best,73,37,0.6,1000,0.7,1011.879006947047
squared_error,random,37,73,0.0,10,0.7999999999999999,1743.2996294682973
absolute_error,best,100,10,0.4,10,0.4,1028.7384277777771
squared_error,best,10,5,0.1,10,0.1,548.7609795368323
friedman_mse,random,2,37,0.7999999999999999,1000,0.5,1112.5408816956367
absolute_error,best,10,100,0.4,1,0.7,4382.020887326386
poisson,random,100,2,0.7999999999999999,1000,0.2,1254.3045894319146
absolute_error,best,2,37,0.8999999999999999,1000,0.7999999999999999,1095.8348414930554
squared_error,best,5,100,0.9999999999999999,1000,0.30000000000000004,1863.4080011095284
absolute_error,random,10,100,0.30000000000000004,100,0.8999999999999999,2000.6330051215273
squared_error,best,2,10,0.9999999999999999,1000,0.2,633.7561101325183
squared_error,best,37,73,0.30000000000000004,100,0.8999999999999999,1565.5656703132336
squared_error,best,10,10,0.0,100,0.6,633.8079193277777
friedman_mse,random,37,1,0.4,100,0.7,969.5021230788197
friedman_mse,random,100,1,0.8999999999999999,1000,0.6,1401.3525915340485
friedman_mse,random,10,5,0.0,10000,0.30000000000000004,666.3022674359379
squared_error,random,10,10,0.1,1,0.1,4621.412477750557
friedman_mse,random,2,73,0.7999999999999999,10000,0.2,1777.7180705879396
poisson,best,100,1,0.1,100,0.8999999999999999,1161.9241574289144
poisson,best,37,100,0.8999999999999999,100,0.4,2109.0881578040135
friedman_mse,best,2,1,0.7,10000,0.5,673.0922858728104
poisson,best,73,2,0.4,1,0.5,4621.412477750557
poisson,best,100,37,0.5,1000,0.2,1195.6444945735798
friedman_mse,best,5,1,0.8999999999999999,10,0.6,606.3047034532314
poisson,random,2,1,0.30000000000000004,1,0.9999999999999999,4621.412477750557
absolute_error,random,37,37,0.4,100,0.1,1070.3385381944445
absolute_error,best,100,100,0.7,100,0.8999999999999999,1823.0971453125007
friedman_mse,best,5,10,0.2,10000,0.7,707.2611300520157
absolute_error,random,100,5,0.9999999999999999,1,0.5,4476.269161631945
squared_error,best,73,5,0.7999999999999999,10,0.4,953.3777282034354
poisson,random,73,73,0.7999999999999999,10000,0.30000000000000004,1744.0166200754245
squared_error,random,10,37,0.1,1,0.4,4621.412477750557
friedman_mse,best,10,100,0.4,100,0.7999999999999999,2046.427826345221
friedman_mse,random,2,2,0.9999999999999999,10,0.0,620.304206841569
poisson,best,2,100,0.8999999999999999,10,0.7999999999999999,2109.0881578040135
poisson,best,37,73,0.1,1,0.30000000000000004,4621.412477750557
poisson,random,100,2,0.7,100,0.5,1251.5457673546766
absolute_error,best,10,5,0.1,10000,0.5,518.4324847656246
friedman_mse,best,100,100,0.7999999999999999,1000,0.9999999999999999,2046.427826345221
absolute_error,random,2,5,0.6,10,0.7,579.0130775173609
poisson,best,10,10,0.7,10,0.2,714.5553998764703
absolute_error,best,73,1,0.9999999999999999,1,0.5,4382.020887326386
squared_error,random,5,37,0.7,10000,0.7,1071.6441246634113
absolute_error,best,73,10,0.5,1,0.2,4382.020887326386
poisson,random,10,2,0.1,100,0.1,582.9404243941774
poisson,random,100,37,0.0,10,0.5,1282.5421364270233
squared_error,best,5,100,0.2,10,0.0,1863.4080011095284
squared_error,best,73,37,0.6,1,0.0,4621.412477750557
friedman_mse,random,2,37,0.7999999999999999,1,0.7,4621.412477750557
absolute_error,best,2,73,0.8999999999999999,100,0.5,1578.7000034722219
squared_error,best,10,1,0.1,10,0.5,565.0527941991268
poisson,random,37,5,0.6,1000,0.0,808.9546580599077
poisson,best,2,2,0.7999999999999999,10,0.30000000000000004,642.3900035364173
friedman_mse,random,73,73,0.6,1000,0.7999999999999999,1777.7180705879396
poisson,best,100,1,0.7999999999999999,1,0.8999999999999999,4621.412477750557
absolute_error,random,37,37,0.2,10000,0.1,1071.2650124131942
absolute_error,best,37,1,0.5,1000,0.6,649.3510557291672
squared_error,random,10,10,0.7,10,0.0,690.515847587096
squared_error,random,73,73,0.0,10,0.9999999999999999,1743.2996294682973
poisson,best,5,10,0.0,10000,0.30000000000000004,606.9892274698102
friedman_mse,best,100,100,0.7,1000,0.30000000000000004,2046.427826345221
poisson,random,100,100,0.7,1,0.7999999999999999,4621.412477750557
poisson,best,10,73,0.8999999999999999,1000,0.7,1507.8067025010637
absolute_error,best,37,1,0.7999999999999999,10000,0.7,657.176157118056
poisson,random,73,1,0.6,10,0.6,971.8859787792842
squared_error,random,10,2,0.30000000000000004,10,0.7999999999999999,602.716972651886
friedman_mse,best,5,2,0.0,10000,0.30000000000000004,572.3883611979168
friedman_mse,random,5,10,0.4,100,0.4,836.1503665846797
friedman_mse,best,37,1,0.1,1000,0.2,757.2859993304944
squared_error,best,73,10,0.6,100,0.8999999999999999,953.3777282034354
friedman_mse,best,10,73,0.5,1000,0.0,1771.2515273695606
poisson,random,10,5,0.5,1,0.8999999999999999,4621.412477750557
absolute_error,best,37,10,0.7,100,0.8999999999999999,653.2182630208338
friedman_mse,best,100,73,0.7,1000,0.5,1771.2515273695606
poisson,random,2,5,0.1,1,0.4,4621.412477750557
absolute_error,random,10,10,0.5,10000,0.30000000000000004,665.2485849826387
friedman_mse,random,100,2,0.8999999999999999,10,0.4,1401.3525915340485
squared_error,best,5,5,0.8999999999999999,1,0.30000000000000004,4621.412477750557
squared_error,best,100,73,0.2,1000,0.1,1565.5656703132336
friedman_mse,best,10,2,0.7,100,0.7999999999999999,577.5158678605504
absolute_error,random,37,1,0.2,10,0.0,827.0930946180554
poisson,best,73,1,0.8999999999999999,100,0.30000000000000004,900.1795069648634
squared_error,random,37,1,0.4,100,0.0,824.2481704956278
absolute_error,random,10,1,0.4,100,0.9999999999999999,558.0018671006947
absolute_error,best,5,73,0.8999999999999999,10,0.7,1578.7000034722219
friedman_mse,best,37,73,0.7999999999999999,10000,0.0,1771.2515273695606
friedman_mse,best,37,73,0.7,10000,0.6,1771.2515273695606
poisson,best,73,5,0.5,10000,0.7,882.3623866014088
squared_error,best,10,10,0.4,10000,0.7,633.7712627574967
poisson,random,10,100,0.9999999999999999,1000,0.2,1877.6905554317395
squared_error,random,5,37,0.7999999999999999,100,0.7999999999999999,1071.6441246634113
friedman_mse,random,73,10,0.30000000000000004,10,0.7,981.6832965701878
squared_error,best,73,73,0.2,10,0.30000000000000004,1565.5656703132336
squared_error,random,73,100,0.0,1,0.2,4621.412477750557
