criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
squared_error,random,73,73,0.2,100,0.0,1743.299629468297
absolute_error,best,100,73,0.0,1000,0.8999999999999999,1578.700003472222
squared_error,random,100,73,0.7,1,0.1,4621.412477750557
friedman_mse,random,10,10,0.4,1000,0.7,836.1503665846797
absolute_error,best,100,100,0.1,1000,1.0,1823.0971453125007
squared_error,best,10,37,0.3,1,0.7999999999999999,4621.412477750557
friedman_mse,best,73,5,0.6,100,0.2,1196.738028745796
squared_error,random,10,100,0.5,10000,0.2,2074.212339784653
absolute_error,best,37,100,0.3,100,0.6,1823.0971453125007
poisson,best,37,5,0.2,1,0.5,4621.412477750557
squared_error,best,37,73,0.7999999999999999,1000,1.0,1565.5656703132336
squared_error,random,2,5,0.1,1,0.7,4621.412477750557
squared_error,random,10,10,1.0,10000,0.3,691.8336625766381
poisson,best,73,1,0.7999999999999999,10,1.0,888.5198876018192
absolute_error,best,10,1,0.5,10,0.6,545.0178036024307
squared_error,best,10,100,0.1,10,0.6,1863.4080011095284
poisson,best,10,1,0.1,100,0.7,585.4084824252485
absolute_error,random,5,100,0.7999999999999999,1000,0.7999999999999999,2000.6330051215275
friedman_mse,best,37,5,0.0,100,0.1,757.2937999340038
absolute_error,best,100,1,0.3,10000,0.6,1028.7384277777771
absolute_error,best,2,37,0.6,1,0.7,4382.020887326386
friedman_mse,random,5,73,0.0,1,0.3,4621.412477750557
friedman_mse,best,100,10,0.6,1000,0.6,1625.152964640232
poisson,best,10,37,0.0,1000,0.7999999999999999,991.498556130394
friedman_mse,random,73,5,0.7999999999999999,1000,0.1,981.6832965701878
poisson,best,2,73,0.1,1,0.6,4621.412477750557
absolute_error,best,37,73,0.7,10,0.2,1578.700003472222
poisson,best,2,73,0.3,1,0.2,4621.412477750557
friedman_mse,random,5,5,0.0,10000,0.7999999999999999,666.3022674359379
absolute_error,best,5,100,0.1,100,1.0,1823.0971453125007
squared_error,best,37,5,0.0,1,0.8999999999999999,4621.412477750557
friedman_mse,random,10,5,0.2,100,0.1,666.2920571576806
absolute_error,random,2,1,0.5,100,1.0,700.2488460503469
friedman_mse,best,10,1,0.3,100,0.7,577.5990588793796
friedman_mse,random,73,37,0.2,10,0.8999999999999999,1112.5408816956367
absolute_error,random,37,5,0.0,1,0.7999999999999999,4476.269161631945
friedman_mse,best,37,1,0.4,1,0.4,4621.412477750557
friedman_mse,random,37,10,0.3,10000,0.1,1062.1810030326585
squared_error,random,37,73,0.8999999999999999,10000,0.7,1743.299629468297
absolute_error,best,2,37,0.2,100,0.8999999999999999,1097.325403125
friedman_mse,random,10,10,0.3,1000,0.8999999999999999,836.1611817599369
poisson,best,37,73,0.3,10,0.5,1507.8067025010637
absolute_error,best,10,2,0.2,100,0.5,535.6636292968748
squared_error,best,5,5,1.0,10,1.0,548.7962433219883
squared_error,random,10,10,0.6,1,0.2,4621.412477750557
squared_error,best,5,100,0.4,1000,0.5,1863.4080011095284
absolute_error,best,37,73,0.7999999999999999,100,0.5,1578.700003472222
squared_error,best,10,10,0.3,1,0.2,4621.412477750557
friedman_mse,best,5,10,0.8999999999999999,1000,0.6,707.2266740270973
absolute_error,best,10,1,0.0,10000,0.7,534.7468082465277
friedman_mse,best,37,73,0.6,1000,0.4,1771.2515273695606
squared_error,best,37,37,0.6,10,0.7999999999999999,1057.7224815547322
squared_error,best,10,5,0.1,1000,0.3,531.486871103252
