N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
1,uniform,kd_tree,90,1.0,l1,1765.9908098958317
6,uniform,brute,100,3.0,manhattan,2008.6302943576397
10,distance,brute,70,2.0,cityblock,1951.8121441524322
4,uniform,kd_tree,90,2.5,l2,2233.8503789062497
8,uniform,brute,70,3.5,cityblock,2102.5740177842877
6,uniform,brute,10,4.5,cityblock,2008.6302943576397
4,uniform,brute,80,4.0,l2,2239.7651857638884
4,uniform,kd_tree,30,4.5,cityblock,1871.2602496961806
7,uniform,brute,90,3.0,l1,2067.0389020585308
9,uniform,brute,60,3.5,l2,2491.2347014660504
9,uniform,brute,60,4.0,manhattan,2144.443284876544
3,uniform,kd_tree,20,4.5,euclidean,2018.7525183449065
4,distance,ball_tree,80,4.5,cityblock,1744.4517429021312
1,uniform,ball_tree,90,3.5,manhattan,1770.3169246527764
4,distance,kd_tree,70,3.0,euclidean,1983.714490269119
8,distance,ball_tree,60,4.0,manhattan,1888.754433110601
1,distance,ball_tree,50,4.5,manhattan,1753.037386545138
9,distance,kd_tree,80,2.5,l2,2238.285410079251
9,distance,brute,60,4.5,euclidean,2251.1654642525027
6,distance,kd_tree,100,4.0,l1,1810.319451528708
2,uniform,kd_tree,60,3.5,cityblock,1817.573119487847
1,distance,kd_tree,20,4.0,l2,1812.4701300347215
2,uniform,ball_tree,30,3.5,l2,1876.3613934895825
9,uniform,ball_tree,30,3.5,euclidean,2467.44654601659
9,distance,ball_tree,50,4.5,l2,2245.0142328632637
9,distance,ball_tree,70,3.5,cityblock,1917.3352035640467
6,uniform,ball_tree,100,2.0,l2,2222.973464525464
1,uniform,ball_tree,50,4.0,euclidean,1798.3941256944433
10,uniform,brute,60,2.5,l2,2520.199073142361
6,uniform,kd_tree,80,4.5,cityblock,2023.2775563946761
8,uniform,brute,90,2.0,l1,2102.5740177842877
2,uniform,ball_tree,30,1.0,euclidean,1876.3613934895825
5,distance,kd_tree,70,1.5,euclidean,2022.6034508728214
5,distance,kd_tree,60,2.5,euclidean,2022.6034508728214
6,distance,ball_tree,10,2.5,l1,1813.7973946454422
2,uniform,kd_tree,90,2.0,cityblock,1802.978057942708
4,distance,brute,10,4.5,euclidean,1993.7315493432159
7,distance,ball_tree,70,4.5,l1,1848.5045811895484
4,distance,kd_tree,60,3.5,l2,1983.714490269119
4,distance,brute,60,4.5,euclidean,1993.7315493432159
6,distance,ball_tree,90,3.5,manhattan,1812.3331255895018
3,uniform,ball_tree,80,1.0,manhattan,1847.8332337384259
1,distance,kd_tree,20,1.0,l2,1812.4701300347215
4,uniform,ball_tree,50,2.0,euclidean,2223.3690593967003
7,distance,kd_tree,10,1.0,cityblock,1848.3972050396528
5,distance,brute,80,2.0,l1,1745.6377063296723
1,distance,ball_tree,90,2.5,l2,1807.801232031249
2,uniform,kd_tree,60,1.0,manhattan,1817.573119487847
2,distance,kd_tree,90,1.0,l2,1804.6924956476091
2,distance,brute,50,4.5,manhattan,1701.5679999462625
2,uniform,kd_tree,40,1.0,l1,1817.573119487847
4,uniform,kd_tree,30,4.5,euclidean,2227.3823209201373
7,distance,brute,40,2.0,l2,2134.1858516831617
6,uniform,ball_tree,70,3.0,cityblock,2023.1643656973383
5,uniform,brute,80,4.5,manhattan,1950.6837943749986
6,distance,brute,20,1.5,l1,1795.5863513373456
9,distance,ball_tree,50,2.0,manhattan,1917.3352035640467
3,distance,kd_tree,20,1.5,l1,1671.9144893893863
7,distance,kd_tree,40,1.5,l2,2126.244115380411
1,distance,ball_tree,100,2.5,manhattan,1770.3169246527764
4,uniform,kd_tree,70,1.5,l2,2224.1487989800335
1,uniform,brute,60,1.0,l2,1836.4038850694428
6,uniform,kd_tree,80,4.0,manhattan,2023.2775563946761
3,uniform,brute,20,4.5,euclidean,2020.7550107928228
6,distance,ball_tree,50,3.5,l1,1803.0829765475246
5,uniform,kd_tree,50,4.0,manhattan,1992.1702712152764
5,uniform,kd_tree,10,1.0,manhattan,1988.687916822917
2,distance,ball_tree,50,4.5,l2,1760.7120913859694
6,distance,kd_tree,70,3.0,euclidean,2057.5443210682806
10,uniform,kd_tree,60,1.5,l2,2512.5004574739564
7,distance,brute,70,4.5,l2,2134.1858516831617
4,distance,ball_tree,50,4.5,manhattan,1720.378984970966
2,distance,brute,70,3.5,l1,1701.5679999462625
5,distance,kd_tree,90,2.0,manhattan,1777.5854214971048
10,distance,ball_tree,60,4.5,manhattan,1964.962079186973
10,uniform,kd_tree,10,3.0,cityblock,2197.0468288888883
9,uniform,ball_tree,10,1.0,cityblock,2139.820394714509
8,uniform,brute,70,1.5,euclidean,2431.830853960503
10,uniform,brute,50,4.0,manhattan,2206.127236953126
8,distance,ball_tree,100,3.5,l2,2197.93717696994
1,uniform,brute,40,2.0,euclidean,1836.4038850694428
7,distance,kd_tree,70,2.0,l2,2126.244115380411
4,distance,brute,80,1.0,cityblock,1720.0117581538016
1,distance,brute,90,3.5,l1,1791.0471459201376
7,distance,ball_tree,70,4.0,manhattan,1848.5045811895484
3,uniform,brute,40,2.0,l2,2020.7550107928228
9,uniform,kd_tree,40,4.0,l1,2170.3056349633503
1,distance,kd_tree,50,2.0,l1,1761.487921093749
10,distance,ball_tree,30,2.0,manhattan,1951.238597140682
3,uniform,brute,50,4.0,euclidean,2020.7550107928228
8,distance,brute,30,2.0,manhattan,1874.3507312582553
6,distance,ball_tree,90,2.5,euclidean,2042.9027604073985
2,distance,ball_tree,80,1.0,euclidean,1772.547254848827
4,distance,kd_tree,60,2.0,euclidean,1983.714490269119
8,distance,brute,10,3.5,cityblock,1874.3507312582553
1,distance,brute,100,3.0,l1,1791.0471459201376
7,uniform,brute,70,1.5,l1,2067.0389020585308
7,uniform,ball_tree,40,1.5,l1,2070.20012077133
3,distance,ball_tree,50,3.0,l1,1644.47821430591
7,uniform,kd_tree,60,4.0,manhattan,2071.9265624875998
7,uniform,kd_tree,10,1.5,euclidean,2329.7440831721256
7,uniform,ball_tree,40,4.0,euclidean,2322.4500251116087
9,distance,ball_tree,80,2.5,manhattan,1914.6969285108094
6,distance,ball_tree,10,1.0,euclidean,2055.2511667519852
4,uniform,kd_tree,60,1.0,cityblock,1929.8415603298608
7,distance,brute,60,2.0,manhattan,1841.7103345580026
1,uniform,kd_tree,30,2.5,l2,1812.4701300347215
8,distance,kd_tree,20,2.0,euclidean,2203.129621478878
3,uniform,kd_tree,10,2.5,cityblock,1831.7617546875
8,distance,brute,80,3.0,euclidean,2195.7055218131463
