N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
5,uniform,kd_tree,90,1.0,l2,2265.644910225694
9,distance,ball_tree,20,1.0,euclidean,2232.4020381935848
4,uniform,ball_tree,10,4.5,cityblock,1892.103025651042
10,uniform,ball_tree,30,2.0,l1,2204.087760130208
2,uniform,brute,70,1.5,l2,1945.263195442708
6,distance,kd_tree,80,3.5,manhattan,1810.319451528708
9,uniform,kd_tree,50,2.0,l1,2170.3056349633503
5,uniform,ball_tree,90,3.0,manhattan,2003.5662850694448
7,distance,brute,40,2.0,cityblock,1841.7103345580024
2,uniform,brute,20,2.0,euclidean,1945.263195442708
8,uniform,ball_tree,70,1.5,l2,2435.5533852105023
8,distance,brute,30,2.0,cityblock,1874.3507312582556
1,distance,brute,50,3.5,l2,1836.4038850694428
8,distance,ball_tree,90,4.0,euclidean,2197.93717696994
5,distance,ball_tree,50,1.5,cityblock,1776.6395064167143
4,distance,ball_tree,20,3.5,l2,1983.1693085546108
5,uniform,kd_tree,80,2.5,euclidean,2265.644910225694
8,distance,brute,10,4.0,manhattan,1874.3507312582556
5,distance,kd_tree,70,4.5,l2,2022.6034508728212
6,uniform,kd_tree,90,4.0,l1,2023.277556394676
4,distance,ball_tree,80,1.5,l1,1744.4517429021312
8,distance,kd_tree,90,4.5,manhattan,1876.7372116495255
9,distance,brute,80,4.0,l2,2251.1654642525027
6,uniform,brute,40,4.0,l1,2008.63029435764
3,uniform,kd_tree,90,4.5,cityblock,1846.1428260416665
3,distance,brute,80,1.0,manhattan,1656.968879695727
10,distance,brute,90,3.5,l1,1951.812144152432
7,uniform,brute,30,1.5,cityblock,2067.0389020585308
10,distance,ball_tree,70,3.0,l1,1964.962079186973
8,distance,kd_tree,80,2.0,l1,1876.7372116495255
5,distance,brute,90,3.0,l1,1745.6377063296725
10,distance,ball_tree,90,1.0,euclidean,2269.0962053418443
5,uniform,ball_tree,10,4.0,l2,2241.682099809026
5,distance,brute,90,1.5,euclidean,2024.203906032044
7,uniform,brute,30,4.0,cityblock,2067.0389020585308
5,distance,kd_tree,90,4.0,euclidean,2046.6580647713656
3,uniform,kd_tree,50,2.5,l1,1794.8133527488433
4,uniform,ball_tree,60,1.5,l2,2223.3690593967003
5,uniform,kd_tree,50,4.5,manhattan,1992.1702712152764
8,distance,brute,80,4.5,manhattan,1874.3507312582556
8,uniform,kd_tree,30,1.5,manhattan,2125.677719552952
4,uniform,brute,100,4.5,cityblock,1929.923539778647
2,distance,brute,70,3.0,cityblock,1701.5679999462625
6,uniform,brute,20,4.5,euclidean,2270.693337427662
5,uniform,kd_tree,60,3.5,manhattan,1992.1702712152764
6,uniform,kd_tree,10,3.5,l2,2252.4737325810183
3,distance,kd_tree,70,2.5,l1,1645.1727045920827
6,distance,brute,70,4.0,l1,1795.5863513373456
5,distance,kd_tree,50,4.0,cityblock,1775.19837205339
7,uniform,kd_tree,80,2.5,cityblock,2100.01428184524
1,distance,kd_tree,80,4.0,manhattan,1765.9908098958315
6,distance,ball_tree,10,4.0,manhattan,1813.7973946454424
3,uniform,brute,50,1.0,cityblock,1823.248381799769
2,distance,brute,80,3.5,manhattan,1701.5679999462625
8,uniform,brute,80,1.5,manhattan,2102.574017784288
5,uniform,brute,80,3.5,l2,2239.25912970486
4,distance,brute,20,4.0,l2,1993.731549343216
5,uniform,ball_tree,10,2.0,l1,1997.0619303472224
8,distance,kd_tree,80,4.5,euclidean,2199.6143082257336
9,uniform,kd_tree,80,1.0,euclidean,2481.3212051601085
9,uniform,brute,60,1.5,l1,2144.443284876544
5,distance,brute,20,4.5,manhattan,1745.6377063296725
5,distance,kd_tree,60,1.5,l2,2022.6034508728212
5,distance,brute,10,1.5,manhattan,1745.6377063296725
3,distance,ball_tree,70,4.5,cityblock,1644.47821430591
7,distance,kd_tree,20,2.0,euclidean,2120.7052200750977
2,uniform,ball_tree,90,3.0,l2,1897.240109809028
7,distance,brute,50,2.5,manhattan,1841.7103345580024
6,uniform,ball_tree,80,1.5,cityblock,2027.9504441261572
2,uniform,brute,90,4.5,l2,1945.263195442708
2,distance,brute,90,4.5,l1,1701.5679999462625
8,uniform,ball_tree,40,1.5,l1,2132.931632866752
3,distance,kd_tree,40,3.0,l1,1645.1727045920827
2,distance,kd_tree,40,2.5,l2,1772.6061603097514
