Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
86,100,1e-08,True,False,True,random,4866.747666934063
1,1100,0.1,True,True,True,random,4992.331959317726
11,8600,0.001,True,False,True,cyclic,4893.107950390386
76,5100,9.999999999999999e-05,True,False,False,cyclic,4870.25535773592
51,8100,9.999999999999999e-06,False,True,True,random,4748.422208616036
6,4100,1e-06,False,True,True,random,4755.421197092488
21,100,9.999999999999999e-05,False,False,False,random,4774.730891617137
51,600,0.001,True,True,True,random,4974.496527638169
51,2600,1e-07,True,True,True,random,4974.496253002894
36,1100,0.1,True,True,False,random,4979.306659370415
16,8600,1e-06,True,False,False,cyclic,4891.347450844181
46,7600,9.999999999999999e-06,True,False,True,random,4880.784697991512
81,8100,9.999999999999999e-06,False,False,True,random,4763.710435864969
26,100,9.999999999999999e-05,True,True,True,random,4983.373679331901
41,1600,9.999999999999999e-06,True,True,False,cyclic,4978.029838401026
6,1100,0.001,True,False,True,random,4894.868961794743
26,1600,0.001,True,False,True,random,4887.829168091184
76,7100,0.1,False,False,False,random,4763.400043744708
11,7600,1e-07,True,True,True,random,4988.751738297811
1,100,1e-08,False,True,False,random,4756.200683952061
31,2600,1e-06,False,True,False,random,4751.525189491455
26,6600,9.999999999999999e-06,False,True,False,cyclic,4752.307058987067
46,8600,0.1,True,False,False,cyclic,4880.784740687697
16,100,0.1,False,False,False,cyclic,4775.741057793672
91,9600,0.01,True,False,True,cyclic,4864.9940210460245
6,8600,0.1,True,True,False,cyclic,4990.554617393298
31,9100,1e-08,True,False,True,cyclic,4886.06599529236
96,9100,1e-06,True,False,False,random,4863.240020520585
21,4100,9.999999999999999e-06,True,True,True,cyclic,4985.162105355823
1,5600,0.1,False,True,True,cyclic,4758.581649087398
66,9600,0.01,False,False,False,cyclic,4766.520606104458
41,7100,0.01,True,False,True,cyclic,4882.545226170141
21,3100,1e-07,True,False,True,random,4889.586966488114
86,9600,0.01,True,True,False,cyclic,4962.213969538209
6,5100,9.999999999999999e-05,True,True,True,random,4990.546368240844
11,6600,0.01,True,True,False,cyclic,4988.754012849517
71,9100,1e-06,True,True,True,cyclic,4967.458574097067
16,7100,0.001,True,True,True,random,4986.958075297804
71,6600,1e-08,False,True,False,cyclic,4745.328098990643
71,5600,0.001,False,False,False,random,4765.596664709497
36,9100,0.001,False,False,True,cyclic,4771.913310783948
56,100,1e-07,True,False,False,cyclic,4877.270738040263
21,100,1e-08,True,False,True,cyclic,4889.586965356493
81,9600,1e-06,True,True,True,random,4963.960941135558
56,1100,0.1,False,False,False,random,4767.824416571239
41,7100,0.01,True,False,False,random,4881.535728277117
71,8100,0.1,True,False,True,cyclic,4872.009403574509
71,4600,0.01,False,False,False,random,4765.480214422232
26,3600,0.1,True,True,False,random,4982.901270492112
46,6600,1e-06,False,False,True,random,4770.062292406785
66,2100,0.01,False,False,False,random,4766.35022773499
36,100,0.01,True,False,True,random,4884.30299401406
51,4100,9.999999999999999e-06,True,True,False,random,4974.496459668109
81,2600,1e-08,True,True,True,random,4963.960910854193
46,8100,0.01,True,False,True,random,4880.78409542645
41,1600,9.999999999999999e-05,False,True,True,cyclic,4749.995577876516
71,3100,9.999999999999999e-05,True,False,True,cyclic,4872.009202919002
86,3100,9.999999999999999e-06,False,True,True,cyclic,4743.008808641858
86,7100,0.1,False,False,False,cyclic,4762.903386598113
21,5100,1e-06,False,False,True,cyclic,4774.703449016201
36,2600,1e-08,True,True,False,cyclic,4979.809011118392
31,8100,9.999999999999999e-05,True,False,False,cyclic,4886.065995720365
1,4600,1e-08,True,False,True,cyclic,4896.637168063917
1,1100,1e-06,True,False,True,cyclic,4896.637168522987
61,2100,1e-07,True,False,True,random,4875.516890985555
51,1100,9.999999999999999e-06,True,True,False,cyclic,4974.496253810987
1,1600,0.001,True,False,True,cyclic,4896.637168494468
96,1100,1e-08,True,True,False,random,4958.714491650433
26,2100,0.001,True,False,True,random,4887.827442553155
16,5100,1e-07,True,True,False,random,4986.956925420078
61,5600,1e-07,True,False,True,random,4875.516892844872
61,6600,0.01,True,False,False,cyclic,4875.5170948387495
6,3100,9.999999999999999e-06,True,False,False,cyclic,4894.868420886504
76,6600,9.999999999999999e-06,False,False,False,random,4764.635084815807
96,5600,9.999999999999999e-05,True,True,True,random,4958.714650880641
6,8600,0.1,False,True,False,random,4703.497247780104
46,5100,1e-08,True,True,False,cyclic,4976.261175791509
1,4600,1e-06,False,False,False,cyclic,4778.528700930905
26,8600,9.999999999999999e-06,True,True,False,cyclic,4983.373875148395
86,2100,9.999999999999999e-05,False,True,True,random,4743.613511620853
81,100,0.001,False,True,True,cyclic,4743.825200625231
1,4600,0.1,True,True,False,random,4992.341342977549
21,1600,0.001,True,True,False,random,4985.161719863023
36,9100,1e-06,True,True,True,cyclic,4979.809011110052
66,2600,9.999999999999999e-06,False,False,True,random,4766.424973245354
6,1600,9.999999999999999e-05,True,False,True,cyclic,4894.868420886504
61,600,9.999999999999999e-06,False,True,False,random,4746.869070551806
76,6600,0.001,False,True,True,cyclic,4744.598375650613
