N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
159,log2,205,23,9,True,2096.2502267914806
171,0,109,29,20,True,1211.524823095103
304,sqrt,38,26,4,False,1863.7695152213973
619,sqrt,50,38,14,False,2122.664251883697
53,0,300,18,13,False,720.3250833352926
749,sqrt,172,10,8,False,1390.006431503647
554,log2,277,14,20,True,1832.1447219328393
713,0,130,10,17,True,649.6752385650316
205,log2,253,50,19,True,2801.6973906118656
543,sqrt,106,42,15,True,2587.997007575729
134,log2,44,12,9,False,1492.5956739140406
540,log2,217,17,14,True,1898.8039882145567
118,sqrt,167,10,18,True,1679.60981932727
186,sqrt,297,46,20,False,2341.912336689416
627,log2,193,15,11,False,1534.4245871727594
596,log2,276,18,11,False,1662.991672802656
707,None,272,13,6,True,715.3993204986742
496,log2,72,36,15,False,2128.4517850491757
313,0,170,16,19,False,699.8778613346076
227,0,224,4,18,True,583.7085955419054
11,0,1,20,12,True,4620.383954104325
746,0,164,45,19,False,1093.7730825489054
744,sqrt,296,2,15,False,1128.6509068754071
545,log2,36,20,3,False,1734.399095350947
119,0,130,9,16,True,632.384578512232
62,sqrt,248,10,16,True,1690.7605917829433
345,0,182,4,11,False,535.7351443976679
678,0,134,41,17,True,1533.0970547113043
25,sqrt,32,48,18,True,2698.86352977356
396,sqrt,280,6,16,True,1384.601505797287
399,log2,41,27,7,True,2292.482648966476
512,sqrt,27,31,16,True,2345.019298241229
460,log2,205,14,3,True,1824.0328316968667
207,0,137,49,6,False,1456.4232195167235
734,0,50,43,16,True,1542.3801611007398
133,sqrt,281,37,11,False,2100.006208692414
566,sqrt,260,12,5,True,1692.682712947476
166,log2,84,24,13,False,1801.1134860779962
463,0,64,19,15,True,923.5441382029472
538,sqrt,161,6,9,True,1367.4958645441197
501,0,8,37,3,False,1058.584595144604
14,sqrt,174,29,8,False,1726.6627093179907
571,log2,84,7,8,True,1456.0763216921669
94,sqrt,68,21,20,False,1744.425547680506
217,log2,60,10,13,False,1411.5529557852128
614,log2,17,46,10,True,2689.652560815969
696,sqrt,246,31,13,True,2354.0484439563675
412,0,236,48,16,False,1457.1382488185168
505,sqrt,227,11,4,False,1418.0745125653955
532,sqrt,256,17,2,False,1605.7984854927108
134,0,186,28,18,True,1163.8444028582571
32,log2,104,1,16,False,1158.4336608801964
252,0,120,25,7,True,1054.9989554007207
644,log2,296,34,14,False,2062.1787832797568
44,sqrt,14,20,12,True,2011.919479332788
67,sqrt,81,48,20,False,2297.822970331091
652,log2,263,25,4,False,1877.5976770400862
399,0,16,10,7,False,633.8079193277794
77,0,13,33,15,False,989.6029189391534
107,sqrt,283,7,14,True,1477.3504976993686
21,log2,164,7,15,True,1395.085941048968
261,0,300,22,13,False,866.6893244979358
691,log2,69,45,17,True,2639.3454738756545
723,sqrt,49,24,15,False,1840.4614144366465
36,0,294,30,14,False,988.4380448144523
694,0,271,11,19,False,635.030740803219
182,0,36,6,14,False,522.7384830753028
91,0,127,4,13,False,536.9972516531817
192,0,245,5,17,True,573.6263737501587
103,sqrt,206,43,11,True,2678.787562975098
70,0,224,24,4,True,1038.6886793507551
593,0,132,38,15,True,1498.8318879716064
161,0,224,11,16,False,635.0307408032149
608,0,243,49,20,False,1456.4232195167272
229,sqrt,42,42,20,True,2581.586467396548
527,log2,279,36,3,True,2557.0759923455735
227,sqrt,224,49,6,True,2783.3901641679176
56,0,236,3,8,False,531.8538337293322
589,0,73,29,12,False,980.2567222434702
360,0,259,8,4,True,611.4887917338751
498,sqrt,58,36,2,False,2127.6320144465058
114,sqrt,161,30,11,True,2333.369980134109
791,log2,58,6,13,True,1370.7326192146156
8,0,81,47,10,False,1473.7597751698363
414,sqrt,82,50,17,True,2794.203450189595
630,sqrt,8,16,2,True,1910.061076154275
416,0,218,3,8,True,484.8531944706752
670,0,286,20,11,True,951.5027835241333
644,log2,198,1,8,False,928.7867498310459
550,log2,259,37,6,False,2109.900014513113
29,sqrt,67,22,3,True,2173.038337483992
424,log2,85,39,19,False,2185.527995923112
669,log2,66,23,8,True,2156.689502679831
13,0,57,30,5,True,1259.4444736711955
545,sqrt,292,18,15,False,1651.2607713331583
20,0,261,23,18,True,1017.0323377726224
248,sqrt,268,35,17,False,2174.5280089000817
138,log2,263,15,11,True,1921.3071202726805
40,sqrt,231,42,8,True,2760.984758628095
313,log2,242,5,19,False,1239.933564206944
636,0,167,22,15,True,996.8952222078808
57,0,293,3,8,False,531.8538337293321
473,0,57,43,15,True,1542.7541612080772
489,sqrt,155,19,20,False,1672.0519499335808
304,sqrt,132,39,6,False,2164.123711632239
465,0,125,13,7,True,715.0780967734177
684,0,269,29,16,True,1213.7125114355904
119,sqrt,235,15,5,False,1518.5200107727078
477,sqrt,175,37,11,False,2110.077349556323
172,sqrt,221,15,13,True,1880.9783448451954
342,0,64,37,5,True,1486.9280812487182
238,sqrt,288,40,2,False,2216.140542163011
544,log2,3,35,18,False,3627.3854147657357
138,sqrt,78,17,16,False,1603.8578397207575
207,0,43,4,10,True,493.2302955885085
496,log2,111,20,17,True,2018.5116703601348
158,sqrt,199,28,9,True,2304.54200277184
619,0,226,18,19,False,720.3250833352928
212,log2,258,10,3,False,1414.2633423182983
147,log2,204,26,11,True,2195.0005072612203
93,0,50,38,20,False,1055.9488452507555
151,0,188,15,15,False,696.0951994745062
453,sqrt,87,4,4,False,992.877638564982
756,sqrt,94,17,18,False,1613.796957944361
