No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-
0,0,0,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.464,1511.972304
0,0,0,1,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.464,1515.627379
0,0,1,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.404,1504.082464
0,1,0,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.509,718.9130952
0,0,0,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.531,261.733
1,0,0,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,56.993,1728.207065
0,0,0,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.531,256.2320741
1,0,0,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.531,239.4783333
0,0,1,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.694,243.3783333
0,0,0,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.121,372.1449537
0,0,1,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.042,371.2858796
0,1,0,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.052,1239.911061
0,0,0,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.405,528.9010101
1,0,0,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.405,533.3593687
0,1,0,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.464,4767.635563
0,1,0,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.404,1892.387229
0,0,0,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.405,520.6647273
0,0,1,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.402,511.8682121
1,0,0,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.659,756.2279306
0,0,0,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.367,656.3967196
0,0,1,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.421,665.6313651
0,0,0,1,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.367,663.280619
0,1,0,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.322,1738.575846
0,0,0,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.453,678.2559341
1,0,0,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.453,676.8232784
1,0,0,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,41.485,524.944
0,0,0,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.544,777.2546667
0,0,1,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,739.2847639
0,0,0,0,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.825,297.4359259
0,1,0,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.535,2316.020993
1,0,0,0,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.825,303.1780952
0,0,1,0,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.886,318.1514286
0,0,1,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.377,628.8092308
0,1,0,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.429,2080.718587
0,0,0,1,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.453,680.875
