Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
51,4800,9.999999999999999e-06,True,True,False,cyclic,0.3627525906906642
11,300,0.001,True,True,True,cyclic,0.34431133437279543
31,300,0.1,True,False,True,random,0.2904747636715587
26,1800,0.01,False,False,True,random,0.3741333471113467
96,1800,0.01,False,False,False,cyclic,0.40987796912648083
71,800,0.001,False,True,True,random,0.3951119829804501
81,1300,1e-07,True,True,True,cyclic,0.36824388849064493
6,800,1e-07,False,False,True,cyclic,0.37527567502914544
86,300,0.1,False,True,False,cyclic,0.431780040912636
56,3300,1e-07,True,True,False,cyclic,0.36333487738800735
81,3300,0.01,True,False,True,cyclic,0.3597196239670276
81,3800,1e-07,False,False,True,cyclic,0.4106931795938962
26,1800,0.001,False,True,True,random,0.3778704407430581
31,300,9.999999999999999e-06,True,True,False,cyclic,0.35138954070276057
36,2300,9.999999999999999e-05,False,False,False,random,0.3859735849163074
71,3300,9.999999999999999e-06,True,False,False,random,0.34653594485345024
21,800,0.01,False,True,True,cyclic,0.3783144520634748
41,3800,1e-06,False,False,True,cyclic,0.3908625531867934
86,1800,9.999999999999999e-06,True,False,True,random,0.3667112509315328
1,1800,1e-08,True,False,False,cyclic,0.2760340512773301
86,2300,1e-08,False,True,False,cyclic,0.39854093446182054
51,300,1e-06,True,True,True,random,0.36275285607733077
86,800,0.001,False,False,False,random,0.41041231123901867
76,3800,1e-06,True,True,True,cyclic,0.3671535388065224
91,2800,9.999999999999999e-05,True,False,True,cyclic,0.3742998379585705
86,2300,0.01,True,True,False,cyclic,0.3692593479926314
96,4300,9.999999999999999e-06,True,True,False,random,0.3712762221152034
41,1300,9.999999999999999e-06,False,False,False,cyclic,0.39086305799540433
21,2800,9.999999999999999e-06,False,True,False,random,0.3753909224335684
81,4300,0.1,False,True,True,random,0.39688057112355746
41,800,1e-06,False,True,False,random,0.39012419423181854
66,4300,1e-08,False,True,False,random,0.394107110727397
91,1800,1e-08,True,True,True,random,0.37042457531631534
6,4300,0.1,True,True,False,random,0.3474251686865589
16,4800,1e-08,False,False,False,random,0.3682058328847673
71,4300,9.999999999999999e-06,False,True,True,cyclic,0.39516834389083894
71,2800,0.001,True,False,True,random,0.3465256494333282
56,4800,0.01,True,False,False,random,0.3290068697290027
96,800,9.999999999999999e-06,False,False,True,cyclic,0.4100965047265942
56,3800,0.1,True,True,False,random,0.36360855469257114
91,1300,9.999999999999999e-06,False,False,True,random,0.4102256370128685
96,800,9.999999999999999e-06,True,False,True,random,0.382166621216826
31,1300,1e-08,False,True,True,random,0.38483767135211927
61,1800,1e-07,False,True,False,random,0.3932328503535588
66,4800,0.001,True,False,True,random,0.3403438176733802
66,3800,0.01,True,False,True,cyclic,0.3402177579238452
56,3300,1e-08,False,True,False,cyclic,0.39238509104924374
51,800,1e-06,True,True,True,cyclic,0.36275260643784757
51,3800,0.1,True,True,True,random,0.361868694457431
31,800,1e-07,False,True,True,random,0.38483766323286345
81,800,9.999999999999999e-06,False,True,False,cyclic,0.3973603123124598
51,2300,1e-07,False,False,False,cyclic,0.39784548168566947
71,4300,9.999999999999999e-06,False,False,True,random,0.4106910133681413
86,3800,1e-08,True,False,True,cyclic,0.3667112091200873
36,1800,9.999999999999999e-05,True,True,True,random,0.3532198139643832
71,3300,9.999999999999999e-06,True,True,False,cyclic,0.366063121976246
66,3300,1e-06,False,True,False,cyclic,0.39410714123050894
96,3800,0.001,True,True,True,cyclic,0.37126774808147606
96,1300,1e-06,False,False,True,random,0.41009447973781177
31,3300,0.001,True,False,False,cyclic,0.29100931104949035
81,1300,1e-07,False,True,False,random,0.3973602248066985
91,2300,1e-06,True,False,True,random,0.3743000159966955
36,1300,9.999999999999999e-05,False,False,True,random,0.3859725357008142
56,1300,9.999999999999999e-06,True,True,True,cyclic,0.36333474215608386
96,2800,1e-06,True,True,True,cyclic,0.3712762823572626
61,2800,1e-06,True,True,False,random,0.3640080198600964
96,300,0.1,True,True,True,cyclic,0.3712019605790178
1,3800,0.01,True,False,True,cyclic,0.2760695135876587
46,4300,9.999999999999999e-06,False,True,False,cyclic,0.39108988582085097
16,3300,9.999999999999999e-05,True,False,True,cyclic,0.27326952405331806
26,3800,1e-07,True,True,True,cyclic,0.3501366872811573
36,800,1e-06,True,True,True,cyclic,0.3532234327528324
71,2300,9.999999999999999e-06,False,True,True,random,0.3951677808456896
6,2300,9.999999999999999e-05,True,False,False,cyclic,0.2713126176562649
61,300,0.001,True,False,True,random,0.3340856618653404
1,4300,9.999999999999999e-05,True,False,True,cyclic,0.27603457291533073
26,1800,0.001,False,True,False,cyclic,0.38004451340699524
16,2300,0.001,True,True,False,random,0.34567037434080444
81,2300,0.01,True,False,False,random,0.35963395600761533
36,300,1e-08,False,False,True,random,0.385971833184909
11,800,1e-08,True,True,True,cyclic,0.34431046100125273
81,1300,0.01,False,False,True,cyclic,0.41081978247614326
1,2800,1e-06,True,False,False,cyclic,0.27603406437998124
96,4300,9.999999999999999e-06,True,True,True,random,0.37127628834857834
6,300,9.999999999999999e-06,False,True,True,random,0.35690242717133186
96,1300,9.999999999999999e-06,True,False,False,cyclic,0.3820896899555114
41,1300,0.1,False,True,False,random,0.39678448807892175
21,3800,9.999999999999999e-06,False,False,True,cyclic,0.36771315919525405
76,1300,9.999999999999999e-05,False,False,True,cyclic,0.4110483557024247
31,3300,0.01,True,False,True,random,0.29166865853380225
56,2800,0.01,True,True,True,cyclic,0.3633193483320903
46,800,0.001,True,True,False,random,0.35934988866024326
56,3800,0.1,True,False,True,cyclic,0.32898668693266814
16,800,9.999999999999999e-05,False,True,False,cyclic,0.3700143842888247
11,3300,0.01,True,False,False,random,0.27053259366796173
96,4300,0.1,False,True,True,random,0.4417535298556452
71,4300,0.01,False,True,False,random,0.39589639418671846
1,4300,9.999999999999999e-06,True,False,True,random,0.276034047209612
61,3300,1e-06,False,False,True,random,0.4047799120687381
1,3800,0.001,False,False,True,random,0.36358984922880677
86,300,0.01,False,False,True,random,0.4103331226690304
11,2300,0.01,True,True,True,cyclic,0.34429788372247416
96,3800,0.1,False,True,True,cyclic,0.44143312053558037
91,3800,1e-07,False,False,False,cyclic,0.4102261619560337
36,3300,0.1,True,False,False,cyclic,0.29914224907249665
51,800,9.999999999999999e-05,True,False,True,random,0.3225304232786158
71,1300,1e-06,True,True,True,cyclic,0.36606319526342124
71,4800,1e-06,True,True,False,cyclic,0.36606319526342124
16,2800,0.1,False,False,True,cyclic,0.43045008343459706
81,1300,0.01,False,False,False,cyclic,0.41081978247614326
91,2300,9.999999999999999e-06,True,True,False,cyclic,0.37042450781072334
36,800,9.999999999999999e-06,False,True,True,cyclic,0.38759491030931476
41,4300,0.001,False,False,False,cyclic,0.3909911451518773
71,300,0.001,False,True,True,cyclic,0.39519250430303876
21,1800,9.999999999999999e-05,False,False,True,random,0.36771167862427234
56,3800,1e-08,True,False,True,cyclic,0.3290717895205973
91,3800,1e-06,False,False,True,cyclic,0.41022623072774056
51,300,1e-07,False,False,False,random,0.39784546057768133
81,300,1e-08,True,False,True,cyclic,0.35973936100673215
26,300,9.999999999999999e-06,False,True,False,random,0.3800646737971864
91,800,1e-08,True,True,False,cyclic,0.37042457526321393
96,1800,9.999999999999999e-05,True,False,True,cyclic,0.38208952032238014
96,3300,9.999999999999999e-05,False,True,False,random,0.4012252562445454
46,2300,0.001,False,True,False,random,0.39102281618390156
41,3800,0.001,False,False,False,cyclic,0.3909911451518773
51,800,0.001,True,True,True,random,0.36274295728622763
21,2300,1e-07,True,True,True,random,0.3479254615520395
16,2800,1e-06,False,False,False,random,0.36820576074749184
16,4800,0.01,False,True,False,cyclic,0.3726978454788853
1,2300,0.1,False,False,False,random,0.36053876372944643
51,4800,1e-08,False,True,True,random,0.3915872541546127
31,1300,1e-07,False,False,True,random,0.3805274327658963
16,4300,1e-08,True,True,False,cyclic,0.34567471124601024
36,1300,0.1,False,False,False,cyclic,0.4115481325557427
31,300,0.001,True,True,True,random,0.3513867680015377
91,800,1e-08,False,True,True,cyclic,0.3998499470064797
36,3300,9.999999999999999e-05,True,False,False,cyclic,0.29916118642505035
1,3300,0.1,False,False,True,random,0.3875641314717747
91,3800,0.1,True,False,True,random,0.3712874227246487
1,3300,1e-06,False,False,True,cyclic,0.3635954060732523
1,800,9.999999999999999e-05,True,False,False,random,0.2760339665075105
11,4300,0.1,False,True,False,cyclic,0.39542692850105654
26,2800,1e-08,True,False,False,cyclic,0.28323071168803876
51,2300,0.01,False,True,False,cyclic,0.39140896989120155
51,4300,1e-07,False,False,True,random,0.3978454506881417
46,4800,0.1,True,False,True,random,0.3153159676442014
66,4300,1e-06,True,False,False,cyclic,0.340248175688476
76,3800,1e-07,True,False,False,cyclic,0.3531185134674232
61,300,9.999999999999999e-05,True,True,False,random,0.364007659509577
81,2300,1e-08,False,False,False,cyclic,0.41069317895820157
11,800,1e-08,True,False,True,random,0.2704895364036098
26,4300,0.001,False,True,True,random,0.38002030804549414
51,3300,0.1,True,True,True,random,0.3641848767326661
41,300,0.01,True,True,True,random,0.3557252391690805
51,3800,9.999999999999999e-06,True,True,True,cyclic,0.3627525906906642
96,2300,0.001,False,False,False,cyclic,0.41015182224388225
36,3300,1e-06,True,False,True,random,0.29916154644674675
76,2300,1e-07,True,False,False,cyclic,0.3531185134674232
1,1800,0.01,True,True,False,random,0.3559804017990262
96,3800,9.999999999999999e-06,True,False,True,random,0.38208978482422296
16,3300,9.999999999999999e-05,False,True,True,cyclic,0.3700143842888247
86,300,0.01,True,True,False,cyclic,0.3692593479926314
86,2300,1e-06,True,False,True,cyclic,0.3667112078211243
36,300,9.999999999999999e-06,True,False,False,random,0.29916146147640305
81,1300,0.1,False,False,False,random,0.3937276343106528
31,1800,0.001,True,True,False,random,0.35138045415999836
66,4300,1e-07,False,True,False,cyclic,0.39410715107635697
61,2300,0.1,True,True,True,cyclic,0.36386562034163983
66,1800,0.1,True,True,True,cyclic,0.3648801829611654
31,1800,0.001,True,False,False,cyclic,0.29100931104949035
81,1800,0.01,False,True,False,random,0.3967602960321276
96,3800,9.999999999999999e-06,True,True,False,cyclic,0.37127622152195633
51,4800,1e-07,True,True,True,cyclic,0.3627526079122421
41,3800,0.01,True,False,True,random,0.3067899202922174
1,300,9.999999999999999e-06,False,True,True,random,0.342426869726688
16,2300,0.01,False,True,True,random,0.3624673740764818
6,4800,1e-06,False,False,False,random,0.3752756062097412
11,300,9.999999999999999e-05,True,False,True,cyclic,0.2704892687228396
6,2800,9.999999999999999e-06,True,True,False,cyclic,0.3485912572443488
26,1300,1e-08,False,False,True,random,0.3744612976371898
16,2300,0.01,False,False,False,random,0.36859236488470504
21,3800,1e-08,False,True,True,cyclic,0.3753926732134197
6,4300,1e-08,True,True,True,random,0.3485914678838641
41,3800,1e-08,False,False,True,cyclic,0.39086255168763606
6,4800,1e-07,False,False,True,random,0.37527567235591514
11,2800,0.001,False,False,True,cyclic,0.3710977753587378
11,300,1e-08,True,True,False,cyclic,0.34431046100125273
21,2300,0.01,False,False,True,cyclic,0.36749426106236116
51,3300,0.1,False,False,False,cyclic,0.4246096388470986
96,3800,0.1,False,False,False,cyclic,0.4093545582963493
46,2300,9.999999999999999e-05,False,False,False,random,0.3945854872906477
46,1800,1e-07,True,True,False,cyclic,0.3593493445960344
21,300,1e-07,False,True,False,random,0.37539266463435195
86,800,0.01,False,True,False,cyclic,0.3985854748086768
61,4300,0.001,False,False,False,cyclic,0.40482547218241527
51,300,1e-08,False,True,False,random,0.39158725989132376
81,1300,9.999999999999999e-05,False,True,True,random,0.39735427423947006
61,800,1e-06,False,False,True,cyclic,0.4047799752383532
66,4300,0.1,False,False,False,random,0.387421175470855
31,3300,1e-06,True,True,False,random,0.35138978008161353
21,2300,0.01,False,True,True,random,0.3766654090568023
61,2800,9.999999999999999e-06,True,False,True,random,0.33409222589681403
96,1800,0.1,False,False,False,cyclic,0.4093545582963493
31,2300,1e-07,True,True,True,cyclic,0.35138945570394525
71,300,9.999999999999999e-06,False,False,False,random,0.4106910933992816
41,3300,1e-07,False,True,False,random,0.3901239582244899
26,300,0.01,False,False,True,random,0.3744226165312008
21,2300,1e-06,False,True,True,cyclic,0.3753926778619905
26,1300,1e-08,True,False,False,cyclic,0.28323071168803876
96,2300,1e-06,False,False,False,cyclic,0.41009452845574634
66,4300,1e-07,True,False,False,random,0.34024817825496484
6,1800,9.999999999999999e-06,True,False,False,cyclic,0.27131264797745225
71,800,0.001,True,True,False,cyclic,0.36605361216453214
51,2800,9.999999999999999e-06,True,False,False,random,0.32233860910319867
56,300,0.1,True,True,True,cyclic,0.3631839447852908
66,4300,1e-06,True,True,False,cyclic,0.3649728517203204
96,4300,1e-08,False,True,False,random,0.40121693688535076
21,4300,0.001,False,True,True,random,0.3751079205167023
61,1800,0.01,False,False,True,cyclic,0.40486608512403854
41,3300,9.999999999999999e-05,True,True,False,cyclic,0.3557367680103395
41,1800,0.01,False,True,True,random,0.39142813562536843
96,300,0.01,True,False,False,cyclic,0.38206026045157016
46,2300,1e-07,False,True,True,cyclic,0.39108542504952426
66,2800,0.001,True,False,True,random,0.3402484875098538
81,4800,0.01,True,True,True,random,0.3681934751112537
61,300,0.001,True,False,False,random,0.3340830145359749
61,800,1e-06,False,True,False,random,0.39323286705982147
76,4800,9.999999999999999e-05,True,True,False,random,0.36715398015845885
56,1300,9.999999999999999e-05,False,True,False,cyclic,0.39238069882661775
66,800,1e-08,False,False,True,cyclic,0.4076180929720704
41,4300,9.999999999999999e-05,True,False,True,cyclic,0.3079290531139759
21,3300,0.1,True,True,True,random,0.34835388256073974
91,1300,1e-08,False,True,True,random,0.3998499476199524
36,1300,1e-08,True,False,True,random,0.29916150448112505
26,1300,9.999999999999999e-05,True,True,True,cyclic,0.3501368678337188
71,1800,0.001,True,False,True,cyclic,0.3465352417674844
31,2300,9.999999999999999e-06,True,False,False,random,0.2910103566479988
26,4300,9.999999999999999e-05,False,False,True,cyclic,0.3744764369241609
46,3800,0.001,False,True,True,cyclic,0.39102172622805553
6,2300,1e-07,False,True,True,random,0.3569030842576953
41,1800,9.999999999999999e-05,False,True,False,random,0.3901299486139014
61,4300,9.999999999999999e-06,False,False,False,cyclic,0.4047822885468102
31,3300,0.001,False,False,False,cyclic,0.3805709394961203
66,2800,0.01,False,False,False,random,0.4075380805065488
71,800,0.001,False,True,True,cyclic,0.39519250430303876
86,1300,0.001,True,True,False,random,0.3693332584096308
46,1800,1e-07,True,True,True,cyclic,0.3593493445960344
76,1800,1e-08,False,True,False,random,0.3962319661964314
26,1800,0.01,False,True,True,cyclic,0.3827031305444675
16,3800,9.999999999999999e-05,False,True,False,cyclic,0.3700143842888247
76,1300,0.01,False,True,False,cyclic,0.39629059350213003
51,2800,9.999999999999999e-06,False,False,False,random,0.39784563719724586
86,1800,0.1,True,True,True,random,0.369534124181755
31,3800,0.1,True,False,True,random,0.29088686656728274
36,4300,0.1,True,True,False,random,0.35286744577577794
11,300,9.999999999999999e-05,False,False,True,cyclic,0.37110696268100674
86,3300,0.01,False,True,True,cyclic,0.3985854748086768
21,4300,1e-08,False,False,True,cyclic,0.36771154670956663
76,3300,0.01,True,True,True,cyclic,0.3671443399182567
91,800,1e-07,False,False,True,cyclic,0.4102261619560337
96,4300,9.999999999999999e-06,False,False,False,random,0.41009424649589443
76,4300,1e-07,True,True,False,random,0.36715354601200867
96,4300,0.001,True,False,True,cyclic,0.382088619595423
1,3800,1e-08,False,True,False,cyclic,0.3424472707436401
31,4300,0.001,False,False,False,random,0.380559693628037
6,2800,9.999999999999999e-05,True,False,False,cyclic,0.2713126176562649
71,2800,0.01,False,True,True,cyclic,0.39519869986511164
71,2800,1e-06,True,True,False,random,0.36606320233843137
36,2800,9.999999999999999e-06,True,True,False,random,0.35322338702882855
16,4300,9.999999999999999e-05,True,True,True,cyclic,0.34567513711258013
1,2300,1e-07,False,False,False,cyclic,0.36359538265297764
21,300,1e-07,True,False,False,random,0.2767692418930973
66,2300,0.1,False,True,False,random,0.4084185398911878
6,3800,0.1,False,False,True,cyclic,0.4447302650054386
16,3800,0.001,False,True,True,random,0.36980598488810357
6,1300,9.999999999999999e-06,False,False,True,cyclic,0.37527561770216533
26,2300,9.999999999999999e-05,False,True,False,cyclic,0.3800440450066589
21,4800,1e-06,True,True,True,cyclic,0.3479254668976908
51,4300,0.01,False,True,False,cyclic,0.39140896989120155
1,2300,9.999999999999999e-06,False,False,False,random,0.36359525926829084
76,1800,0.001,True,True,False,cyclic,0.3671443399182567
91,2800,0.1,True,False,False,random,0.37514666126013585
71,4800,0.01,False,True,True,random,0.3957060431524583
6,800,0.001,True,True,False,cyclic,0.34857354799229273
31,1800,1e-06,True,False,False,random,0.291010349167563
66,3800,9.999999999999999e-05,True,False,True,cyclic,0.340247894070704
71,1300,1e-07,False,True,False,cyclic,0.39516834772432174
1,4300,0.1,False,True,True,random,0.33780882871719997
6,1800,0.1,False,True,True,cyclic,0.3950141220152772
51,4800,9.999999999999999e-06,True,False,False,cyclic,0.32233866456263593
96,4300,1e-07,False,False,False,cyclic,0.4100944583715883
36,4800,1e-06,False,False,True,random,0.3859721338542268
51,3300,1e-07,True,True,True,random,0.3627526750399111
11,4800,1e-07,True,True,True,random,0.34431046044742636
31,800,0.01,False,True,False,cyclic,0.38733951072918726
61,3300,1e-06,True,False,False,cyclic,0.33409211369180986
46,3300,9.999999999999999e-05,True,True,True,cyclic,0.3593496954394074
86,2300,0.1,False,True,True,random,0.4062442175292718
6,4800,1e-08,True,True,False,random,0.34859146904974775
1,2800,1e-07,False,False,False,random,0.3635953788725637
41,300,0.001,True,True,False,random,0.35573574967828725
11,300,1e-07,True,True,False,cyclic,0.3443104612457806
66,1300,9.999999999999999e-05,False,False,True,random,0.40762389213171113
16,4300,0.01,False,False,False,cyclic,0.36829220979270094
61,800,9.999999999999999e-05,True,True,False,random,0.36403152171721676
6,800,0.1,True,False,True,cyclic,0.2714990039497944
61,2800,0.1,True,True,False,cyclic,0.36386562034163983
26,2800,1e-07,False,True,True,cyclic,0.3800718703443198
1,4800,9.999999999999999e-05,False,False,False,random,0.363595758654929
81,300,1e-07,False,False,True,cyclic,0.4106931795938962
66,300,0.001,False,False,False,random,0.4075202754587983
91,300,0.01,True,False,False,random,0.37425958696563744
1,4300,1e-08,False,False,False,cyclic,0.36359538025779675
56,2800,9.999999999999999e-05,True,False,False,random,0.3290701379462993
6,3800,1e-06,False,False,True,cyclic,0.37527576671340873
6,800,9.999999999999999e-05,True,True,False,random,0.34859086409093076
11,1300,0.1,False,True,True,random,0.38238260937968527
21,1800,9.999999999999999e-06,False,False,True,random,0.3677112653622371
26,300,0.01,False,True,True,cyclic,0.3827031305444675
6,300,9.999999999999999e-05,True,False,False,cyclic,0.2713126176562649
36,300,1e-08,False,False,False,random,0.3859718328182723
81,300,1e-08,False,True,True,random,0.3973602339117882
6,2800,1e-07,False,True,True,cyclic,0.3569031849735129
91,800,0.1,True,False,True,cyclic,0.3741450855104184
16,4800,1e-08,True,True,True,random,0.34567471114344106
96,1300,9.999999999999999e-05,False,False,False,random,0.41009396149330246
56,3800,0.001,False,True,False,random,0.39248456071225557
31,4300,0.01,False,True,True,random,0.37239338085542006
66,3300,1e-07,False,False,False,cyclic,0.40761809612586686
51,800,1e-07,True,False,True,cyclic,0.32233861265067637
31,3800,0.01,False,False,True,cyclic,0.380600063108135
56,800,9.999999999999999e-06,True,False,False,random,0.32907202640655137
51,300,0.1,True,True,True,cyclic,0.36253199438207107
81,1300,0.01,False,True,False,random,0.3966708026272935
1,3800,0.001,True,False,True,random,0.27597853049895915
81,2800,9.999999999999999e-05,False,True,True,random,0.3973535900432419
96,3300,0.1,True,False,False,cyclic,0.3819346746771197
46,1800,9.999999999999999e-05,True,True,False,cyclic,0.3593496954394074
21,800,9.999999999999999e-06,True,False,True,random,0.2767691217621177
81,1300,1e-08,True,True,True,random,0.36824389293770704
61,2300,1e-07,True,False,True,cyclic,0.33409211652901677
1,3300,0.1,True,False,False,cyclic,0.2761752751617017
1,4300,0.001,True,True,True,random,0.35598374381751713
96,2300,1e-07,False,False,True,cyclic,0.4100944583715883
31,2300,0.01,False,False,True,cyclic,0.380600063108135
31,3300,1e-07,True,False,False,random,0.29101027375322763
41,2300,1e-08,True,False,False,random,0.3079293783664264
11,300,1e-06,True,True,True,random,0.3443103950037812
86,3300,9.999999999999999e-05,True,True,False,cyclic,0.3693334955000601
6,3300,0.001,True,False,True,random,0.27131369135962474
71,2300,0.001,True,True,False,cyclic,0.36605361216453214
91,800,1e-08,False,False,False,random,0.4102261591521654
11,4300,9.999999999999999e-06,True,True,True,random,0.3443104614067076
96,800,0.01,False,False,False,random,0.4097243105230859
61,3300,9.999999999999999e-06,False,False,True,random,0.40477882367389334
91,2800,1e-08,False,True,False,cyclic,0.3998499470064797
6,1800,0.01,True,True,True,cyclic,0.34857176633651427
36,2800,1e-08,False,False,False,random,0.3859718376050122
56,2300,1e-08,False,False,False,random,0.4019082790651619
66,4300,9.999999999999999e-05,True,True,True,cyclic,0.3649718993777593
31,4300,1e-06,True,True,False,cyclic,0.35138947295507733
71,4800,1e-07,False,True,True,random,0.3951683025997969
36,2300,0.01,True,True,True,cyclic,0.3532007177558458
36,300,0.001,True,True,True,random,0.35322293900363033
16,1800,9.999999999999999e-06,False,False,True,cyclic,0.3682071074152802
81,4300,1e-08,True,True,True,random,0.3682438891186356
26,4300,0.1,True,True,True,cyclic,0.34987247972453794
41,2800,9.999999999999999e-06,True,False,False,cyclic,0.3079293630126273
51,1800,9.999999999999999e-06,False,False,False,cyclic,0.3978458572121035
46,2300,0.001,True,False,False,cyclic,0.31524228659399306
46,2300,0.001,True,True,False,random,0.3594212097077196
81,300,9.999999999999999e-06,True,False,False,cyclic,0.35973935580152505
71,3800,0.001,False,False,False,random,0.41072753662041117
96,800,1e-06,False,True,False,random,0.40121732955941947
16,4800,0.001,True,True,False,cyclic,0.3456756630274541
81,300,0.1,False,False,True,random,0.36581213494054016
76,3800,9.999999999999999e-05,True,True,False,cyclic,0.3671527098842119
6,2800,0.01,False,False,True,cyclic,0.3749986077029296
61,300,9.999999999999999e-06,False,True,True,cyclic,0.3932417514496791
56,4800,9.999999999999999e-05,True,True,True,random,0.36333466985032786
66,800,1e-08,True,False,False,random,0.3402481781914055
71,4300,9.999999999999999e-05,True,True,True,random,0.36606378529934724
16,3800,0.001,True,False,False,cyclic,0.27326947950600805
61,1300,9.999999999999999e-06,False,False,False,cyclic,0.4047822885468102
81,800,0.001,True,True,True,random,0.36824988859889785
56,800,0.001,False,False,False,cyclic,0.4019583046391296
16,1800,1e-08,True,True,False,random,0.34567471116697324
41,2300,9.999999999999999e-05,False,False,True,cyclic,0.3908654219756005
1,800,1e-08,False,False,False,cyclic,0.36359538025779675
76,2300,0.1,True,False,False,cyclic,0.35299799473538995
26,3800,0.1,False,False,True,random,0.38107051223443406
6,2800,1e-07,False,False,False,cyclic,0.37527567502914544
56,4300,9.999999999999999e-05,True,True,True,random,0.3633348614574291
91,800,1e-07,True,True,True,cyclic,0.3704245747158729
26,3300,1e-08,False,True,True,random,0.3800718877910031
21,4300,9.999999999999999e-05,True,True,True,random,0.34792627693177786
96,2300,1e-08,True,False,True,random,0.382089730675287
71,800,0.01,False,False,False,random,0.409750733325295
1,300,9.999999999999999e-06,False,True,False,random,0.3424501681827316
51,1300,1e-06,False,False,False,random,0.39784548652455
51,3300,1e-06,False,True,True,cyclic,0.39158722334076
1,3800,0.01,True,False,False,random,0.2760619721636665
46,300,0.01,True,False,False,cyclic,0.3152484301994845
36,2300,1e-06,False,True,False,cyclic,0.38759400320631565
11,3300,1e-07,False,True,False,random,0.3631258886568073
1,300,0.01,True,False,False,cyclic,0.2760695135876587
6,1800,9.999999999999999e-06,False,False,False,cyclic,0.37527561770216533
86,3300,1e-07,True,True,False,random,0.3693342303539573
96,2300,9.999999999999999e-06,True,True,True,cyclic,0.37127622152195633
36,1800,1e-08,True,True,True,cyclic,0.3532234154235473
71,300,0.001,True,True,True,cyclic,0.36605361216453214
61,2300,9.999999999999999e-06,False,True,False,cyclic,0.3932417514496791
76,800,0.1,False,True,True,random,0.4166037727322002
76,800,1e-07,True,False,True,random,0.35311851233548547
56,3800,0.01,True,False,True,random,0.3288727469367875
16,1800,1e-06,True,False,True,random,0.27326962237128893
71,800,9.999999999999999e-05,True,False,False,cyclic,0.3465358327980419
61,3300,1e-06,False,True,True,cyclic,0.3932327974126725
16,4300,0.1,True,True,False,cyclic,0.3454398333580861
1,4800,1e-06,True,True,True,random,0.3559840611539466
61,4800,0.001,True,False,False,random,0.33402924097742737
11,1300,0.1,True,True,True,cyclic,0.34412412361546885
56,2300,9.999999999999999e-05,True,False,False,random,0.3292788550044357
81,4800,9.999999999999999e-05,False,True,True,random,0.3973772064783184
16,1800,1e-07,True,True,False,random,0.3456747103566975
36,2300,9.999999999999999e-06,False,False,True,cyclic,0.38597244250020724
51,2800,1e-08,False,True,True,random,0.3915872592402968
1,3800,1e-06,False,True,True,cyclic,0.3424473132548148
86,3800,0.01,True,True,False,cyclic,0.3692593479926314
96,1800,1e-07,False,True,True,random,0.4012170012886159
31,2800,1e-07,False,False,False,cyclic,0.3805274390747836
96,1800,0.1,True,False,True,random,0.3809158728336056
76,1800,0.01,False,True,False,random,0.3965280472733177
36,300,9.999999999999999e-05,False,False,True,cyclic,0.38597604963020493
76,3300,0.1,False,True,True,random,0.44544371245522474
71,3800,0.001,True,True,True,random,0.36608542616519174
41,4300,0.001,False,False,False,random,0.39084944475985123
46,2800,9.999999999999999e-06,True,False,False,random,0.3152408099152178
91,4800,1e-06,True,True,False,cyclic,0.3704245688343008
26,3300,0.001,True,True,False,random,0.35012033985504476
41,1800,0.01,True,False,False,cyclic,0.307923405809337
11,2300,9.999999999999999e-06,False,False,True,random,0.3711004600855057
61,2300,1e-07,False,True,True,random,0.39323283493004885
51,2300,0.1,True,True,False,cyclic,0.36253199438207107
96,3300,0.001,True,True,False,cyclic,0.37126774808147606
51,1300,0.1,False,False,True,random,0.3539022059962245
41,1800,1e-08,True,False,True,random,0.3079293782873853
61,1300,0.001,True,False,False,random,0.3340723730202388
56,3300,0.01,False,False,False,random,0.40217549346480885
51,2800,9.999999999999999e-05,False,True,True,random,0.391548644230889
96,1300,1e-06,True,True,True,random,0.3712762886078601
61,2800,9.999999999999999e-05,False,True,False,random,0.39323060685237554
96,1300,1e-06,False,False,False,cyclic,0.41009452845574634
81,4800,1e-08,False,False,False,random,0.4106931759694711
31,4300,0.01,False,True,True,cyclic,0.38733951072918726
6,2800,1e-07,False,True,False,random,0.3569031512991252
76,4300,9.999999999999999e-06,False,True,False,random,0.3962320220703778
76,1800,0.01,True,True,False,cyclic,0.3671443399182567
56,3800,9.999999999999999e-05,False,True,True,cyclic,0.39238069882661775
51,3300,9.999999999999999e-05,False,False,True,random,0.3978442386957184
6,3300,9.999999999999999e-06,True,False,False,random,0.27131267078276805
