Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
8.5,0.53,False,519,cyclic,False,1.989942074135514e-07,1.7146494374944885
5.9,0.8200000000000001,True,3498,random,False,6.478057421778653e-09,0.7667440562475313
0.8,0.85,False,2371,cyclic,True,2.780919418596299e-07,0.876834461083615
4.3,0.8,True,3641,cyclic,True,2.913037230813227e-07,0.756954488207495
6.300000000000001,0.08,True,1501,cyclic,True,1.497580590214532e-07,0.7374925722314758
8.6,0.22,True,3257,cyclic,False,3.434355614999552e-07,0.7467094732727286
1.3,0.18,True,2579,random,False,5.780477062639047e-07,0.7290694494943973
4.6000000000000005,0.63,True,3594,cyclic,False,8.061311867053343e-07,0.7532787099791161
5.9,0.99,True,4073,cyclic,True,1.14230297348723e-07,0.7713966207720471
1.9,0.9,False,3962,cyclic,True,1.2156035401111728e-07,1.2178690418294429
9.8,0.56,True,3245,cyclic,True,4.456896234779603e-08,0.7701432211959838
3.6,0.74,False,3847,random,False,7.456114189392537e-07,1.4249554552127996
4.1000000000000005,0.28,True,3403,random,False,3.33688092754658e-07,0.7416780756144024
3.0,0.18,True,4353,random,True,6.351446872096526e-07,0.737624046929343
9.4,0.55,True,3577,random,True,6.381193067697734e-07,0.7690032766786714
8.4,0.21,True,3310,random,False,8.351141482996095e-08,0.7458604325939038
4.7,0.45,False,4972,random,True,9.761309159839953e-08,1.40283201701441
3.7,0.74,False,3997,cyclic,False,6.528144703615498e-07,1.4368249541246434
5.5,0.2,True,3969,random,False,3.193710624868435e-07,0.7414008896150696
8.700000000000001,0.97,False,2670,random,True,4.4199603950762324e-07,1.897598863782284
6.9,0.41,False,4669,random,False,2.993951177645487e-07,1.5425696424727098
0.9,0.85,True,2679,random,False,7.979416711986439e-07,0.7390473019543601
0.4,0.11,True,1552,random,True,1.009847863699221e-07,0.718798008622096
8.5,0.31,False,841,random,False,4.0343578938614975e-08,1.6049941765570823
9.6,0.12,False,736,cyclic,True,7.806806530426908e-07,1.5358321330613272
8.200000000000001,0.04,False,4914,random,True,8.68852459977968e-07,1.39308688169271
3.0,0.24,True,3186,random,True,7.234609701503822e-07,0.7388145032451345
5.0,0.18,True,1636,random,False,8.078400148295708e-07,0.7400652976678149
3.6,0.01,False,1346,cyclic,True,8.271072440262487e-07,1.1417797716029563
9.5,0.45,True,1925,random,False,1.0607251067644953e-07,0.7628337266690435
2.9000000000000004,0.78,False,2458,random,True,4.090153925442733e-07,1.3560666350434498
4.3,0.0,False,3225,random,False,4.405497176197066e-07,1.1742105621637362
1.1,0.78,False,3120,random,False,1.6944640578638304e-08,0.9879002248669776
6.7,0.77,False,3505,cyclic,False,1.994398254207068e-07,1.644086020603952
9.0,0.18,True,3914,cyclic,False,1.8938686762944617e-07,0.7449261417427437
5.7,0.54,True,4400,cyclic,False,2.4151749665226024e-07,0.7545027678283658
9.6,0.48,False,3182,cyclic,False,6.009541118114904e-07,1.777804074369496
3.0,0.11,True,1339,cyclic,True,4.757667608977806e-07,0.7326772715153735
5.800000000000001,0.99,True,3319,cyclic,True,9.15420262305104e-07,0.7710404846581728
4.0,1.0,True,4910,cyclic,False,6.556419712999859e-07,0.7608456394374841
4.3,0.36,False,3365,cyclic,False,5.930241673220391e-07,1.3410321582771512
0.3,0.34,True,3804,cyclic,True,2.683390289998884e-07,0.7239539467615155
7.0,0.22,False,858,random,False,6.7345723938604e-07,1.4521814458406133
0.5,0.88,True,1889,random,True,6.140883388135475e-07,0.7361209413368391
2.7,0.93,False,2654,random,False,2.003929231961855e-07,1.396122514558888
1.2000000000000002,0.88,False,4249,random,True,6.105336429446681e-09,1.0342327005002865
5.5,0.81,True,4978,cyclic,False,1.9569326838004849e-07,0.7640540483419411
1.2000000000000002,0.66,False,945,cyclic,False,5.720129722496331e-07,1.0122758416987874
2.2,0.6900000000000001,True,4654,random,True,1.5497040388948324e-07,0.744075785973404
7.6,0.44,True,2253,cyclic,True,6.383529116105097e-07,0.7563450225612816
7.2,0.67,False,2394,random,False,6.97423791010278e-07,1.6578214716423878
7.800000000000001,0.25,True,2243,cyclic,False,9.571467369120284e-07,0.747073204159757
8.3,0.5700000000000001,True,3686,cyclic,True,8.716630311507108e-07,0.7660116631155433
8.5,0.0,True,2284,random,False,9.377513399466998e-07,0.7211685933941252
7.6,0.12,True,2850,random,False,5.416286574605512e-07,0.740221984524033
4.9,0.26,False,1282,random,True,2.248169515425547e-07,1.3406882982270678
10.0,0.25,True,3239,random,False,5.567070936138837e-07,0.7507500031242251
9.0,0.36,False,3969,random,False,6.583139044260757e-07,1.6658700669041475
5.7,0.15,True,1618,random,False,9.589006402985084e-08,0.7397892045462918
8.700000000000001,0.94,False,501,cyclic,True,2.221722707601791e-07,1.8843239706768429
1.3,0.11,False,985,random,True,8.402424515893962e-07,0.9785590835141904
4.0,0.06,True,3683,random,False,4.5866617060804185e-07,0.7297270503821434
9.2,0.54,False,1563,random,False,6.801172908037009e-07,1.7698205900691475
6.5,0.1,True,1726,cyclic,False,7.845060929227735e-07,0.7384614743278054
3.0,0.1,False,2680,random,True,7.070232432699087e-07,1.1439349659541045
9.5,0.87,False,3270,cyclic,True,7.874509566136893e-07,1.9354285379751408
3.8,0.41,True,2039,random,True,8.746140371597533e-07,0.7443827163184955
5.6000000000000005,0.5,False,1250,cyclic,False,6.457215154395086e-07,1.487860852537712
2.2,0.05,True,3318,cyclic,True,4.608918271866206e-07,0.7251348190859477
1.8,0.1,False,642,cyclic,False,2.68798994037982e-07,1.0405315098148256
0.6000000000000001,0.64,False,821,cyclic,False,3.8996235995361485e-07,0.8331841822154006
3.3000000000000003,0.62,False,4935,cyclic,False,9.380147883405766e-07,1.340690577373136
8.700000000000001,0.5,True,1361,cyclic,True,5.4905569731626535e-08,0.7633497406563977
8.8,0.88,False,3905,cyclic,True,2.0667659959164345e-07,1.8687542084219408
6.0,0.62,False,3531,cyclic,True,3.832087462123441e-07,1.562743181790451
0.6000000000000001,0.8,False,3796,random,False,1.689006258583283e-07,0.8205183220185384
4.1000000000000005,0.65,True,950,random,True,9.380444383885214e-07,0.7517242358987637
9.6,0.18,False,2765,cyclic,True,9.822871204710077e-07,1.585019319595248
6.800000000000001,0.02,True,1260,cyclic,False,6.332888312958051e-08,0.727125112009215
2.3000000000000003,0.49,False,4179,cyclic,False,9.002494220349818e-07,1.194685261566654
2.1,0.8200000000000001,False,2201,random,False,1.782547613211561e-07,1.241759216657972
8.700000000000001,0.8300000000000001,False,4939,random,False,9.020659671796348e-07,1.8385044508017088
8.700000000000001,0.87,True,1843,random,False,1.2018243049277905e-07,0.7744052971071147
7.2,0.08,False,4206,random,True,4.98541212523683e-07,1.3731567556793345
4.1000000000000005,0.31,False,3684,cyclic,False,8.058236339091603e-08,1.30502862274825
3.6,0.29,False,1676,cyclic,True,5.362254673364428e-07,1.25906693827406
4.1000000000000005,0.43,True,3911,random,False,9.191396774793904e-07,0.7457475161339406
10.0,0.59,True,3552,random,False,4.550031712088213e-07,0.7716190777559939
9.1,0.11,False,2272,random,True,7.174208941975474e-07,1.4993647263506982
3.4000000000000004,0.23,False,861,cyclic,True,1.4298477811262806e-07,1.2202514867782024
5.300000000000001,0.14,True,2431,cyclic,False,8.312571682806168e-07,0.7390311170110117
8.3,0.89,False,1724,cyclic,True,4.786744045902929e-07,1.8234472556139032
6.5,0.32,False,3365,cyclic,True,1.160437856004267e-07,1.4788728877238486
0.3,0.52,True,3765,cyclic,True,5.224986709837742e-07,0.7265784805824188
9.1,0.49,True,4330,random,False,6.782448483573348e-07,0.7641156901501669
7.5,0.5,True,2013,random,True,7.506802645638409e-07,0.7591401247644607
9.1,0.13,True,3681,cyclic,True,5.707377843534236e-07,0.742050327697771
0.6000000000000001,0.66,False,3472,cyclic,False,7.085353117400377e-07,0.8317676611302065
5.4,0.31,False,2024,cyclic,True,3.3463642294455e-07,1.3981201023512366
8.9,0.14,False,2389,random,True,6.637933548092873e-07,1.5113902288910046
1.9,0.03,False,1258,cyclic,False,2.105045284117741e-07,1.0291080213014236
1.2000000000000002,0.38,False,1099,random,True,3.318046683950025e-07,0.993641784125513
9.7,0.41,False,2347,random,False,9.915430383840073e-07,1.7473062130213486
6.7,0.98,False,626,cyclic,False,9.152239776480744e-07,1.6984956186360982
1.9,0.66,False,1168,cyclic,True,5.533048033408073e-07,1.1829277477466926
9.7,0.71,True,4500,cyclic,False,6.170059036007303e-07,0.7744052971071147
4.6000000000000005,0.48,False,4221,random,False,4.0961115208084985e-08,1.4051762376590695
5.1000000000000005,0.54,False,4423,random,False,8.370792497358045e-07,1.4663937658838373
7.0,0.31,False,3460,random,False,5.945872415015391e-07,1.507437668981373
7.1000000000000005,0.18,True,4260,cyclic,True,7.514634781575826e-07,0.7426208304213737
6.5,0.31,False,660,cyclic,True,9.437831549600812e-07,1.4729675716673905
9.8,0.42,True,1539,random,True,1.126950136209516e-07,0.7617265093195724
7.1000000000000005,0.38,True,880,cyclic,False,6.898483459962419e-07,0.7520006069803039
8.8,0.34,False,1497,cyclic,True,7.442610376115778e-07,1.6408106646931893
8.1,0.1,False,3180,cyclic,True,3.413651466457127e-07,1.435702970744569
4.1000000000000005,0.89,True,2240,cyclic,True,8.806537904644813e-07,0.7583945179440782
6.800000000000001,0.32,False,2790,cyclic,True,7.581549567543921e-07,1.4984433289319283
10.0,0.66,False,2498,cyclic,False,5.77164458134708e-07,1.882576420080948
8.4,0.74,False,2426,cyclic,True,4.727860310464648e-07,1.7767907149026962
2.7,0.67,True,3741,random,False,1.4532645551452937e-07,0.7460176693143685
1.1,0.95,False,4260,random,True,2.8369842774721683e-08,0.9993332873246326
3.5,0.32,False,3445,random,True,3.487158272279799e-07,1.2624738452920024
4.0,0.4,False,2576,random,False,8.120046133567194e-07,1.33451593479545
