N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
5,distance,kd_tree,70,3.5,l1,0.5206782701851727
6,uniform,kd_tree,40,3.5,euclidean,0.6945312499999999
6,distance,brute,40,4.0,l2,0.5403637960143456
5,distance,kd_tree,80,4.0,l2,0.5430242994208663
4,uniform,kd_tree,20,1.0,manhattan,0.6734114583343751
3,uniform,ball_tree,10,4.0,euclidean,0.6873958333343748
2,distance,kd_tree,10,1.5,manhattan,0.5848476870291759
6,distance,kd_tree,20,3.5,euclidean,0.5403637960143456
2,distance,kd_tree,70,1.0,manhattan,0.5848476870291759
2,distance,ball_tree,20,3.5,l1,0.5848476870291759
7,distance,kd_tree,90,4.5,l1,0.5108701577852198
3,distance,brute,20,1.0,l1,0.5500716428485359
5,uniform,kd_tree,30,4.5,l1,0.6638437499999998
6,distance,brute,90,3.5,l2,0.5403637960143456
2,uniform,kd_tree,60,4.5,l1,0.6778906250000001
8,distance,ball_tree,100,1.0,manhattan,0.507371098993529
8,uniform,kd_tree,20,2.0,cityblock,0.6700748697910159
10,uniform,ball_tree,60,3.5,cityblock,0.6647395833343746
7,uniform,ball_tree,30,2.5,l1,0.6685453869040177
9,distance,ball_tree,10,1.0,manhattan,0.5033711731488698
7,uniform,kd_tree,100,3.0,cityblock,0.6685453869040177
2,uniform,kd_tree,30,3.5,manhattan,0.6778906250000001
7,distance,ball_tree,30,2.5,l1,0.5108701577852198
8,uniform,kd_tree,50,2.0,manhattan,0.6700748697910159
4,uniform,ball_tree,30,1.5,euclidean,0.6920898437500003
3,uniform,brute,90,3.0,l2,0.6873958333343748
6,distance,brute,90,1.0,l2,0.5403637960143456
9,uniform,ball_tree,60,2.0,l1,0.6679166666666667
5,uniform,ball_tree,50,1.5,l2,0.6930624999999997
4,uniform,kd_tree,10,3.0,euclidean,0.6920898437500003
6,distance,ball_tree,90,2.0,manhattan,0.5153293762054884
7,uniform,ball_tree,90,2.0,cityblock,0.6685453869040177
10,uniform,brute,100,2.0,euclidean,0.6832708333343749
1,distance,brute,50,3.0,euclidean,0.684765625
4,distance,brute,100,4.5,l1,0.5338129273669152
2,uniform,ball_tree,60,4.0,l2,0.6957812500000002
