Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
56,2800,9.999999999999999e-05,False,True,False,cyclic,0.5492989528181365
21,4800,9.999999999999999e-06,True,False,False,random,0.10368881156524956
41,2800,0.1,True,False,False,cyclic,0.10368881156524956
76,2800,1e-08,True,True,True,cyclic,0.10368881156524956
6,3300,9.999999999999999e-05,True,True,True,cyclic,0.10368881156524956
66,1800,0.001,True,True,True,cyclic,0.10368881156524956
46,4300,1e-08,True,True,False,random,0.10368881156524956
56,800,0.1,False,False,True,cyclic,0.5492989528181365
56,1300,9.999999999999999e-05,False,True,True,random,0.5492989528181365
21,300,9.999999999999999e-05,False,True,True,random,0.4407487191817081
91,3300,1e-08,True,True,False,random,0.10368881156524956
71,4800,1e-08,False,True,False,cyclic,0.5613818730756215
1,3800,1e-06,True,False,False,random,0.09939967056000104
81,4800,0.01,False,True,False,random,0.5704147555552591
86,1300,1e-06,False,False,True,random,0.5750896881426304
51,300,9.999999999999999e-05,False,True,True,cyclic,0.5457185332208047
11,800,0.01,False,True,False,cyclic,0.2775401484789553
61,1800,1e-06,True,False,False,cyclic,0.10368881156524956
36,1800,1e-08,True,False,False,random,0.10368881156524956
21,4800,0.1,True,True,True,random,0.10368881156524956
86,800,9.999999999999999e-05,False,False,True,cyclic,0.5750896881426304
46,3300,9.999999999999999e-05,True,False,False,cyclic,0.10368881156524956
6,3800,9.999999999999999e-05,False,True,True,cyclic,0.2040377618604392
41,800,9.999999999999999e-06,False,False,True,cyclic,0.538938032811326
81,2300,0.001,False,False,False,cyclic,0.5704147555552591
86,3300,1e-07,False,False,False,random,0.5750896881426304
11,3800,9.999999999999999e-06,False,True,True,cyclic,0.2794544987243618
86,2800,9.999999999999999e-05,True,False,True,cyclic,0.10368881156524956
91,4300,0.1,False,True,True,cyclic,0.5797867809035597
56,4300,0.001,True,False,False,cyclic,0.10368881156524956
86,4800,9.999999999999999e-05,True,True,True,random,0.10368881156524956
66,800,1e-07,False,False,False,random,0.557083704553747
96,2300,0.001,False,False,True,random,0.5848332990299294
16,300,0.001,True,False,True,random,0.10368881156524956
86,4800,1e-06,False,True,True,random,0.5750896881426304
86,4300,9.999999999999999e-05,True,True,False,random,0.10368881156524956
91,4800,0.1,False,True,False,random,0.5797867809035597
31,1800,1e-07,False,True,False,random,0.5084998599744923
56,1800,1e-08,True,False,False,random,0.10368881156524956
86,3300,0.01,True,False,False,cyclic,0.10368881156524956
61,800,0.1,False,True,False,random,0.5530732942939486
41,1300,9.999999999999999e-05,False,True,True,cyclic,0.538938032811326
21,2800,0.01,True,False,False,cyclic,0.10368881156524956
61,3800,1e-07,True,True,False,cyclic,0.10368881156524956
61,1300,9.999999999999999e-06,True,False,False,cyclic,0.10368881156524956
56,3800,1e-06,False,True,False,random,0.5492989528181365
56,2800,1e-06,False,True,False,cyclic,0.5492989528181365
31,4800,9.999999999999999e-05,True,True,False,cyclic,0.10368881156524956
56,1300,9.999999999999999e-05,True,False,False,cyclic,0.10368881156524956
46,4300,0.01,True,False,False,cyclic,0.10368881156524956
11,1800,1e-08,True,True,False,cyclic,0.10368881156524956
46,800,0.1,True,False,True,random,0.10368881156524956
96,3300,1e-08,False,True,False,random,0.5848332990299294
11,4300,9.999999999999999e-05,False,False,False,cyclic,0.279476581843541
26,4800,1e-06,True,False,True,random,0.10368881156524956
26,800,1e-08,False,True,False,random,0.4745412917617594
76,2800,1e-07,False,True,True,cyclic,0.565860322592435
41,4300,9.999999999999999e-05,True,False,False,cyclic,0.10368881156524956
6,1800,1e-08,True,True,True,random,0.10368881156524956
41,1300,0.001,True,True,True,random,0.10368881156524956
21,3800,0.1,False,True,True,cyclic,0.42885824001481077
71,3300,9.999999999999999e-06,True,False,False,random,0.10368881156524956
96,1300,0.001,False,True,False,random,0.5848332990299294
61,2300,1e-06,True,True,True,cyclic,0.10368881156524956
11,4800,0.1,False,False,True,cyclic,0.24258375360948117
36,800,9.999999999999999e-06,False,False,True,cyclic,0.5357638664489865
16,2800,1e-08,True,True,False,random,0.10368881156524956
46,1300,9.999999999999999e-05,False,False,True,random,0.5422582256127189
76,4300,9.999999999999999e-06,False,False,True,random,0.565860322592435
91,1800,0.1,False,False,False,random,0.5935778194592487
71,800,0.01,False,False,True,random,0.5613818730756215
71,4800,9.999999999999999e-05,False,True,True,cyclic,0.5613818730756215
1,3300,0.1,True,False,False,random,0.09939967056000104
26,4800,9.999999999999999e-05,True,False,True,cyclic,0.10368881156524956
21,1300,0.01,True,False,True,cyclic,0.10368881156524956
46,2800,1e-07,False,False,False,cyclic,0.5422582256127189
16,1300,9.999999999999999e-06,False,True,False,cyclic,0.3675446945292657
26,4800,0.01,True,False,False,cyclic,0.10368881156524956
66,4800,1e-07,False,False,True,cyclic,0.557083704553747
96,3800,1e-08,True,False,False,cyclic,0.10368881156524956
16,1800,1e-08,False,False,False,random,0.36754288116693923
16,2800,1e-07,False,False,True,cyclic,0.3675429190389262
91,4800,1e-08,True,False,True,cyclic,0.10368881156524956
1,3300,0.01,False,True,True,cyclic,0.1329636220127043
16,800,0.1,True,False,True,random,0.10368881156524956
61,3800,1e-07,True,True,False,random,0.10368881156524956
86,3300,0.01,False,True,False,random,0.5750896881426304
66,4800,1e-07,False,False,False,cyclic,0.557083704553747
21,4800,0.1,True,False,True,random,0.10368881156524956
61,1800,0.001,False,True,False,random,0.5530732942939486
56,2300,0.1,True,False,False,random,0.10368881156524956
76,300,0.01,False,True,True,random,0.565860322592435
56,2800,0.001,False,True,False,random,0.5492989528181365
76,800,1e-07,False,True,False,cyclic,0.565860322592435
91,2300,9.999999999999999e-06,False,False,True,random,0.5797867809035597
31,4800,1e-08,False,False,True,random,0.508499963950741
36,1800,1e-08,True,True,False,random,0.10368881156524956
61,1800,1e-06,True,False,False,random,0.10368881156524956
96,800,0.001,False,False,False,random,0.5848332990299294
46,2300,1e-07,False,False,True,cyclic,0.5422582256127189
96,300,0.001,True,False,False,random,0.10368881156524956
86,300,9.999999999999999e-05,False,True,True,cyclic,0.5750896881426304
71,3300,0.1,False,False,False,random,0.5395715568641453
21,2800,1e-07,True,True,False,random,0.10368881156524956
41,2800,1e-07,False,False,True,cyclic,0.538938032811326
71,3800,9.999999999999999e-06,True,False,True,random,0.10368881156524956
41,800,9.999999999999999e-05,True,True,False,cyclic,0.10368881156524956
51,3800,9.999999999999999e-06,False,False,False,random,0.5457185332208047
86,4800,9.999999999999999e-05,True,False,False,cyclic,0.10368881156524956
51,4300,0.01,True,False,False,cyclic,0.10368881156524956
1,2300,9.999999999999999e-06,False,True,True,cyclic,0.12522961431885743
56,1800,1e-06,False,True,False,cyclic,0.5492989528181365
96,1800,1e-07,True,False,True,cyclic,0.10368881156524956
16,3300,0.001,False,True,True,random,0.3653331034186891
11,800,0.1,False,True,False,random,0.3814402260744437
21,3300,0.01,False,False,False,random,0.4312318884543006
46,3800,0.01,True,False,False,random,0.10368881156524956
46,4300,0.1,False,False,True,cyclic,0.5422582256127189
86,2800,0.01,True,True,True,cyclic,0.10368881156524956
81,1800,1e-07,True,True,True,random,0.10368881156524956
86,3800,1e-07,False,True,True,random,0.5750896881426304
86,1300,1e-08,True,False,True,random,0.10368881156524956
41,4300,0.001,True,True,False,random,0.10368881156524956
31,4300,9.999999999999999e-06,True,False,False,cyclic,0.10368881156524956
46,800,0.001,True,False,False,cyclic,0.10368881156524956
31,800,0.001,True,True,False,random,0.10368881156524956
31,4800,1e-08,True,True,True,cyclic,0.10368881156524956
46,1300,0.001,False,True,True,cyclic,0.5422582256127189
96,4300,0.01,False,True,True,random,0.5920266613615623
56,2800,0.1,True,False,False,random,0.10368881156524956
11,1800,9.999999999999999e-06,False,True,True,random,0.2794449726994012
91,1800,1e-08,True,False,True,cyclic,0.10368881156524956
31,800,0.001,True,False,True,cyclic,0.10368881156524956
61,3300,1e-06,True,True,False,cyclic,0.10368881156524956
31,300,0.001,False,False,False,random,0.5069833876623635
66,4300,1e-06,True,True,True,cyclic,0.10368881156524956
1,800,9.999999999999999e-05,True,False,True,cyclic,0.09939967056000104
96,1800,0.1,False,False,True,random,0.5920266613615623
6,1300,0.001,False,True,True,cyclic,0.20421251175527472
16,2300,0.001,False,True,False,cyclic,0.36771970733311204
91,4300,1e-07,True,True,False,cyclic,0.10368881156524956
1,300,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
6,3300,1e-06,False,True,False,random,0.20401536588080735
81,2800,9.999999999999999e-05,True,True,True,cyclic,0.10368881156524956
31,1800,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
16,3800,1e-06,False,False,True,cyclic,0.3675431199347846
6,4800,0.1,True,False,False,cyclic,0.10345382664877725
51,3800,1e-07,False,False,True,cyclic,0.5457185332208047
86,2800,9.999999999999999e-05,False,False,True,random,0.5750896881426304
91,4800,0.1,True,False,False,cyclic,0.10368881156524956
66,3300,9.999999999999999e-05,False,False,False,cyclic,0.557083704553747
46,1300,1e-08,False,True,True,random,0.5422582256127189
31,2300,0.1,False,False,True,cyclic,0.510377628739149
81,4800,0.1,True,True,False,cyclic,0.10368881156524956
81,2800,9.999999999999999e-06,False,False,True,random,0.5704147555552591
31,800,0.1,False,False,False,random,0.5253649904697315
1,4800,1e-07,False,False,True,cyclic,0.12522237871647765
41,1300,1e-08,False,True,False,cyclic,0.538938032811326
31,1800,0.01,False,False,False,cyclic,0.5087726056920294
66,2800,9.999999999999999e-05,False,False,False,cyclic,0.557083704553747
6,3300,0.001,True,False,False,random,0.10345382664877725
36,4300,1e-07,False,False,True,cyclic,0.5357638664489865
41,800,0.1,False,True,False,cyclic,0.538938032811326
71,300,0.01,False,True,True,random,0.5613818730756215
91,2300,1e-07,False,True,True,cyclic,0.5797867809035597
11,2300,0.01,True,False,True,cyclic,0.10368881156524956
51,3300,0.001,True,False,False,random,0.10368881156524956
11,4300,0.001,False,False,True,cyclic,0.27966731952393875
76,2800,0.001,False,True,False,cyclic,0.565860322592435
71,3300,0.001,True,True,True,cyclic,0.10368881156524956
66,800,1e-07,True,True,False,random,0.10368881156524956
91,2800,0.1,False,False,True,random,0.5712490695296295
41,1300,1e-08,False,False,False,random,0.538938032811326
76,1800,1e-08,True,False,False,random,0.10368881156524956
46,3800,0.01,False,False,True,random,0.5312327128516214
91,1300,1e-07,True,False,False,cyclic,0.10368881156524956
16,3300,1e-07,False,False,True,random,0.367542810510468
16,4800,0.1,True,False,True,random,0.10368881156524956
26,1300,9.999999999999999e-06,True,False,True,cyclic,0.10368881156524956
51,2300,0.001,True,True,True,cyclic,0.10368881156524956
51,300,1e-08,True,True,True,random,0.10368881156524956
51,2300,1e-06,True,True,True,cyclic,0.10368881156524956
31,4800,1e-07,False,True,False,cyclic,0.5084999211988688
76,2300,1e-06,True,True,True,cyclic,0.10368881156524956
86,1800,0.001,False,True,False,cyclic,0.5750896881426304
1,4300,9.999999999999999e-05,True,True,False,cyclic,0.10368881156524956
86,1800,9.999999999999999e-06,False,True,True,cyclic,0.5750896881426304
1,3300,9.999999999999999e-05,True,False,True,cyclic,0.09939967056000104
71,4800,9.999999999999999e-05,True,False,False,random,0.10368881156524956
76,1800,0.1,False,False,True,random,0.5535411620375282
11,2800,9.999999999999999e-06,True,True,False,random,0.10368881156524956
21,3800,0.01,False,True,True,cyclic,0.4411548598932253
71,1800,1e-07,True,False,True,cyclic,0.10368881156524956
56,4800,0.01,True,False,False,random,0.10368881156524956
41,1300,0.001,False,True,False,random,0.5364848545438857
71,800,1e-07,False,False,False,cyclic,0.5613818730756215
71,800,1e-08,True,True,True,random,0.10368881156524956
16,1800,1e-07,False,False,False,random,0.3675426062199403
1,2800,0.01,True,False,True,random,0.09939967056000104
56,4300,0.01,True,False,True,random,0.10368881156524956
6,800,9.999999999999999e-05,False,True,False,cyclic,0.2040377618604392
36,3800,1e-06,True,True,True,cyclic,0.10368881156524956
46,1300,9.999999999999999e-06,False,True,True,cyclic,0.5422582256127189
41,1300,0.01,False,True,False,random,0.5398855421033892
21,2800,0.1,False,False,False,cyclic,0.42885824001481077
21,4800,0.001,False,True,True,random,0.44008997495109264
36,800,9.999999999999999e-06,False,True,False,cyclic,0.5357638664489865
26,1800,1e-07,True,True,True,cyclic,0.10368881156524956
71,3800,1e-06,False,False,True,random,0.5613818730756215
36,300,1e-08,True,False,True,cyclic,0.10368881156524956
41,800,1e-07,True,False,False,cyclic,0.10368881156524956
11,300,9.999999999999999e-06,False,False,True,random,0.27940424094843325
51,2800,1e-07,False,False,False,cyclic,0.5457185332208047
6,2300,0.1,False,False,True,random,0.23498995856203903
6,3800,0.01,False,False,True,random,0.20054209285302244
26,3300,1e-08,True,False,True,cyclic,0.10368881156524956
61,4800,9.999999999999999e-06,False,True,False,cyclic,0.5530732942939486
1,3800,0.01,False,False,True,random,0.12000303780798499
91,2800,9.999999999999999e-05,True,True,True,random,0.10368881156524956
26,3800,9.999999999999999e-06,False,False,True,random,0.4745481375980154
76,2300,1e-07,False,True,False,cyclic,0.565860322592435
46,1800,9.999999999999999e-05,True,False,True,cyclic,0.10368881156524956
26,3800,9.999999999999999e-06,True,False,True,random,0.10368881156524956
81,3300,0.1,True,True,False,cyclic,0.10368881156524956
36,3300,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
71,3800,9.999999999999999e-05,True,False,False,random,0.10368881156524956
91,1300,0.01,False,False,False,random,0.5797867809035597
91,3300,9.999999999999999e-06,True,False,True,random,0.10368881156524956
41,2800,0.1,False,True,False,cyclic,0.538938032811326
66,4300,1e-07,True,True,True,random,0.10368881156524956
76,2300,1e-07,False,True,False,random,0.565860322592435
86,4300,9.999999999999999e-05,False,False,False,random,0.5750896881426304
96,3800,0.001,True,True,True,cyclic,0.10368881156524956
96,4800,0.1,True,False,False,random,0.10368881156524956
51,1800,1e-07,True,True,False,cyclic,0.10368881156524956
66,4800,1e-06,True,True,False,cyclic,0.10368881156524956
11,1300,1e-07,False,False,True,random,0.2794514789650028
96,1800,9.999999999999999e-06,False,True,True,random,0.5848332990299294
81,800,0.1,True,False,False,random,0.10368881156524956
81,2300,9.999999999999999e-05,True,False,True,random,0.10368881156524956
26,4300,9.999999999999999e-05,False,True,False,random,0.4745224469095213
66,4800,1e-08,True,True,False,random,0.10368881156524956
61,4300,1e-06,False,True,True,cyclic,0.5530732942939486
91,800,1e-06,True,True,False,random,0.10368881156524956
51,300,9.999999999999999e-06,True,False,True,cyclic,0.10368881156524956
96,800,9.999999999999999e-06,False,False,False,random,0.5848332990299294
91,1800,0.1,True,False,True,cyclic,0.10368881156524956
81,4800,9.999999999999999e-06,True,True,True,random,0.10368881156524956
41,1300,0.01,False,False,False,cyclic,0.538938032811326
6,1800,0.001,True,False,True,random,0.10345382664877725
76,2800,0.001,True,True,True,cyclic,0.10368881156524956
1,3300,0.01,True,True,True,cyclic,0.10368881156524956
11,4300,0.1,False,True,False,random,0.4632470928224721
41,4300,1e-06,True,True,False,random,0.10368881156524956
26,1800,0.01,False,False,False,random,0.4754317472663504
6,800,1e-07,False,False,True,random,0.20401556715794658
6,800,1e-08,True,False,True,random,0.10345382664877725
61,4800,1e-08,True,False,True,cyclic,0.10368881156524956
36,1800,9.999999999999999e-05,False,True,False,random,0.5357638664489865
51,3800,1e-06,False,False,False,random,0.5457185332208047
81,4300,9.999999999999999e-06,False,False,True,cyclic,0.5704147555552591
31,1800,1e-08,True,True,False,random,0.10368881156524956
26,4800,9.999999999999999e-06,False,False,False,random,0.4745475513186287
21,4300,1e-06,False,False,True,cyclic,0.44072100234151607
76,2300,9.999999999999999e-06,True,False,False,cyclic,0.10368881156524956
56,2300,0.01,False,False,False,random,0.5407922535002321
31,2800,0.01,True,True,False,cyclic,0.10368881156524956
76,4800,9.999999999999999e-05,False,True,True,random,0.565860322592435
61,1800,9.999999999999999e-05,False,False,False,cyclic,0.5530732942939486
81,4800,0.1,False,True,False,cyclic,0.5704147555552591
66,4800,1e-06,True,False,False,random,0.10368881156524956
21,800,0.01,True,False,False,random,0.10368881156524956
11,4800,0.01,True,False,False,random,0.10368881156524956
96,4800,9.999999999999999e-06,False,True,False,random,0.5848332990299294
31,3300,0.1,True,False,True,random,0.10368881156524956
81,2300,9.999999999999999e-05,True,False,False,cyclic,0.10368881156524956
21,2800,1e-06,False,True,True,cyclic,0.44072100234151607
6,3800,1e-07,True,False,True,random,0.10345382664877725
61,3300,0.1,False,True,True,cyclic,0.5530732942939486
96,300,1e-08,True,True,True,cyclic,0.10368881156524956
66,3300,0.01,True,False,True,random,0.10368881156524956
61,3800,9.999999999999999e-05,True,False,True,cyclic,0.10368881156524956
26,2800,1e-06,True,True,False,cyclic,0.10368881156524956
71,4300,1e-06,True,True,True,random,0.10368881156524956
26,2800,1e-08,False,True,True,random,0.47454127334628243
1,4300,9.999999999999999e-06,False,True,True,cyclic,0.12522961431885743
26,2300,1e-08,True,True,False,cyclic,0.10368881156524956
1,2300,1e-06,True,True,False,random,0.10368881156524956
96,4800,9.999999999999999e-06,False,False,True,cyclic,0.5848332990299294
76,3300,1e-08,False,True,True,random,0.565860322592435
91,1800,1e-06,False,True,False,cyclic,0.5797867809035597
56,800,9.999999999999999e-05,True,True,False,random,0.10368881156524956
86,2300,0.01,True,True,False,cyclic,0.10368881156524956
41,4300,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
46,300,0.01,False,False,False,random,0.5399667571573179
46,3800,1e-06,False,False,False,cyclic,0.5422582256127189
46,3800,9.999999999999999e-06,True,True,True,random,0.10368881156524956
61,1300,1e-07,False,False,False,random,0.5530732942939486
51,1800,0.01,False,True,True,random,0.5488291703720622
91,3800,0.01,False,False,False,random,0.5797867809035597
46,4300,0.01,True,True,True,random,0.10368881156524956
11,4300,9.999999999999999e-05,False,False,True,cyclic,0.279476581843541
31,1800,9.999999999999999e-05,False,True,False,random,0.5081414961229765
81,300,9.999999999999999e-06,True,True,True,cyclic,0.10368881156524956
41,800,0.001,False,True,True,cyclic,0.538938032811326
16,3800,9.999999999999999e-05,True,True,True,random,0.10368881156524956
86,2800,0.01,False,True,True,random,0.5750896881426304
96,800,9.999999999999999e-05,True,True,True,cyclic,0.10368881156524956
26,4800,1e-06,False,False,False,cyclic,0.47454135013648024
81,1300,9.999999999999999e-05,True,True,False,cyclic,0.10368881156524956
31,4300,1e-06,False,False,True,random,0.5085013648565655
61,1800,1e-06,False,True,False,cyclic,0.5530732942939486
