Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
11,1100,1e-07,True,True,True,cyclic,0.7744052971071147
6,6100,1e-08,True,True,False,cyclic,0.7744052971071147
66,8600,0.1,False,False,False,cyclic,4.511925898904945
41,3100,1e-05,False,True,True,random,4.375046069410464
26,5100,1e-06,True,False,True,random,0.7744052971071147
16,2600,1e-08,False,False,False,cyclic,2.8139110227931416
76,4100,1e-08,True,False,False,cyclic,0.7744052971071147
36,1600,1e-05,True,False,True,cyclic,0.7744052971071147
1,9600,0.0001,True,False,True,random,0.7406081241659833
11,3600,1e-06,False,False,True,cyclic,2.1790176753712585
96,5100,1e-06,False,True,False,random,4.712751192895768
96,7100,1e-06,True,False,False,cyclic,0.7744052971071147
26,600,1e-08,True,False,True,random,0.7744052971071147
61,5100,0.001,True,True,False,cyclic,0.7744052971071147
91,1600,1e-07,True,True,True,cyclic,0.7744052971071147
61,7100,1e-06,False,True,False,cyclic,4.482172019241038
41,8100,0.0001,True,False,True,random,0.7744052971071147
26,9600,0.01,True,True,False,random,0.7744052971071147
41,4100,0.01,True,True,False,random,0.7744052971071147
1,8100,1e-06,True,True,False,random,0.7744052971071147
6,2100,0.01,True,False,False,random,0.7719684616012485
56,1100,0.0001,False,True,False,cyclic,4.453972953363596
71,600,0.0001,True,True,True,cyclic,0.7744052971071147
66,1600,1e-05,True,True,True,cyclic,0.7744052971071147
96,8100,0.01,False,False,False,random,4.712751192895768
91,1100,0.0001,False,False,False,random,4.676507179083574
81,7600,0.001,False,False,True,random,4.6086532788442565
1,5600,0.0001,False,False,False,random,0.9503974691682632
1,2100,0.0001,True,True,True,cyclic,0.7744052971071147
41,4100,1e-06,False,False,False,random,4.375046069410464
6,9600,1e-05,True,False,True,cyclic,0.7719684616012485
71,4600,0.001,True,True,False,random,0.7744052971071147
1,5100,1e-08,False,True,True,cyclic,0.9554064628724892
66,2100,1e-07,True,True,True,cyclic,0.7744052971071147
81,9100,0.001,False,True,False,cyclic,4.6086532788442565
96,6600,0.001,False,True,False,random,4.712751192895768
41,100,0.001,True,True,True,cyclic,0.7744052971071147
51,7600,1e-05,False,True,True,random,4.426855641550122
