N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
265,,24.0,26,2,True,0.5220678064517139
285,,273.0,42,10,True,0.5443725270005229
739,log2,218.0,28,6,False,0.5251110701053819
653,log2,42.0,38,15,True,0.5610737190010502
237,,127.0,29,9,True,0.5275953990163704
44,,78.0,17,17,True,0.4994382699225671
141,log2,115.0,16,4,True,0.5199254744715951
108,log2,227.0,25,10,False,0.5189803640871936
72,log2,24.0,50,7,False,0.554018352798062
718,,150.0,8,2,True,0.4724142229001931
222,sqrt,63.0,10,16,False,0.4784167369735315
72,,272.0,29,14,True,0.5282512247795803
204,log2,46.0,10,18,True,0.5020109949631019
198,log2,178.0,33,16,False,0.5343379490219551
345,sqrt,189.0,17,12,False,0.501020272315547
527,,50.0,44,13,False,0.5668610531544422
244,log2,26.0,36,4,False,0.537607774511113
61,log2,170.0,41,19,False,0.5428316540345877
391,,244.0,13,7,True,0.4916111592470177
144,,1.0,13,4,False,0.689276978670804
85,log2,130.0,8,20,False,0.4747181037263538
99,,275.0,45,18,False,0.563454026035567
177,,185.0,21,9,True,0.5121156026633551
371,,21.0,1,11,True,0.4421648918701701
170,,223.0,48,5,True,0.5517626029391767
415,log2,2.0,36,9,False,0.6419344596936625
138,sqrt,231.0,32,11,True,0.5536325211842783
11,log2,50.0,41,5,True,0.5835081026230406
730,sqrt,44.0,1,7,False,0.4011508258423469
82,log2,171.0,45,9,True,0.5697325001177129
712,log2,190.0,41,16,False,0.5446200487113179
664,sqrt,103.0,42,11,False,0.5459456473631059
671,,86.0,12,17,False,0.5386882730595184
654,log2,288.0,15,20,True,0.5185636866161606
721,sqrt,,21,10,False,0.5119464588069611
127,log2,192.0,22,9,True,0.5359702354132168
123,sqrt,269.0,15,2,False,0.4973168841025246
38,log2,117.0,30,20,False,0.5319032377524451
91,sqrt,134.0,35,20,False,0.5365182956978285
177,log2,85.0,47,7,True,0.5720713482639898
655,sqrt,142.0,37,10,False,0.5387400361949488
20,sqrt,24.0,11,7,False,0.4914437229483088
606,,124.0,19,4,True,0.5082517113536142
22,,266.0,5,9,True,0.4490211742869182
412,,90.0,18,18,False,0.532594280944672
76,log2,267.0,7,9,False,0.4587881602325024
556,sqrt,163.0,10,19,False,0.4783874475059426
278,,216.0,25,10,True,0.5199902037995976
356,sqrt,113.0,19,9,False,0.5067480830548448
317,,260.0,24,6,True,0.5183878814154232
574,,145.0,28,18,False,0.544620209183436
169,,285.0,17,18,True,0.5010015149948503
488,log2,122.0,22,9,True,0.5366402916810327
71,,249.0,35,10,True,0.5366575216929472
531,sqrt,283.0,48,16,False,0.5532874224159487
743,log2,45.0,39,10,True,0.562643268132331
74,sqrt,49.0,35,15,False,0.535627397279635
461,,164.0,7,8,False,0.5440210221694185
258,log2,290.0,2,6,True,0.4397896540313135
201,log2,15.0,20,8,True,0.5313582036800326
123,,237.0,24,4,False,0.5363558861152713
532,,115.0,30,7,False,0.5490143419253908
500,sqrt,243.0,48,2,False,0.5533290946199863
644,sqrt,274.0,15,12,True,0.5184723736904148
204,,78.0,29,16,True,0.5274979666009385
281,,40.0,19,20,False,0.5331586855031611
342,sqrt,103.0,25,7,True,0.5418271841621403
14,log2,275.0,15,20,False,0.5093640281556291
711,,134.0,12,4,False,0.5386882730595179
337,,93.0,13,18,False,0.5374059749754807
511,,225.0,5,17,False,0.5293760896279995
440,sqrt,198.0,33,16,False,0.5333755942089926
709,,242.0,42,17,True,0.5450670042993879
431,log2,93.0,13,18,False,0.4911077990806141
740,,28.0,5,12,False,0.521673224834899
255,sqrt,86.0,40,20,True,0.5651650569136153
