N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
455,log2,240,22,5,True,0.5362258836396943
134,sqrt,24,49,16,True,0.5732538876438997
19,log2,12,6,3,False,0.46375731752223526
58,log2,163,30,20,False,0.5284394608456295
113,sqrt,153,21,5,False,0.5119522685970199
421,sqrt,284,35,12,False,0.5373623999394395
644,,218,14,8,True,0.4947451007847713
491,log2,11,34,13,True,0.5566808280186807
331,log2,201,22,6,False,0.514454785591443
84,,232,35,2,True,0.5372595698815863
486,log2,106,20,11,True,0.5319267506131672
649,,53,35,15,True,0.5365706132036914
91,log2,34,41,5,False,0.5429109693723914
406,log2,69,26,7,False,0.5222902883248132
387,log2,49,26,2,True,0.5440673775361666
659,sqrt,125,15,11,True,0.5184895672409175
136,,299,10,19,True,0.4800169363993703
227,,246,3,7,True,0.43406155612690245
362,log2,148,44,10,True,0.567897241597519
281,log2,166,44,9,False,0.5478808724768801
740,,54,34,5,False,0.55318768753583
351,sqrt,145,49,20,False,0.5538362674071569
437,sqrt,260,34,14,True,0.556699688812733
80,log2,172,30,16,False,0.5272380787129458
73,,191,44,5,False,0.5668610531544452
61,sqrt,61,36,2,False,0.5371587675757307
292,,142,46,19,False,0.5695486726370598
116,sqrt,204,24,15,False,0.5181965301956556
462,sqrt,93,24,19,False,0.5177112995107288
191,sqrt,217,22,9,True,0.535572369113868
734,,74,30,4,False,0.5490143419253931
29,sqrt,286,45,18,True,0.5758895229091452
498,sqrt,161,38,13,True,0.5605281362039609
197,log2,268,21,4,False,0.5113517182376797
279,,53,45,18,False,0.5634540260355678
603,,234,26,5,True,0.522656281123745
602,,154,44,14,True,0.5475839468055206
319,log2,299,42,15,True,0.5671619349562793
329,log2,127,17,20,False,0.5009358976814693
534,log2,300,31,14,True,0.5525653745519509
234,sqrt,189,5,7,True,0.4700624204463388
554,sqrt,299,43,19,True,0.5665426113389284
31,sqrt,17,44,17,True,0.5731803305824055
313,sqrt,78,4,3,True,0.4604693473887531
530,sqrt,3,18,2,False,0.6017101517333143
270,,257,6,2,True,0.4594426511280021
728,log2,134,8,10,True,0.4908734307774051
772,sqrt,280,10,15,False,0.47799362434762493
337,,176,42,9,False,0.5591220161178445
385,sqrt,257,32,16,False,0.5329084860213454
380,sqrt,299,48,17,True,0.5718103848580458
345,log2,289,17,6,False,0.501020272315547
156,,274,31,3,True,0.5303864777203746
366,sqrt,232,9,12,False,0.4722415506392372
303,log2,136,32,4,False,0.5336113256633527
782,,142,32,18,True,0.5329142058796394
703,sqrt,123,25,14,True,0.541905213235967
532,sqrt,71,43,20,True,0.5666039762261683
31,sqrt,30,39,2,False,0.549128205059144
385,log2,97,8,4,True,0.48999338623328736
461,,24,43,13,False,0.5635446688856927
635,sqrt,79,38,20,False,0.5402566333122409
583,log2,45,7,8,True,0.48562170260306137
779,sqrt,213,26,10,False,0.521923837239536
503,log2,23,35,11,False,0.537611280674704
758,log2,9,49,20,True,0.5729211542421879
75,sqrt,107,19,14,True,0.5309296372315759
212,,206,12,16,True,0.4879011718510066
460,log2,133,28,6,False,0.5248166159271617
208,log2,298,2,12,True,0.4658218628170511
279,sqrt,156,5,19,False,0.46402943207248387
53,,191,22,12,True,0.5128962768832501
138,sqrt,59,41,11,True,0.565912978928101
180,,59,14,2,True,0.49316118052574015
745,log2,279,6,18,False,0.4635340315444885
763,sqrt,16,24,8,True,0.5401402226935592
127,,119,7,17,False,0.5394214437964003
152,sqrt,237,41,4,True,0.5664996632142756
796,log2,233,14,19,False,0.49329597603587194
585,,143,20,3,False,0.53417051758501
563,log2,19,13,7,True,0.5117403068389959
216,sqrt,294,26,19,True,0.5430114007085944
276,,69,38,17,False,0.5608182721949375
403,sqrt,65,4,12,True,0.46949451259136155
166,sqrt,49,33,5,False,0.5355193505047764
262,sqrt,43,30,19,False,0.5285180561779987
731,log2,210,17,18,False,0.5022374366256075
97,,79,40,19,True,0.5427003685576589
38,log2,258,25,7,True,0.5479584096002367
414,sqrt,229,45,4,True,0.5696341297637812
494,,156,10,12,False,0.5428199588963319
162,log2,203,41,6,True,0.5674618228251066
593,,173,34,5,False,0.5531876875358284
247,sqrt,201,41,2,True,0.5649424626931461
313,,1,9,15,True,0.6859785295551587
775,,32,8,13,True,0.4723600603289234
778,,170,11,16,True,0.4854988012045204
354,log2,170,20,19,False,0.5080384187988936
234,sqrt,300,28,6,False,0.5247097302989099
292,,297,48,11,True,0.5526746096090285
303,,233,3,12,True,0.4495333662587769
65,,176,33,3,True,0.532686280897634
800,,,42,11,False,0.5591220161178396
107,log2,281,30,6,True,0.5529730093363825
413,,185,41,9,True,0.5438308714480209
765,,300,48,12,True,0.5535838355227733
352,,268,25,20,False,0.5340531796402113
68,log2,200,45,11,True,0.5700068685686792
511,,83,10,5,False,0.5428184733595178
40,,82,11,6,True,0.4834971425704882
695,log2,139,28,17,False,0.5250294354778222
364,sqrt,200,11,3,True,0.5046835205646839
83,sqrt,45,3,16,True,0.47794372607084956
140,sqrt,300,48,7,True,0.5720746762444879
346,,207,11,5,False,0.5376900551857776
109,log2,274,32,2,True,0.5538643830539264
457,sqrt,143,23,12,False,0.5170751313951467
700,log2,147,13,4,False,0.49057130001253185
240,,74,22,12,False,0.5288745960515242
596,sqrt,137,45,15,True,0.5687999410758038
642,log2,200,40,14,True,0.5638625234809147
80,,88,14,15,False,0.5318475607518475
763,log2,181,17,8,False,0.5021827593286781
385,sqrt,173,49,13,True,0.5727071126259224
598,sqrt,197,48,15,True,0.5718852048583687
534,sqrt,296,28,16,True,0.5482118762700097
315,sqrt,165,24,18,True,0.5391890846299938
795,log2,185,25,17,True,0.5419210865962341
184,,260,33,19,False,0.5475743845415515
472,log2,30,44,5,True,0.5679200812351501
713,,33,6,7,True,0.46020844675761063
110,,74,8,17,False,0.5505503962241808
543,log2,157,10,14,True,0.5015745048463589
409,,65,20,13,False,0.5341705175850123
209,log2,45,11,19,True,0.5031545851250998
743,sqrt,102,49,20,False,0.5543180099144539
263,,47,15,20,False,0.5292112276560529
411,,139,50,8,False,0.5720194333207378
322,log2,244,28,12,False,0.5256673433845429
628,sqrt,60,44,10,True,0.5676450056765066
92,log2,30,6,6,False,0.4542286636384055
66,,222,36,4,False,0.561318691914107
174,log2,149,19,2,False,0.5085898741207497
386,log2,243,11,12,False,0.48426435215348684
407,sqrt,174,8,11,True,0.48998269084134083
259,log2,198,40,13,True,0.5652452656090299
540,log2,122,25,7,False,0.5202739825991143
586,log2,225,25,17,True,0.541873398376872
245,log2,85,30,2,True,0.550077824892294
403,,9,15,7,True,0.4975627066469135
513,,226,12,20,False,0.5386882730595205
514,sqrt,247,15,16,False,0.495993949392591
362,sqrt,175,27,10,True,0.5447512044551771
399,log2,89,17,13,False,0.5013478403111854
11,log2,285,18,17,True,0.5435721606706192
141,,172,18,14,True,0.5029183685321916
486,,3,19,3,False,0.5999286890044959
216,,185,26,6,True,0.5212455786577355
211,sqrt,191,11,10,False,0.4848516465604865
639,,70,16,15,False,0.5321790926532237
144,,117,19,3,False,0.5331586855031638
124,sqrt,132,23,6,True,0.540126994583541
316,,82,49,14,True,0.5546417080804864
776,log2,158,18,3,False,0.503792526172798
476,,113,36,4,True,0.537675261207601
118,sqrt,249,50,10,True,0.5741758405690095
177,,26,22,8,False,0.5288745960515271
303,sqrt,290,27,6,True,0.5453934611941147
370,sqrt,218,28,5,False,0.5252676737181596
86,,48,9,5,False,0.5430366538773729
261,log2,69,37,17,True,0.5607659287740115
627,log2,279,15,14,False,0.49589542675111015
785,,173,40,14,True,0.5428961780502248
567,log2,142,9,5,False,0.47241684390009653
699,sqrt,177,35,12,True,0.5575171133382895
239,log2,119,20,11,True,0.5312799280880236
246,log2,169,49,10,True,0.5717956877148327
767,,11,48,10,False,0.5698967925963181
464,log2,130,6,8,False,0.4530527061010837
726,,252,9,16,True,0.47770107291850683
606,sqrt,245,26,16,True,0.5439699946019252
754,sqrt,199,36,19,True,0.5588260051054434
209,sqrt,61,14,6,True,0.5162273227929604
256,log2,233,15,16,False,0.4964782417372148
438,log2,6,18,12,False,0.5294007393002593
763,,4,45,7,False,0.5847786802198651
292,,102,46,8,True,0.5498867097081721
583,,19,11,6,False,0.5376900551857757
506,,246,18,14,True,0.5052182832571182
177,,189,3,8,True,0.43915688815089515
172,,12,25,14,False,0.5340531796402174
134,sqrt,216,47,10,True,0.5710289824911882
640,log2,167,26,6,True,0.5440811363361242
262,sqrt,68,31,19,True,0.5526484612692182
77,log2,120,31,16,True,0.5538985572493001
251,log2,9,24,18,True,0.5393303601549329
204,sqrt,253,34,14,True,0.5575553739964065
337,log2,98,5,16,False,0.4577933090479974
95,,183,32,11,False,0.5470791432846438
599,,277,20,19,True,0.5110539565661362
47,,183,22,19,False,0.5288745960515251
266,sqrt,189,39,12,True,0.5636502443566181
408,log2,230,47,6,True,0.5714883426087005
330,,253,3,19,False,0.5489920300473604
289,,234,48,16,True,0.5524136517440323
52,log2,61,11,14,True,0.5054728518062888
110,log2,249,1,9,False,0.41456519717274104
784,,171,35,12,True,0.5370563505800661
62,sqrt,130,34,18,True,0.5607392295884525
680,log2,260,12,16,False,0.48589246502622047
74,sqrt,216,48,16,False,0.5521017432809284
360,,24,33,7,True,0.5336164226151208
365,log2,134,24,15,True,0.5398483890049355
151,sqrt,158,24,8,False,0.5195728971806444
486,log2,292,35,14,True,0.5578038591078853
196,log2,175,34,10,False,0.5368289143921056
778,sqrt,2,9,8,True,0.6399687797781466
48,,85,24,6,True,0.5179402281885667
733,log2,126,48,9,True,0.5721267467241753
292,sqrt,167,22,15,False,0.5147776296175341
57,,187,23,14,False,0.5347073082246835
548,sqrt,101,29,17,False,0.5269481085943253
760,,206,43,4,False,0.5635446688856909
287,,135,45,18,False,0.5634540260355683
763,,125,34,12,True,0.5355241634747566
694,log2,127,2,18,True,0.48068428858289314
697,log2,223,3,5,True,0.44721574555711385
282,sqrt,202,46,18,False,0.5496161901830421
610,log2,284,26,7,True,0.5439417757632243
775,sqrt,217,50,4,False,0.5553220393972785
636,sqrt,73,2,10,True,0.45760636581023706
152,sqrt,231,23,12,True,0.5392354547646327
393,log2,46,10,9,True,0.500271490798389
773,sqrt,280,16,16,True,0.5202857733477237
246,log2,247,27,2,False,0.5228962232975766
311,,99,35,11,False,0.5619159019101958
286,,189,40,14,False,0.5565491111428984
623,log2,219,37,2,True,0.5599812260167529
543,log2,56,9,15,True,0.49635049515452023
178,,106,28,12,False,0.544620209183442
99,sqrt,12,2,6,False,0.42181076989177413
375,,94,7,16,True,0.4698305424920227
14,sqrt,159,22,6,True,0.5432791217307578
295,,102,25,10,False,0.534053179640213
298,log2,129,18,17,True,0.527458956655783
623,,1,18,15,False,0.6892769786708106
630,sqrt,126,3,6,False,0.4142931222841874
81,sqrt,124,47,7,True,0.5716011147525071
5,,199,44,9,False,0.5668610531544462
782,sqrt,103,14,6,False,0.49333489592221685
734,sqrt,229,35,19,True,0.5577600455427152
591,sqrt,122,40,3,False,0.5433270872543079
567,,77,41,10,True,0.5434939674853645
618,log2,135,32,16,True,0.5537419913794521
553,log2,,44,7,False,0.5482543000347783
155,log2,32,25,15,False,0.5202647128016147
731,sqrt,170,26,9,True,0.5438798994477332
707,,126,13,13,True,0.49217197185315165
549,sqrt,17,33,20,True,0.5557543006369077
754,,93,44,19,True,0.5477758557524794
342,log2,100,28,19,False,0.5258352589139879
795,,259,3,18,True,0.46660455812005974
600,log2,286,26,3,True,0.544026829381445
475,log2,274,40,15,False,0.5432791893860485
732,sqrt,217,46,16,False,0.5502310510666122
472,,155,32,17,False,0.547079143284642
356,sqrt,186,2,17,True,0.47714153164418033
780,,253,17,16,True,0.5038370909239153
168,log2,251,12,16,True,0.5101799830081949
104,,12,37,7,False,0.560818272194938
246,log2,137,27,20,False,0.5228962232975766
