n_estimators,max_features,max_depth,min_samples_leaf,min_samples_split,bootstrap,Error-
779,log2,22,9,2,True,0.495979760071944
184,log2,123,40,16,False,0.5436486217708649
337,sqrt,87,12,10,False,0.4872519399033376
251,log2,1,33,6,False,0.6949167718855469
95,sqrt,121,26,9,True,0.5474190879467806
729,log2,221,14,2,True,0.5148902364341736
241,sqrt,144,38,7,True,0.5608620248793046
320,sqrt,185,46,2,False,0.5493038609253345
708,sqrt,196,39,3,True,0.5624132589989601
515,sqrt,31,11,2,False,0.48411908645546553
109,,260,38,2,False,0.5608182721949377
298,,94,41,5,False,0.5600763326345669
163,sqrt,29,3,6,True,0.44851719411473173
182,log2,50,46,7,True,0.5715705256147998
207,log2,210,20,14,False,0.5080581034463133
120,,134,19,13,False,0.5331586855031637
82,,227,22,10,True,0.5146793746226362
447,log2,6,39,12,True,0.5661356155571451
734,sqrt,173,32,10,True,0.5538056142961955
511,,28,15,10,True,0.4974606477449817
745,,47,32,2,False,0.5470791432846421
152,sqrt,259,23,15,True,0.5392354547646327
205,,248,5,20,False,0.5370533782258926
247,,217,11,11,False,0.537690055185776
171,,38,13,9,True,0.4907497131149473
121,sqrt,95,2,5,True,0.43212776637364414
754,log2,94,10,5,True,0.5015845080695578
534,log2,162,19,6,True,0.5296614667031363
612,sqrt,262,25,13,True,0.541770421366538
252,log2,258,43,20,False,0.546070997514838
121,sqrt,174,30,4,False,0.5272307074134717
352,sqrt,102,32,8,False,0.5329656519303437
469,sqrt,153,6,10,False,0.45314811635577396
233,,65,8,5,True,0.47208785002784714
493,log2,284,5,6,False,0.4420019602343619
54,,162,20,11,True,0.5091151154914112
423,sqrt,171,31,14,False,0.5302140432058671
42,log2,291,1,11,False,0.41889285591375036
545,sqrt,292,43,8,True,0.566712261207277
622,,225,24,14,False,0.5363558861152702
529,,1,47,5,False,0.68927697867081
640,sqrt,175,6,13,True,0.47891529828758994
516,,124,19,8,False,0.5331586855031565
152,,267,2,19,True,0.46658627635477856
316,,261,16,5,True,0.4998998080085543
595,,264,18,18,True,0.5054674894372122
778,sqrt,283,44,14,False,0.547661491088242
128,log2,186,17,18,True,0.5253635847892325
28,sqrt,131,19,11,False,0.511289463621736
383,sqrt,209,36,4,True,0.5586203032297845
47,log2,85,49,14,True,0.5730132189437884
167,,197,35,18,False,0.5619159019101964
397,,142,47,4,False,0.5699906388096425
138,log2,87,27,3,True,0.5455628731727833
284,log2,248,48,14,True,0.5717935278060777
303,log2,134,36,13,False,0.5375855435731953
408,log2,113,22,16,True,0.5357249735037721
703,,117,9,4,False,0.543036653877374
744,,75,9,12,False,0.5430366538773737
356,,235,26,10,True,0.5220415998485686
582,,26,14,13,False,0.5318475607518407
172,log2,268,31,7,False,0.5307292877039891
582,,103,15,13,False,0.52921122765605
453,,90,4,6,False,0.5302154165699031
53,sqrt,94,32,9,False,0.5347381193207063
434,sqrt,145,31,8,True,0.5528352182090135
28,,33,43,14,False,0.563544668885694
786,,157,22,5,True,0.5155266536683432
590,sqrt,222,8,8,True,0.4905253844427394
254,log2,254,36,20,False,0.5371431038009173
287,sqrt,295,41,11,True,0.5656837977041648
377,,112,19,16,True,0.5078834622473547
618,,25,40,15,False,0.5565491111428935
644,,277,36,5,True,0.5379701673793202
744,sqrt,261,46,3,True,0.5705020827738189
522,sqrt,5,25,5,True,0.5622719913274925
658,log2,233,24,3,False,0.5181340978040512
211,,267,29,8,True,0.5273408916491151
708,,106,39,8,True,0.5418493312750465
749,sqrt,2,19,7,True,0.6403185571455356
211,sqrt,25,23,13,False,0.5176724776298667
401,,217,22,19,False,0.5288745960515213
373,,218,24,13,True,0.5183642511729691
745,sqrt,171,46,6,True,0.5705077928356894
620,log2,16,9,3,False,0.472347754372188
263,,289,13,3,False,0.5374059749754796
717,,52,19,4,True,0.508565097081578
197,,194,34,6,False,0.5531876875358295
659,,186,3,14,False,0.543434187414678
255,,74,28,19,True,0.5255522647904616
205,,146,35,20,True,0.5360374920795421
722,,258,2,12,False,0.5470574683936279
140,,155,44,8,False,0.5668610531544449
687,,19,2,5,False,0.5157469144209375
693,,9,14,8,True,0.4956582843684058
316,log2,291,43,6,True,0.5674884842644389
156,sqrt,292,37,11,False,0.5398397697890439
422,,67,1,9,True,0.4343967171404974
341,log2,112,46,2,False,0.5494605331789417
510,log2,41,41,17,True,0.5651262021815492
71,log2,238,2,8,True,0.4511493754558784
645,,293,19,13,True,0.5084022094727946
172,,112,8,15,False,0.5538121149741803
356,,261,26,15,False,0.5367859438428646
694,log2,76,37,2,False,0.538746817509701
616,log2,241,41,11,True,0.564993700546712
258,log2,212,12,15,False,0.4874312257900104
603,,184,28,16,True,0.5263232468432308
608,,41,2,11,True,0.445669245150478
102,,137,32,16,True,0.5311548984882409
760,sqrt,261,8,6,True,0.4906895772119657
73,,183,39,16,True,0.5424197470875166
197,,26,38,3,True,0.5410447625101169
174,log2,243,16,11,True,0.5208307546581366
600,,37,38,7,False,0.5608182721949366
432,log2,271,6,12,False,0.4533128752902544
192,,103,33,19,False,0.5475743845415515
387,log2,,29,4,True,0.5498273139279025
427,log2,285,5,20,False,0.4655950056024015
215,sqrt,13,2,10,True,0.46000272591684094
57,,22,45,3,True,0.547238634945556
522,sqrt,222,31,17,False,0.5302340091469335
46,sqrt,32,50,13,True,0.5734910101035247
393,log2,96,17,5,True,0.5226704486965174
441,,65,18,5,True,0.5052688684053133
414,log2,11,2,8,False,0.4361890348548216
366,log2,148,35,8,False,0.5372842386462497
134,log2,185,36,3,False,0.5378536913857689
428,log2,84,21,12,True,0.5337681042981035
233,log2,49,14,11,False,0.4932387140258974
779,,44,22,7,False,0.528874596051524
759,log2,267,12,6,False,0.48590224613609717
191,sqrt,186,14,10,True,0.5169703846776745
483,log2,244,50,3,True,0.5735279287969133
