n_estimators,max_features,max_depth,min_samples_leaf,min_samples_split,bootstrap,Error-
130,,262,10,10,True,0.11011770172032315
196,log2,217,40,4,True,0.22028056201795743
523,sqrt,87,25,12,True,0.19092593046913478
539,sqrt,81,7,8,False,0.13262132220311948
472,log2,204,40,10,True,0.2192158861700221
759,log2,102,3,6,False,0.11739491230323258
783,sqrt,244,42,2,True,0.22161764220760652
616,sqrt,86,49,7,False,0.2061364713131172
379,,194,44,7,True,0.16393434101172066
663,log2,108,31,6,False,0.18207017936392875
231,sqrt,81,14,11,True,0.16665951464375847
229,log2,139,48,5,False,0.20647990700757538
505,log2,14,25,17,True,0.19144804173696284
286,,155,22,4,False,0.13128557687292655
628,log2,273,29,2,True,0.19871799985767458
314,log2,106,17,11,False,0.1590841335419888
765,,298,40,13,False,0.1445604788794139
365,,69,17,9,True,0.12141830891642358
711,log2,245,32,3,True,0.20359620868213432
183,,180,8,18,False,0.1186214199479717
766,log2,75,43,15,False,0.1987355185542923
467,,183,3,18,True,0.10749938595497359
475,,206,32,5,True,0.1443608607685144
581,log2,279,31,3,False,0.1822137213681739
168,sqrt,51,33,3,False,0.19086636121163544
239,,72,22,13,True,0.12712171313052853
747,,125,26,19,True,0.12901356911751877
116,,213,38,20,False,0.14491776008750623
449,log2,104,24,15,False,0.1720701660774413
479,sqrt,266,9,2,False,0.13833761379446008
390,,5,25,16,True,0.12810848627019222
173,sqrt,120,35,3,False,0.19267569079495853
384,,182,7,5,False,0.11719907332946981
192,,136,20,10,True,0.1257029139235948
738,log2,59,32,12,True,0.20319064548516716
324,,173,29,13,False,0.14070032718138842
521,log2,18,26,5,True,0.19296685599596272
708,sqrt,267,33,9,False,0.18658205301845857
356,,113,24,16,True,0.1274777508798465
432,,259,22,16,False,0.13128557687292663
102,log2,291,5,18,False,0.13813515965169634
634,,164,20,6,True,0.1260584390546432
504,,263,50,12,False,0.16524000332603792
709,log2,73,5,4,False,0.12514611775291826
320,log2,270,4,8,True,0.1287752789628056
562,log2,42,1,9,True,0.12402503699618654
720,sqrt,44,6,19,True,0.14584974907405943
364,log2,24,5,8,False,0.12634173264639662
684,sqrt,23,39,11,True,0.21641380984211445
535,,259,34,7,False,0.14483786378771332
324,log2,230,25,6,False,0.17341605421380155
720,,268,42,5,True,0.1632241665074623
475,sqrt,90,22,8,False,0.16863268434209788
689,log2,165,50,7,False,0.20732902428134958
573,sqrt,241,30,9,True,0.19958039190909393
532,,147,12,19,False,0.1252991369999457
467,log2,38,12,10,False,0.14717173659454416
469,,64,23,15,False,0.13209051700050675
285,log2,99,37,19,False,0.1938707899127877
484,sqrt,193,4,18,False,0.1326618141394033
778,sqrt,46,25,19,True,0.19049936223032857
473,sqrt,179,44,14,True,0.2258788795894264
153,,26,50,7,True,0.1636358484931745
389,log2,185,28,19,True,0.19861129827666876
655,,290,22,15,False,0.13128557687292666
772,,114,6,17,True,0.10715371764257227
706,log2,251,29,18,False,0.178192042001632
16,,83,37,9,False,0.14495701841292333
697,,261,30,15,False,0.14070032718138828
798,,229,3,9,False,0.12087381801827733
782,log2,130,43,14,True,0.22306143621060906
414,,100,39,3,False,0.14491776008750606
548,log2,16,49,15,True,0.2310689498077385
603,,59,48,20,False,0.16291181860848966
467,sqrt,191,13,8,False,0.1494349393379077
372,sqrt,295,28,16,False,0.17871335911175038
570,log2,85,21,6,True,0.18131630416897196
58,log2,208,23,16,False,0.17925294607763462
421,sqrt,289,44,5,True,0.22522674319212035
611,log2,269,30,19,False,0.18015115315896232
697,sqrt,232,24,14,False,0.17026919702734342
95,,297,49,19,False,0.16268154905324747
800,sqrt,135,45,13,True,0.22638848815065796
87,,238,35,16,True,0.15190515895813086
18,log2,163,19,3,False,0.1716815395782262
96,log2,295,28,9,True,0.20363099530459686
394,,52,6,5,True,0.10364554212232674
679,,189,13,3,True,0.11468747128126817
337,log2,95,45,9,False,0.2029395344034336
686,,233,12,5,True,0.11317322088365749
437,sqrt,285,41,14,True,0.22170624017272947
450,sqrt,130,28,8,True,0.19815280216727185
364,log2,133,46,15,False,0.20398083824584842
402,log2,94,28,7,False,0.17865214636965818
510,sqrt,218,46,20,True,0.2283270785177138
165,sqrt,196,44,20,True,0.22706105862037407
117,log2,273,49,10,False,0.21091887587327396
136,,267,21,20,True,0.12664490704711254
195,sqrt,224,37,20,True,0.21417154793566642
483,sqrt,24,20,11,False,0.1642189216209746
262,,85,20,10,False,0.13065237218032835
557,,161,12,3,False,0.12529913699994577
506,sqrt,59,33,16,True,0.20579137938954808
573,log2,44,9,4,True,0.14945352052184716
253,,110,32,19,True,0.1441025995726082
115,,191,24,5,True,0.12831512978412254
302,log2,130,19,7,False,0.1631406535680762
647,,261,46,17,True,0.1641081289819619
605,sqrt,106,21,3,False,0.1656198996182791
662,sqrt,98,45,18,False,0.20110295716386084
710,sqrt,285,1,20,True,0.14049835233030197
240,log2,155,28,16,False,0.17978363732137903
537,log2,195,39,13,False,0.19421695323039875
685,sqrt,105,18,19,True,0.17456662227560238
67,,89,12,16,True,0.11383846927098566
36,sqrt,231,39,2,False,0.20733813403312842
254,log2,215,2,7,False,0.11563428204539243
682,log2,242,13,9,True,0.1614446562461293
296,sqrt,112,46,2,True,0.22861096041991402
177,sqrt,258,34,7,False,0.19145534311239412
98,log2,111,6,12,True,0.14020740485978242
37,log2,286,48,4,True,0.2505340720575878
654,,288,25,12,True,0.12831833351462432
75,log2,75,32,18,False,0.18979189463695734
550,log2,95,31,6,False,0.18213636444484319
208,sqrt,89,50,7,True,0.23073473473101522
235,,77,11,12,True,0.11179595608062042
334,,171,22,16,False,0.13128557687292655
418,sqrt,191,20,13,False,0.16474676181896952
289,sqrt,197,35,19,False,0.19044936942095406
229,sqrt,206,19,7,True,0.17664138774106306
699,log2,48,21,7,True,0.18181586877670167
643,sqrt,106,43,5,False,0.19855051226456333
85,sqrt,170,10,4,False,0.1414650204398789
68,sqrt,268,26,14,False,0.17873717985703577
143,sqrt,16,28,8,True,0.20300313838566822
754,sqrt,95,3,6,False,0.11740656278868496
610,sqrt,75,14,12,True,0.16525130567088098
652,sqrt,235,29,5,False,0.1782285973044091
154,log2,159,16,6,True,0.17041513831322586
488,log2,297,5,4,True,0.13329548278598283
124,,274,19,17,True,0.124946605745205
399,log2,136,3,3,True,0.12448668287625841
774,log2,244,33,16,True,0.2054791709348647
478,log2,279,40,5,False,0.19605385306428222
565,sqrt,128,8,11,True,0.1456201280597393
288,sqrt,201,5,7,False,0.12600534028290167
409,log2,205,32,4,True,0.20496442663700842
619,,75,7,15,True,0.10579120419877201
791,log2,101,2,6,True,0.12107169672887381
437,sqrt,137,35,11,False,0.19082294970285676
423,log2,259,34,3,True,0.20879633054940375
97,log2,243,32,19,False,0.18912270453672342
50,log2,224,19,8,True,0.18774051071706463
178,log2,23,7,5,False,0.1342885361042472
663,sqrt,67,41,3,True,0.21990854424441555
702,sqrt,14,21,7,True,0.1817606923100629
594,log2,53,6,11,True,0.13760857377812954
94,log2,118,28,19,True,0.2049913835111167
387,sqrt,129,12,17,True,0.16051385063316767
698,log2,88,5,9,True,0.13324628978455288
521,log2,204,37,12,True,0.21338211927496545
476,log2,134,16,5,True,0.1717756189957099
221,log2,18,42,9,False,0.20099702335417588
681,sqrt,199,11,2,False,0.14377134905632963
534,sqrt,206,41,18,True,0.21978662035032637
480,log2,48,14,15,False,0.15087160560010152
450,,82,19,5,True,0.12491263101333179
640,sqrt,149,30,19,False,0.17983771667249107
202,log2,105,29,16,True,0.19962076171141951
643,,81,14,14,True,0.1163453605500181
606,,190,1,11,False,0.12491888391486498
742,,109,24,15,True,0.12787280610111382
59,,115,22,9,False,0.1312855768729266
31,sqrt,171,31,2,True,0.21923046965415546
587,,131,27,11,False,0.1365182016378738
776,log2,288,48,18,False,0.2047970095468856
504,,134,18,7,False,0.1269196982592743
430,log2,237,9,12,True,0.15053209979715745
158,,84,32,6,True,0.14407712346140608
725,log2,102,33,20,False,0.18656831831053808
654,log2,262,30,17,False,0.17993920651996395
198,sqrt,220,3,19,False,0.1327999045368725
27,,201,10,6,True,0.1109245684741778
267,log2,168,35,14,False,0.19073651622674095
267,sqrt,259,30,19,True,0.2014188910420872
138,log2,42,36,20,True,0.21457911426048948
655,log2,232,32,13,False,0.1833191617743556
386,,170,26,7,True,0.1287931763557105
132,sqrt,145,47,15,True,0.23374007172934874
543,log2,42,18,6,True,0.17369699483482315
286,log2,99,20,15,False,0.16424451404757376
245,sqrt,5,5,5,True,0.1776088812275587
402,,96,41,19,False,0.14447141799084617
220,sqrt,139,19,19,True,0.17720951147729994
181,sqrt,123,20,5,True,0.18141053043772234
385,sqrt,294,41,20,False,0.1980362491548158
222,log2,78,33,19,True,0.20675543307603592
284,,209,36,15,True,0.15361616203081593
587,sqrt,35,2,15,False,0.1261545515180104
566,,195,39,13,False,0.14491776008750593
676,,81,15,4,True,0.11799071305308871
645,,189,28,5,True,0.1324902801704675
365,,185,2,19,False,0.12168990959307029
348,log2,2,41,13,False,0.291971650079676
695,log2,211,34,5,True,0.2076242742686302
480,log2,246,26,8,True,0.1939755326697318
175,sqrt,77,13,19,True,0.16478730155259846
580,,161,48,3,True,0.16436505905641574
128,,291,20,3,True,0.12605865166733465
89,sqrt,150,10,2,False,0.1419846950577284
697,sqrt,127,36,2,False,0.1905874574691929
77,sqrt,85,11,3,True,0.16119120787181349
772,sqrt,59,18,12,False,0.1596705049071704
451,,138,2,5,False,0.12646002000371764
198,sqrt,195,46,11,False,0.20405029703491584
724,,81,6,16,False,0.12076698433780665
779,,219,1,15,True,0.10428740819675737
543,,51,42,10,False,0.14432276109075556
209,sqrt,299,11,14,False,0.14326512612998946
341,log2,238,37,9,False,0.1936789442416471
331,log2,297,48,13,True,0.23092556026249308
638,sqrt,280,26,12,False,0.17358440716037427
416,log2,149,16,17,True,0.1720912865373961
