criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,random,10,73,0.0,1,0.6,240.7332261333128
absolute_error,best,5,10,0.2,10000,0.5,102.39712172514196
absolute_error,best,2,100,0.30000000000000004,10000,0.30000000000000004,135.3177826645434
squared_error,random,5,1,0.2,100,0.30000000000000004,130.32643004620647
friedman_mse,random,37,37,0.0,10000,0.7999999999999999,157.85873556915294
friedman_mse,random,10,100,0.4,1,0.7,240.7332261333128
absolute_error,random,100,10,0.7999999999999999,1,0.4,204.47429716574342
absolute_error,best,73,37,0.4,1,0.2,186.85477173664466
poisson,best,100,1,0.5,1,0.8999999999999999,187.81594860535517
absolute_error,best,10,1,0.0,10,0.4,117.55690944572437
friedman_mse,random,100,73,0.0,1,0.5,240.7332261333128
friedman_mse,random,2,5,0.8999999999999999,1,0.6,241.90579826252778
poisson,random,5,2,0.7,100,0.9999999999999999,120.14016660691368
squared_error,random,5,100,0.7,10,0.5,206.33933750863625
friedman_mse,random,2,5,0.8999999999999999,10,0.4,141.72782280313945
absolute_error,best,5,5,0.1,1000,0.5,113.02185331743767
squared_error,random,5,1,0.7,1,0.4,207.17517697873436
poisson,random,73,37,0.7,1,0.7,207.17517697873436
poisson,best,37,37,0.7999999999999999,100,0.7,113.90365450162612
friedman_mse,random,73,37,0.30000000000000004,1,0.4,240.7332261333128
squared_error,random,10,1,0.8999999999999999,1000,0.8999999999999999,112.92426833953607
poisson,best,73,5,0.30000000000000004,10000,0.30000000000000004,111.891562058266
absolute_error,random,5,73,0.9999999999999999,1,0.7,204.47429716574342
poisson,random,5,100,0.2,1000,0.9999999999999999,207.17517697873436
poisson,best,73,2,0.0,10,0.4,111.891562058266
absolute_error,best,5,100,0.7999999999999999,100,0.30000000000000004,135.3177826645434
absolute_error,random,10,1,0.30000000000000004,100,0.4,108.07364626198314
absolute_error,random,37,73,0.7,10,0.7999999999999999,181.37336090011937
squared_error,random,37,1,0.7,100,0.7,105.67714639070384
squared_error,best,2,73,0.8999999999999999,1000,0.4,125.04609969490066
absolute_error,random,10,73,0.0,100,0.7,181.58890670285166
friedman_mse,random,100,5,0.1,100,0.9999999999999999,142.33578947730612
absolute_error,best,5,5,0.1,1,0.9999999999999999,186.85477173664466
absolute_error,best,100,1,0.5,100,0.0,112.83571437635517
absolute_error,random,73,5,0.0,100,0.4,118.56028826730778
squared_error,random,73,37,0.30000000000000004,10000,0.5,142.66464405724727
absolute_error,random,100,1,0.5,1,0.7,204.47429716574342
friedman_mse,random,2,73,0.6,10,0.6,223.58079651424836
absolute_error,best,2,1,0.4,1000,0.0,109.60297304809859
