Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
16,1100,0.1,True,False,False,cyclic,0.0784995079648782
81,9100,0.1,True,True,False,random,0.0784995079648782
66,7100,0.001,False,False,False,cyclic,0.5669966624904693
56,100,0.0001,False,True,True,random,0.5669966624904693
31,4600,1e-05,True,True,False,random,0.0784995079648782
36,4100,1e-05,True,False,False,random,0.0784995079648782
26,2100,1e-07,True,True,False,random,0.0784995079648782
71,1100,1e-06,True,False,False,random,0.0784995079648782
91,8100,0.001,True,True,True,cyclic,0.0784995079648782
36,9100,0.01,True,True,False,random,0.0784995079648782
26,1600,0.1,False,True,True,random,0.5669966624904693
1,6600,0.01,False,True,False,cyclic,0.5669966624904693
41,9100,0.001,False,False,False,cyclic,0.5669966624904693
26,4100,1e-05,False,True,True,cyclic,0.5669966624904693
81,2600,1e-06,False,False,True,random,0.5669966624904693
81,100,1e-05,False,True,True,cyclic,0.5669966624904693
21,6600,0.0001,False,True,True,random,0.5669966624904693
36,2600,0.1,True,True,False,random,0.0784995079648782
21,5600,1e-05,True,True,True,random,0.0784995079648782
81,5600,0.001,False,True,False,random,0.5669966624904693
11,5600,1e-06,False,True,False,cyclic,0.5669966624904693
66,600,1e-07,True,False,False,random,0.0784995079648782
36,6100,0.1,False,False,False,random,0.5669966624904693
66,7600,1e-05,True,False,True,cyclic,0.0784995079648782
66,1600,1e-06,True,False,False,random,0.0784995079648782
36,2600,0.01,False,True,False,cyclic,0.5669966624904693
51,7600,0.01,True,True,True,random,0.0784995079648782
6,1100,1e-06,False,False,True,cyclic,0.5669966624904693
81,9600,0.01,True,True,False,random,0.0784995079648782
6,600,1e-07,True,False,False,random,0.0784995079648782
91,5600,1e-05,False,False,False,cyclic,0.5669966624904693
41,1600,1e-06,False,True,False,random,0.5669966624904693
46,6600,1e-05,True,False,False,random,0.0784995079648782
6,8100,0.0001,False,True,True,random,0.5669966624904693
26,3600,1e-06,False,False,False,cyclic,0.5669966624904693
51,3100,1e-05,False,True,False,cyclic,0.5669966624904693
41,5600,1e-06,False,False,True,cyclic,0.5669966624904693
31,7100,0.01,False,False,False,random,0.5669966624904693
46,2100,1e-06,False,False,True,cyclic,0.5669966624904693
31,9100,0.001,True,False,False,cyclic,0.0784995079648782
96,6600,1e-05,False,True,True,cyclic,0.5669966624904693
51,7600,1e-05,False,True,True,random,0.5669966624904693
11,2100,1e-05,False,False,False,cyclic,0.5669966624904693
6,5100,0.0001,True,False,True,random,0.0784995079648782
76,3100,1e-07,False,True,True,random,0.5669966624904693
21,9100,1e-05,False,True,False,cyclic,0.5669966624904693
26,7100,0.1,True,False,True,random,0.0784995079648782
46,4100,0.1,False,False,True,cyclic,0.5669966624904693
6,7600,0.01,True,False,True,random,0.0784995079648782
16,5100,1e-05,True,True,True,random,0.0784995079648782
46,9600,0.01,False,False,True,random,0.5669966624904693
61,3100,1e-06,True,True,False,cyclic,0.0784995079648782
61,5100,0.1,True,True,True,random,0.0784995079648782
76,9100,1e-06,True,True,False,cyclic,0.0784995079648782
36,2100,1e-05,False,True,True,cyclic,0.5669966624904693
61,1600,0.0001,True,False,True,random,0.0784995079648782
66,9100,0.0001,False,True,False,cyclic,0.5669966624904693
21,2100,0.1,True,True,True,random,0.0784995079648782
61,3600,1e-08,False,False,True,random,0.5669966624904693
71,8100,1e-05,False,True,False,random,0.5669966624904693
61,600,1e-07,False,True,True,random,0.5669966624904693
16,3600,1e-05,False,False,True,cyclic,0.5669966624904693
21,100,0.0001,True,True,False,random,0.0784995079648782
11,3600,1e-08,True,False,True,cyclic,0.0784995079648782
76,8600,1e-05,False,False,False,cyclic,0.5669966624904693
61,6100,0.0001,True,True,True,cyclic,0.0784995079648782
