N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
140,log2,170,15,12,False,0.047735595208293104
354,sqrt,91,43,6,True,0.06461968286475818
564,sqrt,196,24,5,False,0.04967579062724043
184,,264,31,6,False,0.05949615179951917
102,sqrt,289,43,10,True,0.06485302395424776
157,,254,20,4,False,0.05480055346639923
474,log2,194,34,2,True,0.06181848412469001
785,,86,29,8,True,0.057457142501731666
119,sqrt,65,3,11,True,0.04338207382155456
786,log2,146,46,3,False,0.06098714816478682
514,sqrt,67,8,4,False,0.04333645166304137
198,sqrt,161,33,16,False,0.057692095639373144
758,sqrt,9,5,11,True,0.04831718747816464
272,log2,265,25,10,True,0.05904467759031167
259,log2,120,37,7,True,0.06256236395160701
47,log2,217,26,10,True,0.059908707109781766
319,sqrt,26,2,13,True,0.04385227933088456
505,sqrt,229,22,12,False,0.0494238778139496
84,,287,24,11,False,0.05191163956203642
132,,54,22,7,False,0.05978404881491336
229,log2,225,47,8,True,0.06566563490399234
373,log2,229,38,19,True,0.0629845529216387
60,sqrt,81,29,14,True,0.060499594651363585
310,sqrt,129,35,5,True,0.06203470115268492
318,sqrt,64,13,11,True,0.04841998541106315
383,log2,39,13,15,False,0.04707930823064344
327,log2,273,21,16,True,0.05657964074622019
193,sqrt,175,32,17,False,0.05740646324042592
471,log2,98,48,19,True,0.06597826474311592
604,,121,45,4,False,0.06062956370561374
110,log2,139,38,19,True,0.06341596448044003
308,sqrt,81,25,4,True,0.059130782242320434
606,,162,12,4,True,0.04556655662305024
651,,117,23,12,False,0.054701735905796474
533,,65,2,20,False,0.05297908751470496
16,sqrt,111,25,17,True,0.061261076561855
6,,252,23,18,False,0.05470173590579621
357,sqrt,207,3,14,True,0.04422902667576753
282,log2,264,44,6,False,0.0605280422123762
142,,167,45,9,False,0.06062956370561337
379,log2,86,39,4,True,0.06341049853378894
746,,257,7,14,True,0.04267432506941051
331,sqrt,61,16,7,False,0.04808313591423221
728,,84,45,12,False,0.06062956370561395
11,,37,30,16,True,0.058747591458168935
173,log2,43,42,18,False,0.060650167985353415
108,,145,19,15,False,0.056298723794325045
314,sqrt,167,24,12,True,0.058634232373811525
363,,163,39,6,False,0.0632271811235728
168,,208,48,18,False,0.06405765657656669
393,log2,68,21,20,True,0.05663327452437325
451,,63,23,18,True,0.05486168449590067
760,sqrt,184,9,19,False,0.043667627241282626
294,,121,43,4,False,0.059603722415365955
158,log2,49,46,13,False,0.061625627422335405
282,sqrt,159,12,15,True,0.04785901411745761
676,,113,30,19,False,0.056660269509790605
768,,116,6,11,True,0.04184302920476995
722,log2,48,41,17,True,0.06396557618147898
117,log2,41,14,16,True,0.048783658972015344
735,sqrt,264,11,18,True,0.04776783952392117
443,,168,3,8,True,0.04178913131246614
8,log2,184,42,5,False,0.06408190143876788
779,log2,155,20,3,True,0.05563676745576387
473,log2,85,16,12,True,0.05023744008188347
787,log2,164,29,2,True,0.0602852937026798
49,sqrt,8,39,5,True,0.06356581786170148
361,sqrt,222,23,2,True,0.05815590511145346
571,log2,222,12,14,False,0.04656774008042621
106,log2,285,6,16,True,0.044557691847806384
188,,271,14,6,False,0.056510387535587146
797,sqrt,135,48,17,True,0.06595933143963739
499,,99,25,13,False,0.057970975681225494
135,sqrt,280,7,8,True,0.04535337758315669
244,log2,27,41,10,True,0.06393440606833777
195,log2,251,38,3,True,0.06314509594189259
455,,47,24,20,True,0.055522791841182466
473,sqrt,19,35,15,True,0.062021102120785404
729,sqrt,247,15,8,True,0.04958527024613484
215,log2,9,14,13,True,0.05028163862787616
254,,154,38,20,False,0.06362735413392166
325,,53,49,3,False,0.06492399982868187
532,,186,28,8,False,0.057468007409501067
213,log2,84,49,15,False,0.06165899674177016
263,,183,38,20,False,0.06362735413392165
