N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
4,distance,kd_tree,10,2.5,cityblock,0.1600602091766657
4,uniform,ball_tree,50,2.5,l1,0.1624972590823765
7,uniform,ball_tree,30,2.5,cityblock,0.1544052605246419
4,distance,brute,80,2.0,l1,0.1600602091766657
1,distance,ball_tree,100,1.0,l1,0.2265646964162547
1,distance,kd_tree,70,4.0,cityblock,0.2265646964162547
3,uniform,kd_tree,50,3.0,l2,0.1666090877825101
8,distance,kd_tree,20,2.5,l2,0.1531672513237807
1,distance,kd_tree,10,2.5,l2,0.2126304548773145
5,uniform,kd_tree,20,4.0,l1,0.1594751292464481
8,uniform,brute,30,4.0,manhattan,0.1554761986165119
2,uniform,kd_tree,60,4.5,cityblock,0.174843931488546
2,distance,kd_tree,50,2.5,manhattan,0.1740570727627656
8,distance,brute,20,4.0,manhattan,0.1526608197858037
1,uniform,ball_tree,30,2.5,cityblock,0.2265646964162547
4,uniform,brute,80,1.5,manhattan,0.1624972590823765
9,uniform,brute,30,3.0,cityblock,0.1552892978224852
5,uniform,kd_tree,30,4.5,cityblock,0.1594751292464481
7,uniform,kd_tree,20,1.5,l2,0.1537103968088649
5,uniform,kd_tree,60,1.0,manhattan,0.1594751292464481
6,uniform,ball_tree,40,1.0,l1,0.1562986787332894
4,distance,brute,10,3.5,l1,0.1600602091766657
5,uniform,brute,50,1.5,manhattan,0.1594751292464481
6,distance,kd_tree,30,1.0,cityblock,0.1539940428580032
8,distance,brute,100,4.0,manhattan,0.1526608197858037
4,distance,ball_tree,70,1.0,cityblock,0.1600602091766657
6,distance,kd_tree,20,1.0,l1,0.1539940428580032
6,distance,kd_tree,40,3.0,l2,0.1508502879428336
8,uniform,ball_tree,40,1.0,l1,0.1554761986165119
1,uniform,kd_tree,70,4.0,manhattan,0.2265646964162547
5,uniform,brute,50,3.0,l1,0.1594751292464481
6,distance,kd_tree,60,2.5,l2,0.1508502879428336
4,distance,brute,80,1.5,manhattan,0.1600602091766657
4,uniform,brute,30,3.0,l1,0.1624972590823765
10,uniform,ball_tree,30,1.0,manhattan,0.1560434791358198
8,distance,kd_tree,30,2.0,l1,0.1526608197858037
4,uniform,kd_tree,40,1.5,manhattan,0.1624972590823765
5,uniform,kd_tree,80,2.0,euclidean,0.1584453172200152
8,distance,brute,10,1.5,manhattan,0.1526608197858037
4,distance,ball_tree,20,1.5,l1,0.1600602091766657
4,distance,brute,100,1.0,l1,0.1600602091766657
10,uniform,brute,20,2.0,l2,0.1555608428514248
1,uniform,kd_tree,100,3.5,cityblock,0.2265646964162547
3,distance,ball_tree,70,2.5,cityblock,0.1659805629366767
4,distance,ball_tree,30,2.0,l2,0.1582304352279877
