Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
1,3800,0.1,False,False,False,random,2.5072235965934193
71,300,9.999999999999999e-05,True,False,True,random,6.987226497230058
31,800,9.999999999999999e-06,True,True,True,random,6.987226497230058
46,3800,9.999999999999999e-05,True,True,False,cyclic,6.987226497230058
91,1800,1e-07,False,False,True,cyclic,1.0
46,3300,0.1,False,True,False,random,1.0
96,3800,9.999999999999999e-06,False,True,False,random,1.0
61,3300,1e-07,False,True,True,random,1.0
16,3800,1e-06,False,True,True,random,1.0
81,2300,9.999999999999999e-06,False,False,False,cyclic,1.0
31,1300,9.999999999999999e-06,False,False,True,random,1.0
61,1300,0.1,False,False,False,random,1.0
6,4300,1e-07,False,False,False,random,1.0
91,3800,9.999999999999999e-05,False,True,True,random,1.0
46,4800,0.01,False,True,False,random,1.0
26,300,0.1,True,True,False,random,6.987226497230058
11,4800,0.1,True,False,False,cyclic,6.987226497230058
61,1800,9.999999999999999e-06,True,True,True,cyclic,6.987226497230058
56,2300,0.01,False,False,False,random,1.0
81,4800,0.001,False,True,False,random,1.0
91,300,1e-08,True,False,True,random,6.987226497230058
86,3800,1e-06,True,True,True,cyclic,6.987226497230058
96,2300,9.999999999999999e-06,True,False,True,cyclic,6.987226497230058
31,3800,1e-08,True,False,True,cyclic,6.987226497230058
6,300,1e-07,False,True,False,random,1.0
51,4800,0.01,False,True,True,random,1.0
1,1300,0.1,True,False,True,cyclic,6.987226497230058
16,300,9.999999999999999e-06,False,True,True,random,1.0
86,4300,1e-08,False,False,False,random,1.0
51,2300,1e-08,True,False,False,cyclic,6.987226497230058
41,1300,9.999999999999999e-06,False,True,False,cyclic,1.0
41,2800,9.999999999999999e-05,False,True,True,cyclic,1.0
6,2800,1e-06,True,False,True,random,6.987226497230058
51,800,1e-07,True,True,True,random,6.987226497230058
56,4800,9.999999999999999e-06,False,True,True,cyclic,1.0
71,4300,1e-07,False,True,False,cyclic,1.0
91,3300,1e-07,False,False,False,cyclic,1.0
6,800,1e-07,True,True,True,random,6.987226497230058
66,3800,1e-07,False,False,False,cyclic,1.0
91,3800,1e-07,True,False,False,cyclic,6.987226497230058
51,1300,1e-08,False,False,False,cyclic,1.0
66,800,0.1,True,True,True,cyclic,6.987226497230058
31,1300,0.1,True,True,False,random,6.987226497230058
21,300,0.001,False,True,True,random,1.0
96,4800,1e-08,True,True,False,random,6.987226497230058
76,2300,0.1,False,False,True,random,1.0
61,2300,0.001,True,True,False,random,6.987226497230058
6,2800,1e-07,True,False,True,random,6.987226497230058
91,4800,1e-06,False,True,True,cyclic,1.0
81,1300,9.999999999999999e-06,True,False,False,cyclic,6.987226497230058
61,1800,0.01,False,True,True,random,1.0
61,1800,0.01,False,False,False,random,1.0
41,2300,0.1,False,True,False,cyclic,1.0
61,3800,0.1,False,False,False,random,1.0
96,1800,9.999999999999999e-06,False,True,False,cyclic,1.0
11,800,9.999999999999999e-05,True,False,False,random,6.987226497230058
6,1800,0.1,False,False,True,random,1.0
31,2800,0.001,False,True,False,cyclic,1.0
26,4800,1e-06,False,False,False,random,1.0
6,300,1e-07,False,False,False,cyclic,1.0
36,4800,0.1,False,False,True,cyclic,1.0
