Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
4.5,0.29,True,3834,cyclic,True,8.967902076370876e-07,0.2253372680992838
2.6,0.66,False,1385,cyclic,False,7.752817980294761e-08,0.4782322747279697
6.5,0.27,True,2398,random,True,5.814145474189124e-07,0.2253372680992838
2.1,0.91,True,4397,cyclic,True,2.9773091541056e-07,0.2253372680992838
3.7,0.74,True,2856,cyclic,False,2.284713996517987e-07,0.2253372680992838
3.0,0.23,False,938,random,False,7.164656000048212e-07,0.4782322747279697
0.4,0.5,False,3794,random,False,5.8693121957364776e-08,0.3837042533675718
6.2,0.14,False,921,random,False,8.163094617853095e-07,0.4782322747279697
4.2,0.2,False,2604,cyclic,True,8.415538458477871e-07,0.4782322747279697
5.300000000000001,0.47,False,3250,cyclic,True,2.6240846853969904e-07,0.4782322747279697
2.4000000000000004,0.97,False,4605,cyclic,False,5.614233616135722e-07,0.4782322747279697
8.9,0.74,True,1841,cyclic,True,9.957741843872652e-07,0.2253372680992838
3.6,0.52,False,1270,random,True,6.775962905848274e-07,0.4782322747279697
7.5,0.22,True,2185,cyclic,False,8.499608437465201e-07,0.2253372680992838
7.1000000000000005,0.55,True,1391,random,False,9.03245774236368e-07,0.2253372680992838
7.2,0.5,False,631,cyclic,True,9.35602930996074e-07,0.4782322747279697
1.5,0.13,False,612,random,True,2.0057423273340385e-07,0.412563866717539
2.1,0.64,False,3089,random,True,2.3376792739762533e-07,0.4782322747279697
3.9,0.35,False,1237,cyclic,False,6.980441495023893e-07,0.4782322747279697
6.6000000000000005,0.11,False,3185,cyclic,False,5.367824859103418e-07,0.4782322747279697
6.300000000000001,0.32,False,3235,cyclic,True,8.132666490816745e-07,0.4782322747279697
6.0,0.06,True,1532,random,True,7.505420515505443e-07,0.2253372680992838
2.0,0.02,True,2289,cyclic,True,2.0652520741199425e-07,0.2249598912122258
8.6,0.56,False,2440,random,False,5.433523939438514e-07,0.4782322747279697
2.2,0.08,False,1704,cyclic,True,4.516148660278757e-07,0.4087898565701549
6.9,0.32,False,4165,cyclic,False,7.681480732562401e-07,0.4782322747279697
5.9,0.8200000000000001,False,4735,cyclic,False,1.141342398297565e-07,0.4782322747279697
1.0,0.77,True,925,cyclic,True,7.527226336236079e-07,0.2253372680992838
3.4000000000000004,0.23,True,751,cyclic,True,2.8264234327892946e-07,0.2253372680992838
