Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
26,4100,1e-06,False,True,True,cyclic,0.4782322747279697
56,7600,1e-08,False,False,True,random,0.4782322747279697
26,2100,0.01,False,True,False,random,0.4782322747279697
71,6600,0.1,True,False,True,cyclic,0.22533726809928387
11,2100,1e-06,True,True,True,random,0.22533726809928387
31,7100,0.001,False,True,False,random,0.4782322747279697
51,9100,9.999999999999999e-06,True,True,False,random,0.22533726809928387
36,8600,1e-06,False,True,False,cyclic,0.4782322747279697
1,3600,0.01,True,False,True,random,0.22533726809928387
86,8100,9.999999999999999e-05,True,True,False,random,0.22533726809928387
51,2100,0.001,True,False,True,random,0.22533726809928387
1,9100,1e-06,True,False,False,random,0.22533726809928387
11,8600,1e-08,True,False,False,cyclic,0.22533726809928387
31,7100,1e-07,False,False,True,cyclic,0.4782322747279697
51,8600,1e-08,True,False,True,random,0.22533726809928387
46,5100,1e-07,True,True,False,random,0.22533726809928387
51,2600,1e-06,True,False,True,random,0.22533726809928387
66,3600,0.001,False,True,True,random,0.4782322747279697
81,2100,1e-06,True,False,False,random,0.22533726809928387
11,1600,0.01,False,False,True,cyclic,0.4782322747279697
81,1100,0.01,False,True,False,random,0.4782322747279697
31,600,9.999999999999999e-06,True,False,True,cyclic,0.22533726809928387
96,9100,0.01,True,False,True,random,0.22533726809928387
11,3600,9.999999999999999e-05,True,False,True,cyclic,0.22533726809928387
41,9100,1e-06,False,False,True,random,0.4782322747279697
36,3600,1e-06,False,True,True,random,0.4782322747279697
66,8100,9.999999999999999e-06,False,False,False,random,0.4782322747279697
31,1100,0.1,True,True,True,cyclic,0.22533726809928387
76,1600,0.001,False,False,True,random,0.4782322747279697
51,600,9.999999999999999e-06,False,True,True,cyclic,0.4782322747279697
91,600,0.001,True,False,True,cyclic,0.22533726809928387
41,5100,9.999999999999999e-06,False,True,False,cyclic,0.4782322747279697
1,5100,0.1,False,True,False,random,0.4782322747279697
86,8600,0.1,True,True,True,cyclic,0.22533726809928387
66,1600,1e-08,True,True,False,random,0.22533726809928387
61,7600,1e-08,False,True,False,random,0.4782322747279697
11,9600,0.1,True,False,True,random,0.22533726809928387
31,8600,1e-07,False,True,False,cyclic,0.4782322747279697
66,600,1e-08,False,True,True,cyclic,0.4782322747279697
51,7100,0.001,False,True,True,cyclic,0.4782322747279697
1,9100,9.999999999999999e-05,True,True,True,cyclic,0.22533726809928387
71,9100,9.999999999999999e-06,True,False,True,random,0.22533726809928387
26,7600,0.001,True,False,True,random,0.22533726809928387
56,9600,1e-07,True,True,True,random,0.22533726809928387
86,2600,1e-07,True,False,False,cyclic,0.22533726809928387
71,8600,1e-07,True,False,True,random,0.22533726809928387
26,3100,1e-08,True,True,True,random,0.22533726809928387
51,1100,9.999999999999999e-06,True,True,True,cyclic,0.22533726809928387
61,3600,1e-06,False,True,True,random,0.4782322747279697
86,100,0.01,False,True,False,cyclic,0.4782322747279697
51,1100,1e-07,False,True,True,random,0.4782322747279697
91,2100,1e-06,True,True,False,cyclic,0.22533726809928387
51,7600,1e-07,True,False,False,cyclic,0.22533726809928387
91,2600,9.999999999999999e-05,False,False,False,random,0.4782322747279697
66,8100,1e-07,True,False,True,random,0.22533726809928387
56,8600,9.999999999999999e-06,True,True,False,random,0.22533726809928387
81,7100,0.1,True,False,False,cyclic,0.22533726809928387
36,3100,9.999999999999999e-05,True,False,True,cyclic,0.22533726809928387
96,8100,1e-08,False,True,False,random,0.4782322747279697
21,8600,0.01,False,True,True,random,0.4782322747279697
56,1600,0.1,False,False,False,random,0.4782322747279697
61,7100,1e-08,False,False,False,cyclic,0.4782322747279697
86,2600,1e-06,True,True,False,random,0.22533726809928387
36,8600,0.01,True,False,True,cyclic,0.22533726809928387
66,4600,9.999999999999999e-06,True,True,True,cyclic,0.22533726809928387
86,600,0.1,False,True,False,cyclic,0.4782322747279697
51,7100,9.999999999999999e-05,False,False,True,random,0.4782322747279697
36,1600,1e-07,True,True,True,random,0.22533726809928387
46,4100,1e-06,True,True,True,random,0.22533726809928387
46,9100,0.01,True,True,True,random,0.22533726809928387
51,6600,0.1,False,True,False,random,0.4782322747279697
76,2600,9.999999999999999e-06,True,False,True,random,0.22533726809928387
66,9100,1e-07,True,True,True,cyclic,0.22533726809928387
16,1100,0.01,True,False,False,random,0.22533726809928387
76,8100,1e-07,True,True,True,cyclic,0.22533726809928387
61,1600,9.999999999999999e-05,False,True,False,cyclic,0.4782322747279697
91,9600,1e-07,False,False,True,cyclic,0.4782322747279697
6,3600,0.1,True,False,False,cyclic,0.22533726809928387
46,100,1e-06,False,False,True,cyclic,0.4782322747279697
36,3600,0.01,False,False,True,random,0.4782322747279697
46,600,0.001,False,False,False,random,0.4782322747279697
31,9100,9.999999999999999e-05,True,False,False,random,0.22533726809928387
41,600,0.001,False,False,False,random,0.4782322747279697
81,5600,0.001,False,False,False,random,0.4782322747279697
91,9100,0.01,False,False,False,random,0.4782322747279697
81,5100,1e-07,False,True,False,random,0.4782322747279697
1,9600,1e-06,True,False,False,cyclic,0.22533726809928387
76,7600,0.1,True,True,False,random,0.22533726809928387
46,2600,9.999999999999999e-06,False,False,True,random,0.4782322747279697
41,8100,9.999999999999999e-05,True,True,False,cyclic,0.22533726809928387
21,6100,0.01,False,False,False,random,0.4782322747279697
6,9100,0.1,False,True,False,random,0.4782322747279697
6,7600,0.1,True,True,True,cyclic,0.22533726809928387
91,5600,0.1,False,False,True,random,0.4782322747279697
66,4600,0.1,False,True,True,random,0.4782322747279697
61,7600,0.01,False,True,False,random,0.4782322747279697
71,9100,1e-07,True,True,False,random,0.22533726809928387
66,3100,0.1,True,True,False,cyclic,0.22533726809928387
91,5600,1e-08,False,True,True,cyclic,0.4782322747279697
36,7600,9.999999999999999e-05,True,True,True,cyclic,0.22533726809928387
41,9100,1e-06,True,False,True,random,0.22533726809928387
56,2600,0.1,True,True,False,random,0.22533726809928387
1,3600,0.001,True,True,True,cyclic,0.22533726809928387
51,9100,1e-08,False,False,True,random,0.4782322747279697
76,600,0.1,False,True,True,cyclic,0.4782322747279697
61,5600,9.999999999999999e-06,False,True,True,random,0.4782322747279697
6,5100,0.1,False,False,True,random,0.4782322747279697
46,4100,1e-07,False,False,True,random,0.4782322747279697
1,3100,1e-06,True,False,True,cyclic,0.22533726809928387
56,7100,9.999999999999999e-06,True,False,True,random,0.22533726809928387
66,8600,1e-06,False,True,False,cyclic,0.4782322747279697
6,2100,0.001,False,False,False,cyclic,0.4782322747279697
36,1600,1e-07,False,False,True,random,0.4782322747279697
1,4600,0.1,False,False,True,random,0.4782322747279697
61,9100,1e-06,True,False,True,cyclic,0.22533726809928387
26,1100,0.01,False,True,True,random,0.4782322747279697
