N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
135,,252.0,33,14,True,0.1789725003583636
375,sqrt,142.0,48,20,False,0.1805251084397735
608,log2,294.0,47,7,True,0.1878625498116698
500,sqrt,43.0,6,9,True,0.1602160442970507
765,log2,52.0,21,2,False,0.1678495365194728
206,,29.0,41,16,False,0.1861369559305594
226,sqrt,9.0,13,7,True,0.167521850881497
619,,168.0,1,20,True,0.1601782772043514
789,,218.0,34,11,False,0.1798867077451111
552,sqrt,229.0,10,15,True,0.1647235198133194
266,,246.0,4,3,True,0.1536968068312398
281,,108.0,8,4,False,0.1860132505659006
773,sqrt,141.0,45,14,False,0.1794353487145349
730,sqrt,103.0,5,15,True,0.1609713438089163
341,sqrt,137.0,16,20,True,0.1698542920609666
354,,162.0,10,20,True,0.1608611044629332
320,sqrt,290.0,32,16,True,0.1803826713705264
258,log2,248.0,45,2,True,0.1878539122953392
268,,249.0,49,7,False,0.1878008603761625
288,log2,264.0,18,2,True,0.1716220130378258
497,log2,143.0,46,15,True,0.1879419117624615
555,,72.0,23,19,True,0.1722549476738136
551,,170.0,23,17,True,0.1722856409805779
796,sqrt,249.0,31,9,False,0.1736331030590493
105,log2,218.0,29,15,False,0.1731946701239382
152,sqrt,209.0,21,10,True,0.1745147260700903
673,sqrt,84.0,41,4,True,0.1854581143427176
459,sqrt,278.0,45,10,False,0.1794139990653369
311,log2,105.0,3,6,True,0.156747890973034
162,sqrt,253.0,31,20,False,0.173992752120256
212,,68.0,1,18,False,0.1854773842589601
76,,63.0,48,10,True,0.1857357145532182
81,,39.0,25,19,True,0.1736060910695769
471,,82.0,13,5,False,0.1759541479354585
640,sqrt,241.0,7,14,False,0.1573685946159397
103,sqrt,245.0,47,17,False,0.1798198423811654
672,log2,173.0,15,13,True,0.1690125848744581
669,log2,171.0,27,17,True,0.1775574182168409
638,log2,106.0,31,2,False,0.173590916433842
718,sqrt,28.0,25,16,False,0.1702572902944
692,,134.0,1,4,False,0.1990200919867295
71,log2,238.0,31,16,False,0.173658770656337
328,,189.0,30,14,True,0.1772725004852896
33,log2,42.0,42,2,False,0.179125768643734
616,,88.0,47,7,False,0.1882988673749306
725,,286.0,40,14,False,0.1832803322706196
643,sqrt,211.0,27,11,True,0.1774635832252833
662,,101.0,17,13,False,0.1727214700766868
369,log2,75.0,23,2,True,0.1754156672252065
213,log2,226.0,9,8,False,0.159088840964357
549,log2,105.0,6,19,False,0.1592090774771269
200,log2,30.0,9,4,False,0.1591486447779453
735,log2,289.0,49,17,False,0.1811044064692224
367,log2,206.0,48,11,True,0.1886405913989327
67,log2,231.0,50,9,True,0.1891920690337193
267,sqrt,205.0,3,2,False,0.1529843494832151
433,,120.0,33,13,True,0.1791029990178815
707,sqrt,59.0,30,8,False,0.1732837243082062
351,sqrt,168.0,13,16,False,0.1631297679955059
273,,261.0,4,18,False,0.1790252436075202
586,log2,269.0,30,20,False,0.1732402236257778
29,,294.0,24,18,True,0.1734890228778936
779,log2,18.0,24,18,False,0.1698505973601821
286,sqrt,44.0,4,18,False,0.1574056442399223
791,,280.0,1,2,False,0.1964383814033659
33,sqrt,141.0,47,17,False,0.1795971175719033
690,sqrt,177.0,50,20,True,0.1888737608951576
149,sqrt,128.0,37,2,True,0.1834175618856819
89,,255.0,7,4,True,0.1582458617543169
209,sqrt,12.0,46,3,False,0.1791431650497023
766,,291.0,13,9,False,0.175954147935459
424,,59.0,3,9,True,0.154124619564342
641,log2,107.0,12,11,False,0.1626892848426223
386,log2,177.0,46,12,False,0.1794701306439813
443,,54.0,23,10,False,0.1758959549943699
633,,266.0,40,19,False,0.1832803322706195
102,log2,228.0,49,4,False,0.1807114894302719
722,,187.0,13,10,True,0.1640496613874268
692,,4.0,35,13,False,0.179886707745111
48,,146.0,2,5,True,0.1526256584764158
789,log2,61.0,1,11,True,0.158565348871752
665,,122.0,13,20,False,0.1759541479354588
617,sqrt,208.0,27,7,False,0.1714685723852419
17,,288.0,35,18,False,0.1798867077451107
745,,34.0,43,12,False,0.185909233476965
33,log2,194.0,34,3,False,0.1768123559422502
203,log2,294.0,42,18,True,0.1858547434488167
34,sqrt,44.0,47,11,True,0.1900714368761013
321,log2,17.0,37,20,False,0.1758910706530407
255,sqrt,71.0,16,12,False,0.1647559285995153
346,log2,254.0,27,14,True,0.1776000486002399
534,,6.0,35,8,True,0.1800527703181281
474,,74.0,37,9,False,0.1789822868489484
361,log2,231.0,29,17,True,0.1790441403220217
60,sqrt,175.0,22,16,False,0.1684485806566102
140,,137.0,42,18,True,0.183630511075594
451,,201.0,36,14,False,0.1810598233421109
790,,281.0,11,18,False,0.1794426784731545
7,log2,117.0,25,19,False,0.1714806370861545
228,sqrt,13.0,40,9,True,0.1851114927541679
270,log2,274.0,36,18,False,0.1756590355312029
599,sqrt,109.0,10,13,False,0.1608753371466482
21,sqrt,199.0,44,16,True,0.1901025492000698
576,,240.0,19,7,False,0.1753130093689321
623,log2,75.0,28,8,True,0.1779768790702555
552,log2,85.0,22,19,False,0.1684693211299701
335,,14.0,23,9,False,0.17589595499437
397,sqrt,142.0,12,20,True,0.1662877788907132
63,log2,88.0,24,16,True,0.1757411320748957
402,sqrt,190.0,24,10,True,0.1758545587309888
22,log2,88.0,47,10,True,0.1913585991756668
467,sqrt,236.0,43,11,True,0.186757071271803
420,sqrt,188.0,18,15,False,0.1660203545162317
470,sqrt,204.0,37,6,False,0.1758085152964532
782,log2,181.0,28,13,True,0.1782034702497001
503,log2,70.0,8,16,True,0.1631288337827804
450,sqrt,182.0,43,19,False,0.1779855884941318
638,,113.0,48,10,False,0.1882462635970075
798,log2,287.0,48,5,True,0.1882802585815228
169,log2,49.0,38,13,False,0.1765271993856653
33,log2,245.0,19,8,True,0.1722431815888572
560,,96.0,25,10,True,0.1739442814890247
408,log2,195.0,33,7,True,0.1810080160004026
556,,225.0,18,14,True,0.1682354323348212
454,log2,243.0,39,16,True,0.1843772544640662
620,log2,2.0,4,11,True,0.1909146258543061
66,,222.0,48,6,False,0.1882462635970074
5,sqrt,229.0,2,20,False,0.1653786780379484
682,,154.0,1,9,True,0.1543147017316598
759,log2,21.0,38,7,False,0.1763095199402786
485,sqrt,120.0,21,12,False,0.1677954498377364
231,,216.0,43,18,True,0.1839966140808562
525,log2,163.0,35,13,True,0.1820143460874533
192,,92.0,50,12,True,0.1859788869184105
270,,232.0,20,18,True,0.1693596818378745
384,log2,126.0,31,14,False,0.1735497256298374
16,log2,181.0,13,9,True,0.1723787219472745
233,sqrt,24.0,13,2,False,0.1627606002265659
243,,243.0,7,12,True,0.1574216223856535
403,sqrt,280.0,25,16,True,0.1764489968934554
170,log2,27.0,45,15,False,0.179307844201698
38,log2,233.0,20,11,False,0.1692193108516051
606,,49.0,20,14,True,0.1698532751118952
591,,132.0,16,7,True,0.1665333965755144
348,,43.0,21,11,True,0.1704348259245348
57,log2,194.0,6,11,True,0.1604751174476983
658,sqrt,67.0,22,7,False,0.1683593366513859
778,sqrt,238.0,21,5,True,0.1738461605066389
636,log2,1.0,20,9,True,0.2059232446084923
585,,128.0,32,19,False,0.1792679799319768
255,,36.0,25,10,False,0.1781301751965195
232,,130.0,25,2,False,0.1781301751965195
465,sqrt,92.0,1,5,False,0.1522226180890317
273,sqrt,132.0,21,4,True,0.1746511107044192
798,,38.0,3,16,True,0.1582239943988323
378,,174.0,45,13,False,0.1883971381274035
487,,114.0,23,9,False,0.1758959549943699
128,,178.0,11,14,True,0.1609677796134494
426,,24.0,20,4,False,0.1745406259443053
571,,145.0,17,20,True,0.1673417806032286
72,,78.0,42,3,False,0.1859658899416423
137,,83.0,13,20,False,0.1759541479354586
211,log2,52.0,6,5,True,0.160504178915964
259,sqrt,279.0,6,16,True,0.162606487400176
260,log2,243.0,48,20,False,0.1805969524453171
528,log2,139.0,2,10,False,0.1545492183036873
15,,85.0,36,6,True,0.1817376643123801
165,log2,154.0,9,19,True,0.1648047342003391
79,,272.0,3,6,True,0.1523411964592057
292,sqrt,198.0,50,17,False,0.1813416368835253
151,log2,100.0,47,6,False,0.1798185125292958
529,,203.0,21,5,True,0.1706802114677722
346,log2,163.0,3,7,False,0.1536471746590226
237,log2,292.0,6,11,True,0.1604609369540074
346,,143.0,6,12,False,0.1863923967998447
407,,60.0,26,8,True,0.1747339785622083
73,,130.0,19,6,False,0.1753130093689317
706,sqrt,257.0,40,3,True,0.1848534485317353
611,,158.0,6,6,True,0.1567822933112627
485,,90.0,5,12,True,0.1565572603383281
99,log2,32.0,8,18,False,0.1594675966758393
735,sqrt,82.0,32,10,True,0.1803180653906947
577,sqrt,161.0,19,20,False,0.1669843048690831
725,log2,144.0,16,20,True,0.1697022815869858
328,log2,283.0,19,6,False,0.1669223747594808
140,,214.0,18,9,True,0.1680945660872906
112,log2,75.0,16,7,False,0.1641967874736522
136,sqrt,78.0,19,16,False,0.1671759434481111
175,log2,85.0,18,5,True,0.1712436900303414
477,log2,162.0,48,8,False,0.1808622251897282
69,log2,142.0,16,13,True,0.1696581172622515
787,sqrt,77.0,14,8,True,0.1685101458314309
234,sqrt,92.0,8,11,False,0.1585489004614804
316,,291.0,15,2,False,0.1789161031256149
571,sqrt,29.0,24,15,False,0.1698883949881505
349,,280.0,50,2,False,0.1869241465360712
432,log2,261.0,13,6,False,0.1632149688184055
757,sqrt,270.0,25,14,False,0.1703022916874199
557,,183.0,49,9,False,0.1878008603761626
719,sqrt,87.0,22,4,False,0.1683597092611876
516,log2,82.0,28,18,True,0.1779821974111422
259,log2,62.0,23,14,True,0.1758007249650741
551,,66.0,27,20,True,0.1755148397288938
492,,154.0,44,17,False,0.1876381333481823
122,,143.0,21,18,False,0.1751856938451506
453,sqrt,294.0,9,5,False,0.1591537199607578
522,,234.0,17,8,True,0.1674043904729592
35,sqrt,207.0,23,17,True,0.1765417311573859
661,sqrt,193.0,1,15,False,0.156650262961625
583,sqrt,17.0,26,20,False,0.1708446735871386
72,sqrt,237.0,21,15,True,0.1733406929155988
547,log2,145.0,34,19,False,0.1748127081652731
240,log2,158.0,36,15,False,0.1754578796555573
391,,194.0,28,12,True,0.1762042940898989
791,log2,285.0,27,12,False,0.1713457470858177
550,,252.0,15,6,False,0.1789161031256146
336,log2,114.0,14,10,False,0.1631802687876013
107,sqrt,244.0,34,18,False,0.1750902584043856
22,sqrt,87.0,42,3,False,0.1797991969006351
140,log2,269.0,12,4,False,0.1622343964492117
199,,270.0,29,14,True,0.1767753291792393
106,sqrt,300.0,39,14,True,0.1839443775974447
70,,130.0,37,18,True,0.1817205757097973
38,log2,100.0,29,2,True,0.1779021907686696
750,sqrt,135.0,34,13,False,0.1750001058199756
658,log2,183.0,18,12,True,0.1712474186868916
