N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
135,,252,33,14,True,0.17897250035836362
375,sqrt,142,48,20,False,0.1805251084397735
608,log2,294,47,7,True,0.1878625498116698
500,sqrt,43,6,9,True,0.16021604429705072
765,log2,52,21,2,False,0.16784953651947285
206,,29,41,16,False,0.18613695593055948
226,sqrt,9,13,7,True,0.167521850881497
619,,168,1,20,True,0.16017827720435143
789,,218,34,11,False,0.1798867077451111
552,sqrt,229,10,15,True,0.16472351981331942
266,,246,4,3,True,0.1536968068312398
281,,108,8,4,False,0.18601325056590068
773,sqrt,141,45,14,False,0.1794353487145349
730,sqrt,103,5,15,True,0.16097134380891634
341,sqrt,137,16,20,True,0.16985429206096667
354,,162,10,20,True,0.16086110446293325
320,sqrt,290,32,16,True,0.1803826713705264
258,log2,248,45,2,True,0.18785391229533924
268,,249,49,7,False,0.1878008603761625
288,log2,264,18,2,True,0.1716220130378258
497,log2,143,46,15,True,0.18794191176246158
555,,72,23,19,True,0.17225494767381366
551,,170,23,17,True,0.17228564098057797
796,sqrt,249,31,9,False,0.1736331030590493
105,log2,218,29,15,False,0.17319467012393822
152,sqrt,209,21,10,True,0.17451472607009036
673,sqrt,84,41,4,True,0.18545811434271764
459,sqrt,278,45,10,False,0.17941399906533695
311,log2,105,3,6,True,0.156747890973034
162,sqrt,253,31,20,False,0.173992752120256
212,,68,1,18,False,0.18547738425896018
76,,63,48,10,True,0.18573571455321825
81,,39,25,19,True,0.17360609106957692
471,,82,13,5,False,0.17595414793545858
640,sqrt,241,7,14,False,0.1573685946159397
103,sqrt,245,47,17,False,0.17981984238116544
672,log2,173,15,13,True,0.1690125848744581
669,log2,171,27,17,True,0.17755741821684093
638,log2,106,31,2,False,0.17359091643384209
718,sqrt,28,25,16,False,0.17025729029440004
692,,134,1,4,False,0.19902009198672954
71,log2,238,31,16,False,0.17365877065633706
328,,189,30,14,True,0.1772725004852896
33,log2,42,42,2,False,0.179125768643734
616,,88,47,7,False,0.1882988673749306
725,,286,40,14,False,0.18328033227061968
643,sqrt,211,27,11,True,0.17746358322528336
662,,101,17,13,False,0.1727214700766868
369,log2,75,23,2,True,0.17541566722520652
213,log2,226,9,8,False,0.15908884096435705
549,log2,105,6,19,False,0.15920907747712698
200,log2,30,9,4,False,0.1591486447779453
735,log2,289,49,17,False,0.18110440646922243
367,log2,206,48,11,True,0.18864059139893272
67,log2,231,50,9,True,0.18919206903371932
267,sqrt,205,3,2,False,0.15298434948321513
433,,120,33,13,True,0.17910299901788154
707,sqrt,59,30,8,False,0.17328372430820624
351,sqrt,168,13,16,False,0.16312976799550594
273,,261,4,18,False,0.17902524360752023
586,log2,269,30,20,False,0.17324022362577787
29,,294,24,18,True,0.17348902287789367
779,log2,18,24,18,False,0.16985059736018218
286,sqrt,44,4,18,False,0.15740564423992234
791,,280,1,2,False,0.1964383814033659
33,sqrt,141,47,17,False,0.17959711757190336
690,sqrt,177,50,20,True,0.18887376089515762
149,sqrt,128,37,2,True,0.1834175618856819
89,,255,7,4,True,0.1582458617543169
209,sqrt,12,46,3,False,0.17914316504970237
766,,291,13,9,False,0.17595414793545908
424,,59,3,9,True,0.15412461956434206
641,log2,107,12,11,False,0.16268928484262235
386,log2,177,46,12,False,0.1794701306439813
443,,54,23,10,False,0.17589595499436997
633,,266,40,19,False,0.18328033227061954
102,log2,228,49,4,False,0.18071148943027196
722,,187,13,10,True,0.16404966138742688
692,,4,35,13,False,0.17988670774511104
48,,146,2,5,True,0.15262565847641582
789,log2,61,1,11,True,0.15856534887175203
665,,122,13,20,False,0.1759541479354588
617,sqrt,208,27,7,False,0.1714685723852419
17,,288,35,18,False,0.17988670774511073
745,,34,43,12,False,0.18590923347696506
33,log2,194,34,3,False,0.17681235594225028
203,log2,294,42,18,True,0.18585474344881678
34,sqrt,44,47,11,True,0.19007143687610137
321,log2,17,37,20,False,0.17589107065304077
255,sqrt,71,16,12,False,0.16475592859951538
346,log2,254,27,14,True,0.1776000486002399
534,,6,35,8,True,0.18005277031812814
474,,74,37,9,False,0.17898228684894849
361,log2,231,29,17,True,0.17904414032202176
60,sqrt,175,22,16,False,0.1684485806566102
140,,137,42,18,True,0.18363051107559403
451,,201,36,14,False,0.18105982334211093
790,,281,11,18,False,0.17944267847315457
7,log2,117,25,19,False,0.1714806370861545
228,sqrt,13,40,9,True,0.1851114927541679
270,log2,274,36,18,False,0.1756590355312029
599,sqrt,109,10,13,False,0.16087533714664828
21,sqrt,199,44,16,True,0.19010254920006983
576,,240,19,7,False,0.17531300936893213
623,log2,75,28,8,True,0.17797687907025553
552,log2,85,22,19,False,0.16846932112997015
335,,14,23,9,False,0.17589595499437002
397,sqrt,142,12,20,True,0.16628777889071322
63,log2,88,24,16,True,0.1757411320748957
402,sqrt,190,24,10,True,0.17585455873098887
22,log2,88,47,10,True,0.1913585991756668
467,sqrt,236,43,11,True,0.18675707127180308
420,sqrt,188,18,15,False,0.16602035451623173
470,sqrt,204,37,6,False,0.17580851529645325
782,log2,181,28,13,True,0.1782034702497001
503,log2,70,8,16,True,0.16312883378278042
450,sqrt,182,43,19,False,0.17798558849413185
638,,113,48,10,False,0.1882462635970075
798,log2,287,48,5,True,0.18828025858152286
169,log2,49,38,13,False,0.17652719938566533
33,log2,245,19,8,True,0.1722431815888572
560,,96,25,10,True,0.17394428148902474
408,log2,195,33,7,True,0.1810080160004026
556,,225,18,14,True,0.1682354323348212
454,log2,243,39,16,True,0.18437725446406625
620,log2,2,4,11,True,0.1909146258543061
66,,222,48,6,False,0.18824626359700747
5,sqrt,229,2,20,False,0.1653786780379484
682,,154,1,9,True,0.15431470173165987
759,log2,21,38,7,False,0.17630951994027863
485,sqrt,120,21,12,False,0.16779544983773645
231,,216,43,18,True,0.1839966140808562
525,log2,163,35,13,True,0.1820143460874533
192,,92,50,12,True,0.18597888691841055
