n_estimators,max_features,max_depth,min_samples_leaf,min_samples_split,bootstrap,Error-
583,,233,42,17,False,0.1859658899416421
500,,288,27,3,True,0.17555431393275567
68,,1,37,8,False,0.20654441952271826
242,,109,19,11,True,0.16855610568583723
384,,207,48,9,True,0.18546899346757342
145,sqrt,77,9,2,False,0.1592342301043088
691,,35,37,17,True,0.18105352595523236
797,sqrt,60,35,10,False,0.17541311543734225
16,log2,55,18,4,True,0.1706763053605204
301,log2,5,14,5,False,0.16540333050665645
581,log2,2,13,6,True,0.19076298297043767
534,log2,202,20,12,True,0.17340026657097543
239,,148,8,7,True,0.15873246893367746
210,sqrt,221,11,12,False,0.16087133950744323
33,log2,282,16,10,False,0.16678427722441702
11,,42,46,20,False,0.18829886737493073
595,sqrt,56,46,18,True,0.18758971632724433
787,log2,102,20,17,True,0.17318207203638245
13,,4,18,5,True,0.17030348056648134
310,,216,28,10,True,0.1760617472314373
721,log2,245,13,11,False,0.16326745837742204
725,log2,238,34,12,True,0.1814097000378114
260,,295,12,13,False,0.17857637832050868
210,log2,274,24,7,True,0.17622177135336922
345,sqrt,200,19,16,False,0.16695625023653482
774,log2,1,43,10,False,0.20532807424407817
716,sqrt,148,27,7,True,0.17757460664802224
325,log2,,38,15,True,0.1837462640526587
539,sqrt,94,37,19,False,0.1757630497766355
724,log2,285,20,18,True,0.17317306265764013
269,sqrt,1,50,5,True,0.20574782629856092
323,log2,199,17,13,True,0.17097462995903326
701,sqrt,258,36,14,False,0.17542838984385756
17,,86,23,17,False,0.17589595499437008
477,log2,254,25,17,True,0.17647787845080556
87,,114,12,9,False,0.17857637832050885
481,sqrt,200,20,10,False,0.16722803316899415
301,,283,32,5,False,0.17926797993197666
220,,174,8,20,True,0.1603664990141186
289,,285,16,14,False,0.17424694912043326
515,,154,13,16,True,0.16386856221792936
286,,153,48,9,False,0.18824626359700727
744,sqrt,121,17,19,True,0.1706621133886872
739,,167,14,14,True,0.164798953654865
312,sqrt,63,13,6,True,0.1675835106856248
171,sqrt,120,5,10,False,0.15470701066403325
772,log2,122,30,9,True,0.17949372559787555
597,log2,130,23,9,False,0.16906757754769738
621,sqrt,64,45,13,False,0.1794168650092506
713,sqrt,75,26,8,False,0.1707744160862935
229,,270,4,19,True,0.15959398862614826
670,,14,17,16,False,0.17272147007668678
559,sqrt,268,13,7,False,0.16329529149959968
523,sqrt,14,50,13,False,0.18125311539134778
711,log2,82,22,13,False,0.16835639227129903
658,sqrt,280,41,4,True,0.18549059037621116
589,sqrt,92,27,12,True,0.1773977401987267
147,log2,289,5,2,True,0.1596583873536173
532,sqrt,221,11,18,True,0.16586431135361115
676,sqrt,101,36,12,False,0.17540658961950517
28,log2,175,29,18,True,0.1790210315899139
570,log2,294,24,3,False,0.1698910593976063
27,,141,16,10,False,0.17424694912043334
54,sqrt,94,32,11,True,0.17947724753162309
228,log2,30,15,19,True,0.16895647277668593
744,log2,137,32,10,True,0.18037516877885887
181,,113,10,5,True,0.16086089087446712
267,log2,290,27,17,True,0.17786907814407224
5,log2,157,6,6,False,0.16385923066141828
9,,125,27,17,False,0.1781301751965195
363,,161,26,16,True,0.17478850330460916
733,log2,185,37,18,True,0.18310672969988775
200,sqrt,209,21,20,False,0.16764447716781036
156,,208,20,3,True,0.16974545748821665
118,,130,26,10,False,0.1781301751965194
753,sqrt,221,50,16,False,0.1813223077024305
578,log2,18,23,17,False,0.16910590096810074
623,,159,46,13,False,0.1882988673749306
686,sqrt,50,7,15,True,0.1620551723421317
193,log2,224,3,14,False,0.15601525741107355
736,sqrt,128,28,10,True,0.17807478196539175
