criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,best,73,37,0.4,100,0.7999999999999999,0.18202758050120058
friedman_mse,best,10,100,0.6,1000,0.9999999999999999,0.18122520623253266
friedman_mse,best,37,37,0.6,10000,0.30000000000000004,0.18122520623253266
friedman_mse,random,10,5,0.7,10,0.2,0.18122520623253266
poisson,best,73,100,0.4,10000,0.1,0.18122520623253266
poisson,best,10,5,0.9999999999999999,10,0.8999999999999999,0.18122520623253266
absolute_error,best,100,5,0.30000000000000004,1000,0.0,0.18202758050120058
squared_error,random,73,100,0.9999999999999999,1,0.4,0.18122520623253266
squared_error,best,73,10,0.8999999999999999,1,0.5,0.18122520623253266
absolute_error,best,2,100,0.7,1,0.4,0.18202758050120058
poisson,random,37,100,0.7,100,0.9999999999999999,0.18122520623253266
friedman_mse,best,100,37,0.4,1000,0.8999999999999999,0.18122520623253266
squared_error,random,73,5,0.5,10,0.7999999999999999,0.18122520623253266
friedman_mse,best,5,10,0.1,10,0.30000000000000004,0.18122520623253266
squared_error,random,73,1,0.0,1,0.5,0.1778905162009016
poisson,best,10,37,0.6,10000,0.7999999999999999,0.18122520623253266
friedman_mse,random,100,2,0.9999999999999999,10000,0.2,0.18122520623253266
friedman_mse,random,5,2,0.4,10,0.1,0.18122520623253266
absolute_error,best,100,100,0.9999999999999999,100,0.5,0.18202758050120058
friedman_mse,best,37,73,0.2,1,0.5,0.18122520623253266
poisson,best,2,10,0.0,1000,0.4,0.1327558574356937
absolute_error,random,100,73,0.7,10,0.1,0.18202758050120058
absolute_error,random,5,10,0.0,10,0.4,0.13740001623108203
poisson,best,73,10,0.2,10,0.4,0.18122520623253266
friedman_mse,random,37,1,0.30000000000000004,10000,0.2,0.18122520623253266
poisson,best,100,5,0.8999999999999999,10,0.0,0.18122520623253266
absolute_error,random,10,37,0.1,1000,0.4,0.18202758050120058
poisson,best,5,100,0.9999999999999999,100,0.2,0.18122520623253266
poisson,best,73,1,0.7,10,0.2,0.18122520623253266
poisson,random,73,5,0.7,1000,0.2,0.18122520623253266
friedman_mse,random,10,37,0.30000000000000004,1,0.5,0.18122520623253266
squared_error,random,73,5,0.7999999999999999,100,0.0,0.18122520623253266
absolute_error,random,37,100,0.7,1000,0.7,0.18202758050120058
poisson,best,37,100,0.2,1000,0.7999999999999999,0.18122520623253266
