N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
5,uniform,brute,20,3.5,l1,0.1420447815721728
3,distance,ball_tree,70,2.5,l1,0.14878149859554834
9,distance,kd_tree,30,4.5,l1,0.137661714806757
9,distance,kd_tree,80,4.0,manhattan,0.137661714806757
4,distance,brute,50,1.0,cityblock,0.14470548441404887
6,uniform,ball_tree,90,2.5,l1,0.14218819197184454
9,distance,kd_tree,50,1.0,l2,0.1355865099969875
1,distance,ball_tree,80,1.5,euclidean,0.16440245632448983
2,distance,kd_tree,60,3.5,cityblock,0.1516547441394306
5,uniform,ball_tree,40,2.0,euclidean,0.13857403560135553
2,uniform,brute,30,3.0,euclidean,0.1501550149482515
9,uniform,ball_tree,100,3.0,l1,0.13863329127328014
6,distance,brute,30,4.0,euclidean,0.13382569316265588
6,uniform,kd_tree,40,1.5,euclidean,0.13470606497217444
2,distance,kd_tree,80,1.0,euclidean,0.1490787574138725
9,uniform,kd_tree,90,2.5,manhattan,0.13863329127328014
3,distance,kd_tree,10,1.0,l1,0.14878149859554834
6,distance,ball_tree,90,3.5,l2,0.13382569316265588
1,uniform,kd_tree,10,2.5,manhattan,0.1580646726865619
5,distance,brute,30,4.0,manhattan,0.14109916446882478
1,uniform,kd_tree,80,4.5,euclidean,0.16440245632448983
3,uniform,brute,100,1.5,euclidean,0.14230679312697456
7,distance,kd_tree,40,2.0,cityblock,0.13956070678389065
2,uniform,ball_tree,10,1.5,euclidean,0.1501550149482515
3,distance,kd_tree,80,2.0,euclidean,0.14125791892487186
6,distance,brute,80,3.5,manhattan,0.14093119219629863
7,distance,kd_tree,20,3.5,l2,0.13633053491989636
10,uniform,ball_tree,70,3.0,euclidean,0.1391273775649151
1,uniform,kd_tree,100,1.0,l2,0.16440245632448983
4,distance,kd_tree,10,1.0,cityblock,0.14470548441404887
4,uniform,brute,30,2.5,l1,0.146147923547374
1,uniform,kd_tree,100,4.5,cityblock,0.1580646726865619
3,distance,brute,100,1.5,euclidean,0.14125791892487186
4,distance,kd_tree,30,3.5,l1,0.14470548441404887
7,uniform,kd_tree,20,4.5,cityblock,0.14034112987096173
2,distance,kd_tree,30,2.0,l1,0.1516547441394306
8,distance,kd_tree,40,1.0,l1,0.13729942514146481
5,uniform,kd_tree,50,2.0,euclidean,0.13857403560135553
4,uniform,kd_tree,10,2.0,l1,0.146147923547374
1,distance,kd_tree,10,1.0,euclidean,0.16440245632448983
4,distance,kd_tree,80,2.5,euclidean,0.14049873677040545
