N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
10,distance,ball_tree,90,4.5,l1,0.1358838082045548
6,distance,kd_tree,80,3.5,cityblock,0.1409311921962986
4,uniform,kd_tree,20,2.0,l2,0.1413406619022444
9,distance,kd_tree,60,3.0,manhattan,0.137661714806757
9,uniform,brute,70,1.0,l2,0.1365696214611785
10,uniform,ball_tree,60,4.0,l2,0.1391273775649151
3,uniform,kd_tree,10,3.0,euclidean,0.1423067931269745
1,uniform,kd_tree,20,2.5,manhattan,0.1580646726865619
9,uniform,brute,90,2.0,l2,0.1365696214611785
8,distance,ball_tree,50,1.5,l1,0.1372994251414648
2,uniform,kd_tree,50,3.0,l2,0.1501550149482515
9,uniform,ball_tree,80,2.0,manhattan,0.1386332912732801
10,uniform,brute,20,4.0,cityblock,0.1364799521921864
4,distance,ball_tree,90,2.0,l1,0.1447054844140488
7,uniform,kd_tree,10,4.0,l2,0.1375266502359712
1,uniform,ball_tree,10,2.5,manhattan,0.1580646726865619
10,distance,kd_tree,90,2.5,euclidean,0.1380269999175113
3,distance,ball_tree,50,2.0,cityblock,0.1487814985955483
5,distance,brute,20,3.0,l2,0.1374820736368051
7,distance,brute,10,2.0,l2,0.1363305349198963
5,distance,ball_tree,30,3.0,l2,0.1374820736368051
1,uniform,kd_tree,70,4.5,euclidean,0.1644024563244898
10,uniform,brute,60,2.5,cityblock,0.1364799521921864
10,distance,brute,40,2.0,l2,0.1380269999175113
5,distance,brute,30,4.0,cityblock,0.1410991644688247
8,distance,brute,80,1.5,l2,0.135122457772302
10,distance,kd_tree,40,3.0,euclidean,0.1380269999175113
1,uniform,ball_tree,70,3.0,cityblock,0.1580646726865619
6,distance,ball_tree,60,2.0,l1,0.1409311921962986
2,uniform,kd_tree,10,3.5,manhattan,0.1534270806183092
5,uniform,brute,10,1.5,l1,0.1420447815721728
2,distance,brute,10,3.0,l1,0.1516547441394306
2,distance,ball_tree,80,1.0,euclidean,0.1490787574138725
5,uniform,brute,60,3.0,cityblock,0.1420447815721728
4,distance,kd_tree,40,4.5,cityblock,0.1447054844140488
9,distance,kd_tree,20,3.5,euclidean,0.1355865099969875
9,distance,brute,70,4.0,l1,0.137661714806757
2,uniform,kd_tree,100,3.5,cityblock,0.1534270806183092
7,distance,brute,50,2.0,cityblock,0.1395607067838906
9,distance,ball_tree,20,4.5,manhattan,0.137661714806757
5,uniform,kd_tree,40,3.0,cityblock,0.1420447815721728
4,distance,ball_tree,40,1.5,euclidean,0.1404987367704054
2,uniform,brute,20,3.0,cityblock,0.1534270806183092
3,uniform,kd_tree,50,4.5,l2,0.1423067931269745
1,distance,ball_tree,90,1.0,euclidean,0.1644024563244898
8,uniform,kd_tree,20,4.0,l2,0.1362115639038066
9,distance,ball_tree,30,2.0,euclidean,0.1355865099969875
3,distance,kd_tree,70,3.5,l2,0.1412579189248718
1,distance,kd_tree,40,3.0,l1,0.1580646726865618
3,uniform,kd_tree,40,1.0,l2,0.1423067931269745
6,uniform,kd_tree,100,3.0,euclidean,0.1347060649721744
6,distance,brute,100,4.0,l2,0.1338256931626558
9,uniform,brute,30,1.5,manhattan,0.1386332912732801
10,uniform,ball_tree,30,1.0,l2,0.1391273775649151
10,uniform,ball_tree,30,3.0,l2,0.1391273775649151
6,uniform,brute,90,3.5,manhattan,0.1421881919718445
5,distance,brute,70,2.5,cityblock,0.1410991644688247
1,distance,ball_tree,20,4.0,l1,0.1580646726865618
5,distance,ball_tree,30,4.0,l1,0.1410991644688247
1,uniform,ball_tree,30,3.0,manhattan,0.1580646726865619
3,distance,ball_tree,40,3.5,l1,0.1487814985955483
3,uniform,kd_tree,90,3.5,l1,0.1503484954353766
9,uniform,ball_tree,90,3.5,l2,0.1365696214611785
7,distance,ball_tree,40,3.5,cityblock,0.1395607067838906
1,uniform,brute,20,2.0,cityblock,0.1580646726865619
10,uniform,brute,40,2.0,l1,0.1364799521921864
10,uniform,ball_tree,20,4.5,cityblock,0.1364799521921864
1,uniform,brute,40,1.0,manhattan,0.1580646726865619
10,distance,ball_tree,10,1.0,euclidean,0.1380269999175113
2,distance,brute,60,3.0,manhattan,0.1516547441394306
8,uniform,brute,50,3.0,l1,0.1381175432052143
8,distance,ball_tree,70,2.5,l2,0.135122457772302
1,distance,brute,40,2.5,l1,0.1580646726865618
2,distance,ball_tree,40,2.0,l2,0.1490787574138725
8,uniform,kd_tree,40,1.0,l1,0.1381175432052143
2,distance,brute,70,2.0,l1,0.1516547441394306
3,uniform,kd_tree,30,3.0,l2,0.1423067931269745
6,distance,ball_tree,70,4.0,cityblock,0.1409311921962986
6,uniform,ball_tree,20,1.0,l1,0.1421881919718445
9,uniform,kd_tree,50,4.5,euclidean,0.1365696214611785
7,uniform,kd_tree,70,2.5,euclidean,0.1375266502359712
3,distance,kd_tree,40,1.0,cityblock,0.1487814985955483
7,distance,brute,60,2.5,euclidean,0.1363305349198963
2,uniform,kd_tree,50,2.5,manhattan,0.1534270806183092
8,uniform,ball_tree,50,4.5,l2,0.1362115639038066
8,distance,brute,30,2.0,cityblock,0.1372994251414648
7,distance,brute,80,4.0,manhattan,0.1395607067838906
3,distance,kd_tree,10,2.0,euclidean,0.1412579189248718
4,uniform,kd_tree,70,3.5,l1,0.146147923547374
4,uniform,kd_tree,20,1.0,l2,0.1413406619022444
10,distance,ball_tree,100,4.5,cityblock,0.1358838082045548
1,uniform,ball_tree,80,1.5,cityblock,0.1580646726865619
10,distance,ball_tree,40,4.5,manhattan,0.1358838082045548
1,distance,brute,60,2.5,manhattan,0.1580646726865618
7,uniform,kd_tree,100,4.5,cityblock,0.1403411298709617
7,uniform,ball_tree,90,2.5,euclidean,0.1375266502359712
8,distance,brute,80,1.5,euclidean,0.135122457772302
7,uniform,brute,30,2.5,cityblock,0.1403411298709617
8,distance,brute,90,1.5,manhattan,0.1372994251414648
10,uniform,kd_tree,30,1.0,l1,0.1364799521921864
8,uniform,kd_tree,40,2.0,euclidean,0.1362115639038066
6,uniform,ball_tree,70,3.5,cityblock,0.1421881919718445
7,uniform,brute,50,2.0,cityblock,0.1403411298709617
4,uniform,brute,10,4.0,cityblock,0.146147923547374
2,uniform,brute,90,4.0,l1,0.1534270806183092
5,distance,kd_tree,20,3.5,l1,0.1410991644688247
4,distance,kd_tree,70,4.5,l2,0.1404987367704054
8,distance,brute,20,3.0,cityblock,0.1372994251414648
2,distance,ball_tree,70,4.5,l1,0.1516547441394306
3,distance,ball_tree,30,2.5,l1,0.1487814985955483
4,distance,kd_tree,60,2.5,l1,0.1447054844140488
6,uniform,brute,90,3.0,l1,0.1421881919718445
10,uniform,kd_tree,80,4.5,euclidean,0.1391273775649151
9,distance,brute,90,4.0,l2,0.1355865099969875
8,uniform,kd_tree,10,2.5,manhattan,0.1381175432052143
5,uniform,ball_tree,10,1.0,cityblock,0.1420447815721728
2,distance,brute,80,2.0,l1,0.1516547441394306
3,uniform,ball_tree,60,3.5,euclidean,0.1423067931269745
4,uniform,ball_tree,70,4.0,euclidean,0.1413406619022444
4,uniform,ball_tree,70,1.5,cityblock,0.146147923547374
2,uniform,ball_tree,70,2.5,euclidean,0.1501550149482515
6,distance,kd_tree,70,4.5,l1,0.1409311921962986
2,distance,kd_tree,60,4.5,euclidean,0.1490787574138725
