Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
56,2600,0.1,True,True,True,random,0.1812252062325326
11,2600,0.1,True,False,True,random,0.1812252062325326
96,3600,1e-07,False,False,True,random,0.6321770447096923
41,9600,0.1,False,False,True,cyclic,0.6321770447096923
81,5600,1e-08,True,False,False,random,0.1812252062325326
16,8600,1e-07,False,False,False,random,0.6321770447096923
46,4100,1e-08,True,True,True,cyclic,0.1812252062325326
56,8600,0.1,False,False,True,random,0.6321770447096923
76,1600,1e-05,False,True,True,random,0.6321770447096923
1,3600,1e-08,True,True,False,cyclic,0.1812252062325326
26,2100,1e-05,False,True,True,cyclic,0.6321770447096923
1,2600,1e-08,False,True,True,random,0.6321770447096923
61,3100,0.0001,False,False,True,cyclic,0.6321770447096923
31,4600,1e-06,True,True,True,cyclic,0.1812252062325326
31,7100,1e-08,True,False,False,random,0.1812252062325326
36,4600,0.001,False,False,True,cyclic,0.6321770447096923
66,6100,0.01,False,False,True,cyclic,0.6321770447096923
6,6600,1e-08,True,True,True,random,0.1812252062325326
16,1100,1e-08,True,True,True,cyclic,0.1812252062325326
16,9100,0.01,True,False,False,cyclic,0.1812252062325326
41,600,1e-06,False,False,False,random,0.6321770447096923
21,8600,1e-07,False,False,True,random,0.6321770447096923
16,7600,1e-05,False,True,True,random,0.6321770447096923
86,3100,1e-08,True,True,False,cyclic,0.1812252062325326
86,2600,0.0001,True,True,True,cyclic,0.1812252062325326
91,8100,1e-06,True,True,True,random,0.1812252062325326
76,8100,0.1,False,False,True,random,0.6321770447096923
41,2100,1e-06,False,True,False,cyclic,0.6321770447096923
46,4100,1e-08,False,True,True,cyclic,0.6321770447096923
21,1600,1e-06,True,False,False,cyclic,0.1812252062325326
36,6100,0.1,True,True,False,random,0.1812252062325326
81,2100,1e-07,False,False,False,random,0.6321770447096923
61,9600,1e-05,False,False,True,random,0.6321770447096923
71,1600,1e-06,False,False,True,cyclic,0.6321770447096923
66,9600,0.01,False,False,True,random,0.6321770447096923
66,600,1e-08,True,True,True,random,0.1812252062325326
96,7100,0.1,False,False,False,random,0.6321770447096923
31,1600,0.1,True,False,False,random,0.1812252062325326
1,9100,1e-05,True,False,True,random,0.1812252062325326
36,2100,0.0001,True,True,False,random,0.1812252062325326
51,1600,1e-06,False,True,False,cyclic,0.6321770447096923
16,9600,0.1,True,True,False,random,0.1812252062325326
86,7100,0.0001,False,False,False,random,0.6321770447096923
21,2600,0.0001,True,True,True,random,0.1812252062325326
11,4600,1e-08,False,False,True,cyclic,0.6321770447096923
91,1100,1e-05,False,False,False,random,0.6321770447096923
11,5600,1e-08,True,True,True,random,0.1812252062325326
56,1100,1e-06,False,False,False,random,0.6321770447096923
26,1100,1e-06,False,True,True,cyclic,0.6321770447096923
76,4100,1e-08,True,True,False,random,0.1812252062325326
66,100,1e-05,True,True,True,random,0.1812252062325326
1,8600,0.01,True,True,True,cyclic,0.1812252062325326
76,6100,0.001,False,False,True,cyclic,0.6321770447096923
56,1100,0.01,True,True,False,cyclic,0.1812252062325326
76,5100,0.01,False,True,False,cyclic,0.6321770447096923
26,4100,1e-05,False,True,False,random,0.6321770447096923
36,4600,0.01,True,False,True,random,0.1812252062325326
96,6600,0.001,False,False,False,random,0.6321770447096923
61,7100,1e-07,True,True,True,random,0.1812252062325326
71,6100,0.0001,False,True,True,random,0.6321770447096923
51,9600,0.01,False,False,False,random,0.6321770447096923
61,8100,0.1,False,True,True,random,0.6321770447096923
81,1600,0.01,True,False,False,random,0.1812252062325326
21,3600,1e-05,False,False,False,random,0.6321770447096923
16,4600,1e-07,True,True,True,cyclic,0.1812252062325326
51,7100,1e-06,False,False,False,random,0.6321770447096923
41,5100,1e-08,True,False,False,cyclic,0.1812252062325326
16,7100,1e-07,True,True,False,random,0.1812252062325326
1,9100,1e-08,True,False,False,random,0.1812252062325326
66,600,1e-08,False,False,True,cyclic,0.6321770447096923
46,7600,1e-05,True,True,False,random,0.1812252062325326
26,7600,1e-07,False,True,True,cyclic,0.6321770447096923
61,8100,0.001,False,True,False,cyclic,0.6321770447096923
36,100,1e-05,False,False,True,random,0.6321770447096923
61,9100,0.1,True,True,False,random,0.1812252062325326
1,7100,0.0001,False,False,True,cyclic,0.6321770447096923
76,2600,0.0001,True,True,False,cyclic,0.1812252062325326
21,2100,1e-08,True,False,True,cyclic,0.1812252062325326
11,2100,1e-08,True,True,False,random,0.1812252062325326
51,4600,1e-05,False,False,True,cyclic,0.6321770447096923
31,7100,0.1,False,False,True,random,0.6321770447096923
61,4600,0.0001,True,True,True,cyclic,0.1812252062325326
61,6100,1e-08,False,False,True,cyclic,0.6321770447096923
21,2600,0.01,True,False,False,random,0.1812252062325326
16,8600,1e-05,True,True,True,random,0.1812252062325326
91,5600,0.01,False,False,False,random,0.6321770447096923
46,600,1e-05,False,True,False,random,0.6321770447096923
51,5600,0.1,True,True,False,cyclic,0.1812252062325326
91,1600,0.0001,True,False,True,cyclic,0.1812252062325326
76,9100,0.1,True,True,False,random,0.1812252062325326
56,4600,1e-07,True,True,False,random,0.1812252062325326
81,6600,0.0001,False,False,True,random,0.6321770447096923
21,6600,1e-07,False,False,True,cyclic,0.6321770447096923
36,4100,1e-08,False,True,True,random,0.6321770447096923
16,5100,0.1,True,True,False,random,0.1812252062325326
36,9600,1e-07,True,True,True,random,0.1812252062325326
81,2100,1e-06,True,True,True,cyclic,0.1812252062325326
86,8600,0.01,True,False,True,cyclic,0.1812252062325326
51,8600,0.1,False,False,True,cyclic,0.6321770447096923
36,1600,1e-05,True,True,True,random,0.1812252062325326
81,8600,1e-08,True,False,True,random,0.1812252062325326
46,3600,1e-06,True,True,False,cyclic,0.1812252062325326
31,2600,0.0001,True,True,True,random,0.1812252062325326
56,6100,0.0001,False,True,True,random,0.6321770447096923
71,2600,0.0001,False,True,True,cyclic,0.6321770447096923
86,4100,1e-08,True,False,False,random,0.1812252062325326
91,3600,1e-06,True,False,False,cyclic,0.1812252062325326
21,4600,0.0001,True,True,True,cyclic,0.1812252062325326
51,9100,1e-05,False,False,True,random,0.6321770447096923
66,9600,0.01,True,True,False,random,0.1812252062325326
96,8600,1e-08,False,True,False,cyclic,0.6321770447096923
46,6600,0.01,False,True,True,random,0.6321770447096923
41,6600,1e-07,True,True,False,cyclic,0.1812252062325326
16,4600,0.0001,False,False,True,cyclic,0.6321770447096923
21,5600,0.001,False,False,False,random,0.6321770447096923
76,8100,1e-05,True,True,True,cyclic,0.1812252062325326
31,3100,1e-05,True,True,False,random,0.1812252062325326
21,1100,1e-07,True,False,True,cyclic,0.1812252062325326
31,2600,1e-05,False,True,False,cyclic,0.6321770447096923
21,7600,1e-06,False,True,False,random,0.6321770447096923
76,3100,0.01,False,True,False,random,0.6321770447096923
11,5100,1e-05,False,True,False,cyclic,0.6321770447096923
26,2600,0.001,False,True,True,random,0.6321770447096923
56,9100,1e-06,False,False,True,random,0.6321770447096923
71,1100,1e-06,True,True,False,random,0.1812252062325326
71,4100,0.1,True,False,False,cyclic,0.1812252062325326
36,7600,0.0001,True,False,False,random,0.1812252062325326
76,2600,1e-05,False,True,True,random,0.6321770447096923
51,6100,0.0001,True,False,True,random,0.1812252062325326
56,8600,1e-05,False,False,False,cyclic,0.6321770447096923
26,5600,1e-07,False,False,True,cyclic,0.6321770447096923
61,9100,0.1,False,False,False,random,0.6321770447096923
36,7600,0.1,True,False,False,cyclic,0.1812252062325326
81,5100,1e-07,True,False,True,random,0.1812252062325326
56,4100,0.01,False,False,False,random,0.6321770447096923
6,7100,0.1,True,False,True,random,0.1812252062325326
11,6600,1e-08,False,False,True,cyclic,0.6321770447096923
76,100,0.01,False,False,False,random,0.6321770447096923
31,7600,0.01,False,True,True,cyclic,0.6321770447096923
11,8100,0.001,False,True,False,cyclic,0.6321770447096923
96,7600,1e-06,True,False,False,random,0.1812252062325326
56,9600,1e-08,True,False,False,cyclic,0.1812252062325326
21,8600,0.1,True,True,True,random,0.1812252062325326
61,1100,1e-07,False,True,True,random,0.6321770447096923
1,600,0.01,False,False,True,cyclic,0.6321770447096923
66,2600,1e-06,True,False,True,random,0.1812252062325326
61,7600,1e-08,True,True,False,cyclic,0.1812252062325326
16,4100,0.1,True,True,False,random,0.1812252062325326
26,7100,1e-07,True,True,True,random,0.1812252062325326
1,2600,1e-05,True,False,True,random,0.1812252062325326
41,6100,1e-06,True,True,True,cyclic,0.1812252062325326
1,4600,1e-08,True,True,True,random,0.1812252062325326
61,9600,1e-06,False,True,True,cyclic,0.6321770447096923
1,3100,1e-05,True,False,True,cyclic,0.1812252062325326
46,6600,1e-05,True,True,False,cyclic,0.1812252062325326
46,2600,0.001,False,True,True,cyclic,0.6321770447096923
76,7100,1e-08,True,True,False,random,0.1812252062325326
21,7600,0.0001,True,False,True,random,0.1812252062325326
21,1100,1e-05,True,False,False,random,0.1812252062325326
26,6600,1e-07,True,False,False,cyclic,0.1812252062325326
