N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
228,log2,269.0,1,8,True,0.1247166391534151
382,log2,70.0,12,16,False,0.1292178453295919
642,sqrt,81.0,33,18,True,0.1425699408766703
163,,74.0,47,2,False,0.130027209967583
416,log2,108.0,4,13,False,0.1269577371622762
603,sqrt,134.0,50,8,False,0.1418255656808494
190,log2,288.0,39,12,False,0.1391675814089965
382,log2,235.0,42,16,True,0.1457100023073418
733,log2,83.0,49,3,False,0.1419432633783353
640,sqrt,11.0,45,10,False,0.1408426631725993
631,sqrt,129.0,37,11,True,0.1439878349447123
27,log2,150.0,31,6,False,0.1402298486642714
56,log2,255.0,19,9,False,0.1335951799579746
332,,79.0,6,14,False,0.1443653539478237
362,,13.0,32,11,False,0.1356273021645251
262,log2,119.0,42,7,False,0.1395582351657999
19,sqrt,185.0,8,10,False,0.1303180485230871
536,sqrt,287.0,40,20,False,0.138888174127353
675,log2,186.0,16,19,False,0.1305241121103131
465,,218.0,13,4,True,0.1272632578356909
68,log2,90.0,18,9,True,0.1366034947803472
131,,268.0,40,8,True,0.1303604238272037
139,sqrt,48.0,23,11,True,0.1391422281607481
633,sqrt,102.0,7,11,True,0.1286846990945138
80,,221.0,29,16,True,0.1291521689912406
80,sqrt,115.0,11,4,False,0.1296541572109243
596,log2,41.0,24,6,False,0.1334186824017318
608,log2,172.0,41,10,True,0.1452766309805136
254,,124.0,18,20,False,0.1423982646346
512,log2,164.0,43,10,True,0.1464495877477725
485,sqrt,124.0,10,11,True,0.1309379160628062
83,,223.0,9,3,False,0.1468843997817946
365,,280.0,37,9,True,0.1295337835208647
312,,171.0,1,4,True,0.1217874915052462
349,sqrt,25.0,19,20,True,0.1366232882497041
650,,196.0,4,5,False,0.1549884877059802
9,log2,252.0,24,18,False,0.1409294943589368
404,sqrt,122.0,18,11,False,0.1315170844652305
316,,140.0,20,10,False,0.1407062147958618
10,log2,278.0,6,8,False,0.1267666908109941
302,sqrt,22.0,2,17,True,0.1296571696765953
202,log2,269.0,32,18,False,0.1366138817129191
710,,122.0,31,8,True,0.129077351623244
775,log2,76.0,9,4,True,0.1300888136391511
451,,211.0,30,16,False,0.1341082343301427
643,log2,107.0,43,14,True,0.146172843692828
699,sqrt,145.0,2,18,False,0.1267761154053833
308,,179.0,43,20,False,0.130027209967583
338,,121.0,25,3,False,0.1384742399787188
597,,158.0,38,13,True,0.1298523364100109
669,,185.0,6,16,True,0.1264804078729758
