N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
557,log2,295,3,12,False,0.1264557667291404
712,sqrt,115,12,13,True,0.1320394714972249
342,sqrt,295,11,14,False,0.1285852925956674
313,,145,17,7,True,0.12783883115929548
657,,99,8,6,True,0.12639511681847737
645,,66,48,2,False,0.13002720996758285
268,log2,158,16,8,False,0.13069053649981754
410,sqrt,164,25,16,False,0.13447341041997937
599,sqrt,29,43,3,True,0.14600462133542078
129,,9,8,8,True,0.1264257444825362
59,,17,39,10,True,0.13011982577864065
549,,186,38,7,False,0.13122350889289158
525,,35,35,17,False,0.13326812868509105
16,,,9,5,False,0.14688439978179466
419,sqrt,185,13,13,True,0.13284290592546188
692,,145,16,16,False,0.14298942857838884
361,sqrt,38,39,14,False,0.13848439666144732
240,,69,49,11,False,0.13002720996758296
587,sqrt,156,38,3,False,0.13792810703900546
153,,240,29,19,False,0.13706210477077022
750,sqrt,89,27,5,True,0.14011999078402584
603,sqrt,23,43,16,False,0.1399059522802554
380,sqrt,299,12,6,True,0.13251502510096572
448,,228,22,6,False,0.13896852573520113
501,sqrt,130,7,2,False,0.12689597655292228
77,,162,2,18,True,0.12603507987453305
5,log2,235,13,14,False,0.13451620261297578
53,sqrt,52,21,16,True,0.13735274033446462
510,sqrt,84,44,11,False,0.1404207525928994
346,sqrt,169,25,3,False,0.13455954590316546
555,log2,93,18,4,True,0.1356071747269765
495,sqrt,162,29,16,False,0.1355560658016502
98,sqrt,50,8,5,True,0.13087748810696018
612,,259,8,9,True,0.12639130002729979
753,log2,167,17,13,False,0.13108215000890605
489,,193,47,12,True,0.13458156393154816
167,sqrt,189,48,19,True,0.14930577037313855
566,sqrt,293,41,2,True,0.1452638991972667
102,log2,284,16,7,False,0.13178006389318855
254,,224,24,12,False,0.1394474875862983
129,,205,4,15,False,0.14677191415416505
411,sqrt,286,20,15,False,0.13242375072315046
225,,278,34,19,True,0.1291462797274283
761,sqrt,289,26,9,False,0.13431322353755545
638,sqrt,23,21,6,False,0.13279924938433596
114,,192,5,11,False,0.14845994958338782
422,sqrt,122,28,18,True,0.14057936859331602
224,,86,24,14,True,0.12832560937319185
9,sqrt,223,36,9,True,0.15112512711304216
121,log2,136,17,20,False,0.1323687177555158
671,,277,25,12,False,0.1384742399787184
222,,71,7,19,False,0.14566539386852714
607,sqrt,151,31,19,True,0.14184413962635456
584,,296,22,6,False,0.13896852573520102
409,sqrt,102,22,15,True,0.13766765126428496
412,log2,187,26,5,False,0.13494348537048115
434,,182,3,8,True,0.124409472879896
334,,54,27,7,True,0.1286525116255399
289,log2,26,10,7,False,0.12839449165468134
343,,69,49,3,True,0.13591923101879808
185,log2,242,35,14,False,0.1383805411963339
641,sqrt,206,44,6,True,0.14655466179529197
794,log2,35,40,4,False,0.13869398374591527
259,,158,17,15,False,0.14367206223043946
428,sqrt,17,19,9,False,0.13184582439655315
235,,213,22,11,False,0.1389685257352011
173,,237,49,20,False,0.13002720996758302
339,log2,216,24,14,True,0.13928996655901957
485,sqrt,191,25,13,True,0.13936617442128538
745,log2,110,26,10,False,0.13433148689011576
255,sqrt,228,40,14,True,0.14542531136258105
348,sqrt,83,44,7,False,0.14025067812151748
297,,201,4,20,False,0.14759413727754123
662,log2,283,17,19,False,0.13098714971594672
575,log2,226,38,3,False,0.13800507916112603
157,sqrt,257,46,16,True,0.1482507182229185
341,,36,23,12,True,0.1283017291230253
492,log2,16,39,18,False,0.13864984996961793
624,sqrt,61,43,17,True,0.14609158999451521
432,sqrt,182,43,8,True,0.14602910444345638
391,,8,35,6,False,0.13326812868509097
713,,184,6,12,False,0.14471485289462158
781,log2,177,31,3,True,0.1417590586989225
797,log2,235,15,14,True,0.13354867891037794
756,,123,21,10,True,0.12849300046530202
138,sqrt,131,4,9,True,0.12765071379476317
54,log2,65,36,3,False,0.13892283376706835
161,log2,219,16,5,False,0.1314855021657112
460,sqrt,194,36,8,False,0.13809170704093307
58,log2,138,7,18,False,0.13146661945567525
185,,174,6,19,True,0.12681324092727955
298,log2,122,17,13,False,0.13133188481190539
214,log2,34,18,12,False,0.13148752615014322
318,log2,96,2,17,True,0.1295172771866442
700,log2,149,5,18,True,0.1293932901972207
794,log2,185,42,13,True,0.14566144378463114
572,log2,162,4,4,True,0.1273708879922563
570,,248,2,12,False,0.15616247500764968
442,,56,21,20,True,0.12838253583516865
239,,91,42,18,False,0.12836572771280647
450,log2,194,32,8,False,0.13653042698004525
485,log2,32,35,6,False,0.13788574698407555
56,log2,243,13,13,False,0.1305752710681487
102,,36,19,3,True,0.12845410328894283
436,,203,4,15,False,0.14677191415416446
34,log2,293,14,11,True,0.1363493005534955
444,,4,33,16,True,0.12915336997181745
261,log2,88,32,11,False,0.13627322189884472
393,log2,287,44,3,False,0.13997117551772947
13,log2,265,35,4,True,0.15336226993474714
401,sqrt,74,48,17,False,0.14135372388471215
34,sqrt,232,9,16,False,0.1328020964386194
571,log2,139,35,9,True,0.14298308748378988
402,log2,39,1,20,False,0.12769461878229396
691,log2,166,29,10,False,0.1352580455978625
562,,117,5,6,False,0.14751595077492133
303,log2,204,41,11,False,0.13966945028995073
397,log2,54,41,6,True,0.1453190502455676
419,log2,186,38,5,True,0.14411027546649796
88,log2,174,2,8,True,0.12629584974758656
753,,169,5,2,True,0.12479053532830468
106,,66,28,7,False,0.1378009211382495
212,sqrt,186,40,15,False,0.13876888100604243
794,log2,166,19,16,True,0.13561634437744205
532,sqrt,91,9,7,False,0.12812012624179478
568,,255,31,6,True,0.12897673412834312
723,log2,19,6,18,True,0.1293427442213231
418,log2,31,1,9,True,0.12658295929117735
704,log2,265,2,10,True,0.12686452387322078
421,log2,154,27,4,True,0.14026822450764656
232,sqrt,233,49,3,False,0.14221223410632292
267,,144,37,15,True,0.12966408028200269
716,,233,6,3,True,0.12553156330477133
510,log2,186,9,11,False,0.12823852449014347
295,log2,52,18,20,False,0.13160695818066595
350,log2,245,16,20,False,0.13093253777185546
430,log2,205,44,4,False,0.14020410911583975
787,log2,12,50,16,True,0.14887138117713963
205,log2,132,9,19,False,0.12802464084166357
275,log2,55,4,6,False,0.12551967952965043
796,,145,20,19,True,0.12836531741380042
663,sqrt,237,1,2,True,0.12374713206426602
64,,2,20,8,True,0.13390982796056197
542,log2,258,20,19,False,0.13255486438713227
