n_estimators,max_features,max_depth,min_samples_leaf,min_samples_split,bootstrap,Error-
327,sqrt,193,34,12,False,0.1372447021687735
439,sqrt,241,31,10,True,0.14179104697043654
728,log2,26,27,17,True,0.14012551564490258
545,sqrt,185,43,2,False,0.14002452654314926
31,sqrt,55,11,4,True,0.13386326071546728
532,,43,11,4,False,0.14314053734635848
8,sqrt,11,31,10,True,0.14858365423341374
512,,198,8,6,True,0.12634972852824397
210,,173,42,16,False,0.12836572771280652
328,sqrt,245,31,2,False,0.13649117807005026
315,log2,242,25,3,True,0.1399203811689899
52,,77,25,20,False,0.1384742399787188
567,,78,2,17,True,0.1263609145962403
182,,41,23,17,True,0.12836605340558535
580,sqrt,252,41,16,False,0.13942146977283762
677,,36,8,12,True,0.12642549156694197
762,,134,29,2,False,0.13706210477076997
763,,166,34,14,False,0.13364833130116618
694,log2,272,24,11,True,0.13851663216065022
657,sqrt,237,32,6,True,0.1423683689325617
290,,299,35,10,True,0.12929855288245348
276,,69,36,12,True,0.1295691468340124
354,,57,42,20,False,0.12836572771280674
746,log2,155,49,10,False,0.1419001687127749
421,,231,28,16,False,0.13780092113824946
223,,25,46,20,True,0.13403321075744298
548,log2,113,33,8,False,0.13694749899651024
416,log2,280,47,17,True,0.14794668625152765
120,,101,12,11,True,0.12735719000014775
217,,295,36,9,True,0.1293912101343937
769,sqrt,197,7,19,True,0.13013894329603415
210,sqrt,115,14,5,False,0.12980789341743648
65,sqrt,272,44,17,False,0.14270221923988563
135,sqrt,145,14,5,True,0.13348497183849725
709,,206,25,15,True,0.12866468724371208
189,log2,71,39,10,False,0.13920425388843471
247,sqrt,25,39,8,True,0.14508550285611335
170,,121,11,14,False,0.14314053734635834
279,log2,63,20,16,True,0.13700007173734438
196,,275,35,19,False,0.13326812868509078
557,log2,87,23,20,False,0.1332731171084955
666,log2,282,46,5,False,0.1409819481079314
716,sqrt,27,49,8,False,0.1418762767878158
786,log2,204,14,16,False,0.12966279254133833
611,log2,11,11,19,True,0.13175652757586312
98,log2,232,21,3,True,0.1373320640078627
192,sqrt,235,40,7,True,0.14592473042751952
783,sqrt,15,4,14,True,0.12820879165546764
158,sqrt,293,40,5,True,0.1461131401238239
440,sqrt,273,13,10,True,0.13288044816573052
608,,28,15,20,True,0.1276903243106926
431,,144,50,11,False,0.13002720996758318
316,,14,46,4,False,0.130027209967583
123,log2,95,46,12,True,0.14787951503701804
394,log2,36,2,13,False,0.12548932599957888
411,sqrt,196,21,8,False,0.13295647082445702
